candidate_lineage_id,candidate_lookback_bars,birth_idx,birth_timestamp,last_idx,last_timestamp,raw_candidate_flag,maturity_pass_flag,maturity_pass_idx,maturity_pass_timestamp,viability_pass_flag,viability_pass_idx,viability_pass_timestamp,confirmed_flag,duplicate_suppressed_flag,range_confirm_idx,range_confirm_timestamp,failed_dwell,failed_boundary_stability,failed_same_lineage_continuation,failed_candidate_eligibility_before_maturity,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_pressure_imbalance,range_recent_equilibrium_score,range_recent_two_sided_freshness_score,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_strength_viability,viability_fail_due_to_pressure,viability_fail_due_to_equilibrium,viability_fail_due_to_freshness,viability_fail_due_to_score_threshold,viability_fail_multiple_reasons,expansion_veto_seen_flag,low_viability_reject_seen_flag
1,5,13,2014-06-26 17:00:00+00:00,14,2014-06-26 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
3,5,16,2014-06-27 05:00:00+00:00,19,2014-06-27 17:00:00+00:00,1,1,19.0,2014-06-27 17:00:00+00:00,0,,,0,0,,,0,0,0,0,0,0,0.45102221870069636,0.9340520396619278,0.4,0.0,2.0,-1,0.5212753996290376,0,0,0,1,0,0,1
8,5,31,2014-07-01 17:00:00+00:00,33,2014-07-02 01:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
12,5,77,2014-07-11 13:00:00+00:00,79,2014-07-13 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
14,5,88,2014-07-15 09:00:00+00:00,88,2014-07-15 09:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
15,5,96,2014-07-16 17:00:00+00:00,97,2014-07-16 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
16,5,99,2014-07-17 05:00:00+00:00,100,2014-07-17 09:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
19,5,140,2014-07-28 01:00:00+00:00,140,2014-07-28 01:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
20,5,142,2014-07-28 09:00:00+00:00,142,2014-07-28 09:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
22,5,145,2014-07-28 21:00:00+00:00,146,2014-07-29 01:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
25,5,171,2014-08-04 05:00:00+00:00,171,2014-08-04 05:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
27,5,175,2014-08-04 21:00:00+00:00,175,2014-08-04 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
28,5,190,2014-08-07 09:00:00+00:00,190,2014-08-07 09:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
29,5,192,2014-08-07 17:00:00+00:00,193,2014-08-07 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
31,5,202,2014-08-11 09:00:00+00:00,203,2014-08-11 13:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
33,5,225,2014-08-15 05:00:00+00:00,225,2014-08-15 05:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
34,5,233,2014-08-18 13:00:00+00:00,235,2014-08-18 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
36,5,237,2014-08-19 05:00:00+00:00,237,2014-08-19 05:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
39,5,271,2014-08-26 21:00:00+00:00,271,2014-08-26 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
40,5,273,2014-08-27 05:00:00+00:00,274,2014-08-27 09:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
42,5,276,2014-08-27 17:00:00+00:00,278,2014-08-28 01:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
46,5,327,2014-09-09 09:00:00+00:00,327,2014-09-09 09:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
47,5,345,2014-09-12 09:00:00+00:00,345,2014-09-12 09:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
48,5,354,2014-09-15 21:00:00+00:00,355,2014-09-16 01:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
49,5,357,2014-09-16 09:00:00+00:00,361,2014-09-17 01:00:00+00:00,1,1,361.0,2014-09-17 01:00:00+00:00,1,361.0,2014-09-17 01:00:00+00:00,1,0,361.0,2014-09-17 01:00:00+00:00,0,0,0,0,0,1,0.37210349981402696,0.9078687994829556,0.4,0.0,2.0,-1,0.5838968500005509,0,0,0,0,0,0,1
54,5,374,2014-09-19 05:00:00+00:00,374,2014-09-19 05:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
56,5,385,2014-09-23 01:00:00+00:00,385,2014-09-23 01:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
57,5,394,2014-09-24 13:00:00+00:00,394,2014-09-24 13:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
59,5,418,2014-09-30 13:00:00+00:00,419,2014-09-30 17:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
66,5,430,2014-10-02 13:00:00+00:00,431,2014-10-02 17:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
68,5,447,2014-10-07 09:00:00+00:00,450,2014-10-07 21:00:00+00:00,1,1,450.0,2014-10-07 21:00:00+00:00,0,,,0,0,,,0,0,0,0,0,0,0.513783430656462,0.6570416780168828,0.4,2.0,0.0,1,0.5395074269350514,0,0,0,1,0,0,1
71,5,456,2014-10-08 21:00:00+00:00,456,2014-10-08 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
72,5,477,2014-10-14 09:00:00+00:00,478,2014-10-14 13:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
75,5,516,2014-10-22 21:00:00+00:00,516,2014-10-22 21:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
77,5,525,2014-10-24 09:00:00+00:00,527,2014-10-24 17:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
