range_id,candidate_lookback_bars,birth_idx,confirm_idx,end_idx,state,confirm_latency_bars,low,high,mid,width_abs,width_atr,strength_raw,strength,strength_raw_legacy,strength_legacy,upper_touches,lower_touches,close_inside_frac,boundary_stability_score,candidate_boundary_drift_abs,candidate_boundary_drift_atr,confirm_close_position_in_range,confirm_dist_to_upper_atr,confirm_dist_to_lower_atr,confirm_regime,range_recent_pressure_imbalance,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_recent_equilibrium_score,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_upper_touch_freshness,range_recent_lower_touch_freshness,range_recent_two_sided_freshness_score,range_strength_structure,range_strength_monitorability,range_strength_semantic,range_strength_formation,range_strength_viability,range_strength_formation_legacy,range_strength_viability_legacy,range_touch_quality_score,range_containment_quality_score,range_stability_quality_score,break_pending_count,reclaimed_count,total_pending_bars,mean_pending_duration_bars,first_breach_idx,first_breach_side,first_upper_breach_idx,first_lower_breach_idx,bars_to_first_breach,breakout_side_first,accepted_breakout_side,bars_to_breakout_accept,audit_range_recent_pressure_imbalance_legacy,audit_range_recent_pressure_imbalance_v2,duration_bars,rb_micro_box_risk_score,rb_late_confirm_fragility_score,rb_boundary_relevance_score,rb_monitor_worthiness_score,rb_plausibility_score,birth_timestamp,confirm_timestamp,active_start_idx,active_start_timestamp,end_timestamp,range_state,geometry_upper_edge_miss_atr,geometry_lower_edge_miss_atr,geometry_chart_fit_score,geometry_visible_width_ratio,geometry_upper_swing_confluence,geometry_lower_swing_confluence,geometry_review_bucket_suggested,geometry_review_bucket_manual,geometry_review_notes,candidate_lineage_id,candidate_birth_idx,last_idx,last_timestamp,maturity_pass_idx,maturity_pass_timestamp,viability_pass_idx,viability_pass_timestamp,range_confirm_idx,range_confirm_timestamp
1,12,18,21,24,4,3,1306.07,1322.238,1314.154,16.16800000000012,2.9068439218971287,0.6316271526372463,0.6316271526372463,0.584971435479074,0.584971435479074,2,2,1.0,1.0,0.0,0.0,0.6470806531420035,1.0258814583340718,1.8809624635630569,,0.5514273403631009,0,0,0,0.8680108857001485,0,1,0.5833333333333333,0.16666666666666663,0.16666666666666663,0.6955585441359442,0.6602613060783359,0.5973454411069395,0.6955585441359442,0.6500459096561986,0.6955585441359442,0.7350160539104422,0.25,1.0,1.0,0,0,0,,24.0,1,24.0,,3.0,1,1,3.0,0.4,0.46990190181471697,3,0.4166666666666667,0.5833333333333334,0.4890684765582445,0.1875,0.38789211913956106,2014-06-27 13:00:00+00:00,2014-06-30 01:00:00+00:00,21,2014-06-30 01:00:00+00:00,2014-06-30 13:00:00+00:00,accepted_breakout,3.4432533252310704,1.356797993277169,0.0,0.7272073044573378,1,0,box_too_narrow_for_visible_structure,,,4,18,21,2014-06-30 01:00:00+00:00,21.0,2014-06-30 01:00:00+00:00,21.0,2014-06-30 01:00:00+00:00,21.0,2014-06-30 01:00:00+00:00
2,8,174,177,178,4,3,1286.076,1295.375,1290.7255,9.298999999999978,2.059374891275531,0.6848020226197199,0.6848020226197199,0.6168499283546941,0.6168499283546941,2,3,1.0,1.0,0.0,0.0,0.678460049467683,0.66217130066823,1.397203590607301,0.0,0.37516309004870096,0,1,-1,0.9806789260493882,0,1,0.375,0.75,0.375,0.7412285086621848,0.7089625529860445,0.655478939345213,0.7412285086621848,0.6898430672791547,0.7412285086621848,0.7203323517332578,0.25,1.0,1.0,0,0,0,,178.0,-1,,178.0,1.0,-1,-1,1.0,0.6,0.2887778122156309,1,0.7166666666666667,0.8333333333333334,0.4646233765273457,0.0625,0.2280308441318364,2014-08-04 17:00:00+00:00,2014-08-05 05:00:00+00:00,177,2014-08-05 05:00:00+00:00,2014-08-05 09:00:00+00:00,accepted_breakout,0.22919576323844254,1.816085073118249,0.3182397212144362,0.7399538473780515,1,1,box_too_narrow_for_visible_structure,,,26,174,177,2014-08-05 05:00:00+00:00,177.0,2014-08-05 05:00:00+00:00,177.0,2014-08-05 05:00:00+00:00,177.0,2014-08-05 05:00:00+00:00
5,12,360,363,365,4,3,1230.606,1241.86,1236.233,11.253999999999905,2.132493646883549,0.7269413198779302,0.7269413198779302,0.6271899101171763,0.6271899101171763,3,5,0.9166666666666666,1.0,0.0,0.0,0.4892482672827556,1.0891748251542883,1.043318821729261,0.0,0.4626161946913152,0,0,0,0.899887447426083,0,1,0.5833333333333333,0.75,0.5833333333333333,0.7534940470648757,0.7486210006037655,0.7044819517183175,0.7534940470648757,0.7253663148345806,0.7534940470648757,0.7206256695287366,0.5,0.9166666666666666,1.0,0,0,0,,365.0,-1,,365.0,2.0,-1,-1,2.0,0.2,0.32531263729493376,2,0.4666666666666667,0.7000000000000001,0.5911846756827338,0.125,0.3582128355873501,2014-09-16 21:00:00+00:00,2014-09-17 09:00:00+00:00,363,2014-09-17 09:00:00+00:00,2014-09-17 17:00:00+00:00,accepted_breakout,0.0,6.806585342569479,0.0,0.4367262990414802,1,1,box_too_narrow_for_visible_structure,,,51,360,364,2014-09-17 13:00:00+00:00,363.0,2014-09-17 09:00:00+00:00,363.0,2014-09-17 09:00:00+00:00,363.0,2014-09-17 09:00:00+00:00
6,8,419,422,427,4,3,1204.109,1219.954,1212.0315,15.845000000000027,2.645492178439772,0.6266246826338493,0.6266246826338493,0.5438160024302438,0.5438160024302438,2,3,1.0,1.0,0.0,0.0,0.31978542126853887,1.7995023476947847,0.845989830744987,1.0,0.6613671074539671,0,2,-1,0.44022299358368255,0,1,0.375,0.875,0.375,0.6857432169369782,0.6525105966040526,0.5954215494103778,0.6857432169369782,0.6301833732256474,0.6857432169369782,0.6550525740993757,0.25,1.0,1.0,0,0,0,,427.0,1,427.0,,5.0,1,1,5.0,1.0,0.5894635872264077,5,0.2666666666666667,0.4583333333333333,0.5726617605564542,0.3125,0.5075404401391136,2014-09-30 17:00:00+00:00,2014-10-01 05:00:00+00:00,422,2014-10-01 05:00:00+00:00,2014-10-02 01:00:00+00:00,accepted_breakout,0.8550393830058497,0.0,0.7149868723313835,0.8750759374827444,1,1,edge_partially_matches_chart,,,60,419,422,2014-10-01 05:00:00+00:00,422.0,2014-10-01 05:00:00+00:00,422.0,2014-10-01 05:00:00+00:00,422.0,2014-10-01 05:00:00+00:00
8,16,428,431,435,4,3,1204.109,1222.216,1213.1625,18.10699999999997,2.7659934941316515,0.5955882080273438,0.5955882080273438,0.5222824429198821,0.5222824429198821,2,5,0.9375,1.0,0.0,0.0,0.5165957916827778,1.3370928952412982,1.4289005988903531,0.0,0.4503202063246764,0,0,0,0.9909243202444653,0,1,0.8125,0.4375,0.4375,0.6650796773165107,0.6247343673950666,0.5599867990721901,0.6650796773165107,0.6023194805606508,0.6650796773165107,0.6421550698687402,0.25,0.9375,1.0,0,0,0,,435.0,-1,,435.0,4.0,-1,-1,4.0,0.4,0.29545855109942315,4,0.2666666666666667,0.4761904761904762,0.4506789068061843,0.25,0.4515982981301174,2014-10-02 05:00:00+00:00,2014-10-02 17:00:00+00:00,431,2014-10-02 17:00:00+00:00,2014-10-03 09:00:00+00:00,accepted_breakout,0.0,5.118233296656519,0.0,0.5612137366724532,1,0,box_too_narrow_for_visible_structure,,,65,428,432,2014-10-02 21:00:00+00:00,431.0,2014-10-02 17:00:00+00:00,431.0,2014-10-02 17:00:00+00:00,431.0,2014-10-02 17:00:00+00:00
9,8,636,639,662,7,3,1174.932,1202.208,1188.5700000000002,27.276000000000067,2.817695549263534,0.6544029860277789,0.6544029860277789,0.6088516589160171,0.6088516589160171,2,2,1.0,1.0,0.0,0.0,0.5905557999706668,1.1536891000944203,1.6640064491691136,1.0,0.3765128817088257,0,1,-1,0.9303905753531727,0,1,0.25,0.625,0.25,0.7205157780845763,0.682064477555813,0.6205892864151427,0.7205157780845763,0.6577857990942385,0.7205157780845763,0.7417032757066339,0.25,1.0,1.0,4,4,8,2.0,645.0,1,645.0,,6.0,1,0,,0.6,0.3802157986532189,23,0.2666666666666667,0.038461538461538464,0.6312123943723974,1.0,0.8467774575674583,2014-11-19 22:00:00+00:00,2014-11-20 10:00:00+00:00,639,2014-11-20 10:00:00+00:00,2014-11-26 06:00:00+00:00,superseded,1.9331400091906954,0.0,0.35561999693643487,0.8335421568927086,1,1,edge_misses_chart_reality,,,99,636,639,2014-11-20 10:00:00+00:00,639.0,2014-11-20 10:00:00+00:00,639.0,2014-11-20 10:00:00+00:00,639.0,2014-11-20 10:00:00+00:00
11,16,662,665,671,4,3,1190.124,1203.61,1196.867,13.485999999999876,2.1102308197523247,0.6846275894263296,0.6846275894263296,0.6214554050389495,0.6214554050389495,2,2,1.0,0.8433007982196945,0.7010000000000218,0.10968944124621381,0.5550200207622696,0.9390104663602082,1.1712203533921166,0.0,0.5094110151944299,0,0,0,0.8829403331850336,0,1,0.5,0.5625,0.5,0.7431775410529466,0.7014346004387693,0.6611417079156217,0.7431775410529466,0.6904351634220889,0.7431775410529466,0.7270232004016627,0.25,1.0,0.8433007982196945,2,1,4,2.0,667.0,-1,,667.0,2.0,-1,-1,6.0,0.0,0.4182094133838935,6,0.3666666666666667,0.4444444444444444,0.6077366961062163,0.5833333333333333,0.5938786184709985,2014-11-26 06:00:00+00:00,2014-11-26 18:00:00+00:00,665,2014-11-26 18:00:00+00:00,2014-11-27 22:00:00+00:00,accepted_breakout,0.8719425300668657,4.045529010424562,0.0,0.6681860972105178,0,1,box_too_narrow_for_visible_structure,,,113,662,666,2014-11-26 22:00:00+00:00,665.0,2014-11-26 18:00:00+00:00,665.0,2014-11-26 18:00:00+00:00,665.0,2014-11-26 18:00:00+00:00
12,5,699,702,704,4,3,1200.874,1213.383,1207.1285,12.509000000000015,1.5612257893766979,0.6188973466677439,0.6188973466677439,0.562017900920033,0.562017900920033,2,2,1.0,1.0,0.0,0.0,0.2678871212726742,1.1429935070039159,0.418232282372782,0.0,0.6667968684419565,0,2,-1,0.5570922269299297,0,1,0.4,1.0,0.4,0.7111272511661507,0.6443941731576878,0.582723227696446,0.7111272511661507,0.6209535387814481,0.7111272511661507,0.6505328921989727,0.25,1.0,1.0,0,0,0,,704.0,-1,,704.0,2.0,-1,-1,2.0,0.4,0.3565458195864393,2,0.5666666666666667,0.7000000000000001,0.46049213898269825,0.125,0.3055397014123412,2014-12-04 14:00:00+00:00,2014-12-05 02:00:00+00:00,702,2014-12-05 02:00:00+00:00,2014-12-05 10:00:00+00:00,accepted_breakout,0.0,10.04018772086645,0.0,0.44383338064149974,1,1,box_too_narrow_for_visible_structure,,,122,699,702,2014-12-05 02:00:00+00:00,702.0,2014-12-05 02:00:00+00:00,702.0,2014-12-05 02:00:00+00:00,702.0,2014-12-05 02:00:00+00:00
13,5,764,768,771,4,4,1193.463,1200.421,1196.942,6.958000000000084,0.9419348103286179,0.6433024482319081,0.6433024482319081,0.5632209751220109,0.5632209751220109,3,3,1.0,0.8371639817893965,0.8419999999998709,0.1139852127474224,0.6580914055763001,0.3220556070382122,0.6198792032904058,0.0,0.3645134057331427,1,2,-1,0.932835105873334,0,1,1.0,0.8,0.8,0.7518804771548135,0.6537439015704004,0.6171591427999098,0.7518804771548135,0.6247222583811123,0.7518804771548135,0.5818052031649409,0.5,1.0,0.8371639817893965,1,1,2,2.0,769.0,1,769.0,771.0,1.0,1,-1,3.0,0.2,0.3645134057331427,3,0.35,0.6071428571428571,0.4663977199349906,0.35416666666666663,0.4491291918885095,2014-12-19 10:00:00+00:00,2014-12-22 02:00:00+00:00,768,2014-12-22 02:00:00+00:00,2014-12-22 14:00:00+00:00,accepted_breakout,2.571303208504471,24.25433241184663,0.0,0.21591261714144044,1,1,box_too_narrow_for_visible_structure,,,134,764,768,2014-12-22 02:00:00+00:00,768.0,2014-12-22 02:00:00+00:00,768.0,2014-12-22 02:00:00+00:00,768.0,2014-12-22 02:00:00+00:00
14,12,1055,1058,1064,4,3,1204.309,1223.174,1213.7415,18.86500000000001,2.9020988739231224,0.5899940061385185,0.5899940061385185,0.512824280124804,0.512824280124804,2,3,0.9166666666666666,1.0,0.0,0.0,0.1305062284654115,2.523356895253698,0.37874197866942444,0.0,0.48639108248101814,0,2,-1,0.5900167859351579,0,1,0.75,1.0,0.75,0.6796249352115505,0.618328920709685,0.5518517292470534,0.6796249352115505,0.5862621092928273,0.6796249352115505,0.5909492465506591,0.25,0.9166666666666666,1.0,2,1,2,1.0,1059.0,-1,,1059.0,1.0,-1,0,6.0,0.0,0.1709489742179613,6,0.4166666666666667,0.5277777777777778,0.439980985784015,0.5416666666666666,0.5106896908904481,2015-03-02 06:00:00+00:00,2015-03-02 18:00:00+00:00,1058,2015-03-02 18:00:00+00:00,2015-03-03 18:00:00+00:00,accepted_breakout,0.0,3.1094736575260242,0.0,0.676431568001724,1,0,box_too_narrow_for_visible_structure,,,185,1055,1058,2015-03-02 18:00:00+00:00,1058.0,2015-03-02 18:00:00+00:00,1058.0,2015-03-02 18:00:00+00:00,1058.0,2015-03-02 18:00:00+00:00
