candidate_lineage_id,candidate_lookback_bars,birth_idx,birth_timestamp,last_idx,last_timestamp,raw_candidate_flag,maturity_pass_flag,maturity_pass_idx,maturity_pass_timestamp,viability_pass_flag,viability_pass_idx,viability_pass_timestamp,confirmed_flag,duplicate_suppressed_flag,range_confirm_idx,range_confirm_timestamp,failed_dwell,failed_boundary_stability,failed_same_lineage_continuation,failed_candidate_eligibility_before_maturity,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_pressure_imbalance,range_recent_equilibrium_score,range_recent_two_sided_freshness_score,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_strength_viability,viability_fail_due_to_pressure,viability_fail_due_to_equilibrium,viability_fail_due_to_freshness,viability_fail_due_to_score_threshold,viability_fail_multiple_reasons,expansion_veto_seen_flag,low_viability_reject_seen_flag
1,5,14,2014-01-06 07:00:00+00:00,14,2014-01-06 07:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
5,5,22,2014-01-07 15:00:00+00:00,22,2014-01-07 15:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
7,5,28,2014-01-08 15:00:00+00:00,28,2014-01-08 15:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
11,5,34,2014-01-09 15:00:00+00:00,35,2014-01-09 19:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
16,5,51,2014-01-14 11:00:00+00:00,51,2014-01-14 11:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
18,5,53,2014-01-14 19:00:00+00:00,53,2014-01-14 19:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
23,5,68,2014-01-17 07:00:00+00:00,68,2014-01-17 07:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
24,5,78,2014-01-21 03:00:00+00:00,78,2014-01-21 03:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
25,5,85,2014-01-22 07:00:00+00:00,87,2014-01-22 15:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
26,5,97,2014-01-24 07:00:00+00:00,97,2014-01-24 07:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
27,5,113,2014-01-28 23:00:00+00:00,113,2014-01-28 23:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
32,5,120,2014-01-30 03:00:00+00:00,120,2014-01-30 03:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
34,5,176,2014-02-12 11:00:00+00:00,176,2014-02-12 11:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
35,5,201,2014-02-18 19:00:00+00:00,202,2014-02-18 23:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
37,5,208,2014-02-19 23:00:00+00:00,209,2014-02-20 03:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
40,5,217,2014-02-21 11:00:00+00:00,217,2014-02-21 11:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
41,5,221,2014-02-24 03:00:00+00:00,221,2014-02-24 03:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
42,5,229,2014-02-25 11:00:00+00:00,229,2014-02-25 11:00:00+00:00,1,0,,,0,,,0,0,,,1,0,1,1,0,0,,,,,,0,,0,0,0,0,0,0,0
43,5,231,2014-02-25 19:00:00+00:00,232,2014-02-25 23:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
45,5,247,2014-02-28 11:00:00+00:00,247,2014-02-28 11:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
46,5,265,2014-03-05 11:00:00+00:00,265,2014-03-05 11:00:00+00:00,1,0,,,0,,,0,0,,,1,0,0,1,0,0,,,,,,0,,0,0,0,0,0,0,0
