rung_id,confirmed_count,active_rows,median_confirm_latency,durable_plausible_count,fragile_plausible_count,weak_false_positive_count,strong_false_positive_count,plausible_total,false_positive_total,strong_false_positive_share,durable_plausible_share,strength_alignment_status,viability_alignment_status,chart_review_status,valid_contract_rung
step8e_a/mid_a,417,2150,2.0,34,129,187,116,163,303,0.38283828382838286,0.0815347721822542,ok,ok,too_noisy,False
step8e_a/mid_b,381,1891,2.0,29,119,172,102,148,274,0.3722627737226277,0.07611548556430446,ok,ok,too_noisy,False
step8e_a/mid_c,198,1029,3.0,20,69,67,45,89,112,0.4017857142857143,0.10101010101010101,ok,ok,too_sparse_or_misaligned,False
step8e_a/mid_d,177,876,3.0,18,60,61,39,78,100,0.39,0.1016949152542373,ok,ok,too_sparse_or_misaligned,False
step8e_a/mid_e,212,1087,3.0,20,76,70,47,96,117,0.4017094017094017,0.09433962264150944,ok,ok,too_sparse_or_misaligned,False
step8e_a/mid_f,198,1029,3.0,20,69,67,45,89,112,0.4017857142857143,0.10101010101010101,ok,ok,too_sparse_or_misaligned,False
step8e_b/mid_a,373,2078,2.0,34,130,153,96,164,249,0.3855421686746988,0.09115281501340483,bad,ok,too_noisy,False
step8e_b/mid_b,327,1788,2.0,29,118,133,77,147,210,0.36666666666666664,0.08868501529051988,bad,ok,too_noisy,False
step8e_b/mid_c,175,992,3.0,21,71,50,33,92,83,0.39759036144578314,0.12,ok,ok,too_sparse_or_misaligned,False
step8e_b/mid_d,147,805,3.0,19,58,44,24,77,68,0.35294117647058826,0.1292517006802721,ok,ok,too_sparse_or_misaligned,False
step8e_b/mid_e,188,1046,3.0,21,75,52,36,96,88,0.4090909090909091,0.11170212765957446,ok,ok,too_sparse_or_misaligned,False
step8e_b/mid_f,175,992,3.0,21,71,50,33,92,83,0.39759036144578314,0.12,ok,ok,too_sparse_or_misaligned,False
