range_id,candidate_lookback_bars,birth_idx,confirm_idx,end_idx,state,confirm_latency_bars,low,high,mid,width_abs,width_atr,strength_raw,strength,strength_raw_legacy,strength_legacy,upper_touches,lower_touches,close_inside_frac,boundary_stability_score,candidate_boundary_drift_abs,candidate_boundary_drift_atr,confirm_close_position_in_range,confirm_dist_to_upper_atr,confirm_dist_to_lower_atr,confirm_regime,range_recent_pressure_imbalance,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_recent_equilibrium_score,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_upper_touch_freshness,range_recent_lower_touch_freshness,range_recent_two_sided_freshness_score,range_strength_structure,range_strength_monitorability,range_strength_semantic,range_strength_formation,range_strength_viability,range_strength_formation_legacy,range_strength_viability_legacy,range_touch_quality_score,range_containment_quality_score,range_stability_quality_score,break_pending_count,reclaimed_count,total_pending_bars,mean_pending_duration_bars,first_breach_idx,first_breach_side,first_upper_breach_idx,first_lower_breach_idx,bars_to_first_breach,breakout_side_first,accepted_breakout_side,bars_to_breakout_accept,audit_range_recent_pressure_imbalance_legacy,audit_range_recent_pressure_imbalance_v2,duration_bars,rb_micro_box_risk_score,rb_late_confirm_fragility_score,rb_boundary_relevance_score,rb_monitor_worthiness_score,rb_plausibility_score,range_high_g2,range_low_g2,range_high_g3,range_low_g3,range_high_g4,range_low_g4,range_high_g5,range_low_g5,birth_timestamp,confirm_timestamp,active_start_idx,active_start_timestamp,end_timestamp,range_state,geometry_upper_edge_miss_atr,geometry_lower_edge_miss_atr,geometry_chart_fit_score,geometry_visible_width_ratio,geometry_upper_swing_confluence,geometry_lower_swing_confluence,geometry_review_bucket_suggested,geometry_review_bucket_manual,geometry_review_notes,candidate_lineage_id,candidate_birth_idx,last_idx,last_timestamp,maturity_pass_idx,maturity_pass_timestamp,viability_pass_idx,viability_pass_timestamp,range_confirm_idx,range_confirm_timestamp
1,8,745,748,749.0,4,3,1309.85,1318.482,1314.166,8.632000000000062,1.5537194119902207,0.6557116155321216,0.6557116155321216,0.5570914392449862,0.5570914392449862,4,3,0.875,1.0,0.0,0.0,0.6199026876737807,0.5905645726065568,0.9631548393836639,2,0.49993403248699064,2,0,1,0.7251312944083896,0,1,0.875,0.5,0.5,0.7243184106117307,0.6795008801238801,0.6247515460623072,0.7243184106117307,0.6447426563238832,0.7243184106117307,0.6152084292470413,0.5,0.875,1.0,0,0,0,,749.0,1,749.0,,1.0,1,1,1.0,0.6,0.5132962966860134,1.0,0.6166666666666667,0.8333333333333334,0.46500098582229515,0.0625,0.24812524645557377,1318.482,1309.85,1318.482,1309.85,1318.482,1309.85,1318.482,1309.85,2014-06-23 14:00:00+00:00,2014-06-24 02:00:00+00:00,748,2014-06-24 02:00:00+00:00,2014-06-24 06:00:00+00:00,accepted_breakout,4.791727478298891,0.0,0.0,0.5369160913105718,1,1,box_too_narrow_for_visible_structure,,,110,745,748,2014-06-24 02:00:00+00:00,748.0,2014-06-24 02:00:00+00:00,748.0,2014-06-24 02:00:00+00:00,748.0,2014-06-24 02:00:00+00:00
2,8,931,934,935.0,4,3,1286.076,1295.375,1290.7255,9.298999999999978,2.1174850283068314,0.686564516954761,0.686564516954761,0.6001135117298491,0.6001135117298491,3,2,1.0,1.0,0.0,0.0,0.5567265297343714,0.9386249367330819,1.1788600915737493,0,0.4217207952950828,0,0,0,0.9360146252285079,0,1,0.375,0.625,0.375,0.722264022889944,0.7117545546277788,0.6596929643597966,0.722264022889944,0.6922051113978369,0.722264022889944,0.7181305190140334,0.25,1.0,1.0,0,0,0,,935.0,-1,,935.0,1.0,-1,-1,1.0,0.4,0.37674103603341436,1.0,0.7166666666666667,0.8333333333333334,0.47579840287951886,0.0625,0.2308246007198797,1295.375,1286.076,1295.375,1286.076,1295.375,1286.076,1295.375,1286.076,2014-08-04 18:00:00+00:00,2014-08-05 06:00:00+00:00,934,2014-08-05 06:00:00+00:00,2014-08-05 10:00:00+00:00,accepted_breakout,0.22290594440584893,1.7662462544023567,0.33694926706393147,0.7399538473780515,1,1,box_too_narrow_for_visible_structure,,,141,931,934,2014-08-05 06:00:00+00:00,934.0,2014-08-05 06:00:00+00:00,934.0,2014-08-05 06:00:00+00:00,934.0,2014-08-05 06:00:00+00:00
4,12,936,939,941.0,4,3,1282.336,1295.375,1288.8555000000001,13.038999999999987,2.6812227174635286,0.6661308143160465,0.6661308143160465,0.6436715547427461,0.6436715547427461,2,2,1.0,1.0,0.0,0.0,0.6588695452105149,0.9146467250002328,1.7665759924632958,0,0.5247105880409543,0,0,0,0.8310453255617838,0,1,0.16666666666666663,0.75,0.16666666666666663,0.7568003334836989,0.6895443316125599,0.6319563367201507,0.7568003334836989,0.6760317149611198,0.7568003334836989,0.7508616787993052,0.25,1.0,1.0,0,0,0,,941.0,1,941.0,,2.0,1,1,2.0,0.4,0.3573529736735058,2.0,0.5666666666666667,0.7000000000000001,0.49079050305188554,0.125,0.31311429242963806,1295.375,1282.336,1295.375,1282.336,1295.375,1282.336,1295.375,1282.336,2014-08-05 14:00:00+00:00,2014-08-06 02:00:00+00:00,939,2014-08-06 02:00:00+00:00,2014-08-06 10:00:00+00:00,accepted_breakout,5.22075242344744,0.0,0.0,0.4822650441986896,1,1,box_too_narrow_for_visible_structure,,,145,936,939,2014-08-06 02:00:00+00:00,939.0,2014-08-06 02:00:00+00:00,939.0,2014-08-06 02:00:00+00:00,939.0,2014-08-06 02:00:00+00:00
6,12,1124,1127,1129.0,4,3,1230.606,1241.86,1236.233,11.253999999999905,2.1541320472037815,0.6827240760424934,0.6827240760424934,0.6001293725578475,0.6001293725578475,2,3,1.0,1.0,0.0,0.0,0.4724542384929849,1.1364032312287844,1.0177288159749973,0,0.46748333053249697,0,0,0,0.8036253776434863,0,1,0.5833333333333333,0.6666666666666667,0.5833333333333333,0.7336626557445104,0.7066435459935315,0.6544815485312987,0.7336626557445104,0.6837803362147417,0.7336626557445104,0.6966514920240482,0.25,1.0,1.0,1,0,2,2.0,1128.0,-1,,1128.0,1.0,-1,-1,2.0,0.2,0.3697009730150142,2.0,0.6166666666666667,0.7833333333333333,0.4828459065135477,0.20833333333333331,0.31362814329505356,1241.86,1230.606,1241.86,1230.606,1241.86,1230.606,1241.86,1230.606,2014-09-16 22:00:00+00:00,2014-09-17 10:00:00+00:00,1127,2014-09-17 10:00:00+00:00,2014-09-17 18:00:00+00:00,accepted_breakout,0.0,6.738212738091713,0.0,0.4367262990414802,1,1,box_too_narrow_for_visible_structure,,,172,1124,1127,2014-09-17 10:00:00+00:00,1127.0,2014-09-17 10:00:00+00:00,1127.0,2014-09-17 10:00:00+00:00,1127.0,2014-09-17 10:00:00+00:00
7,8,1185,1188,1201.0,4,3,1204.109,1219.954,1212.0315,15.845000000000027,2.7717499864893673,0.5940134059462567,0.5940134059462567,0.5099049786485682,0.5099049786485682,2,4,1.0,1.0,0.0,0.0,0.27137898390660614,2.0195552915127335,0.7521946949766338,1,0.7054039369705138,0,3,-1,0.42520248238142133,0,1,0.375,0.875,0.375,0.6530103847859445,0.6217392299486141,0.5612841971699264,0.6530103847859445,0.6001602997190472,0.6530103847859445,0.6347546443581548,0.25,1.0,1.0,1,1,2,2.0,1193.0,1,1193.0,1201.0,5.0,1,-1,13.0,0.8,0.6716479511550902,13.0,0.2666666666666667,0.22916666666666666,0.5150480795212756,0.7083333333333334,0.677512019880319,1219.954,1204.109,1219.954,1204.109,1219.954,1204.109,1219.954,1204.109,2014-09-30 18:00:00+00:00,2014-10-01 06:00:00+00:00,1188,2014-10-01 06:00:00+00:00,2014-10-03 10:00:00+00:00,accepted_breakout,0.816090921268458,5.107603524490622,0.0,0.491104636746841,1,1,box_too_narrow_for_visible_structure,,,182,1185,1188,2014-10-01 06:00:00+00:00,1188.0,2014-10-01 06:00:00+00:00,1188.0,2014-10-01 06:00:00+00:00,1188.0,2014-10-01 06:00:00+00:00
8,5,1264,1267,1267.0,7,3,1231.671,1240.444,1236.0575,8.77299999999991,1.5542059059050275,0.5754080416375682,0.5754080416375682,0.4943345787322417,0.4943345787322417,3,2,1.0,0.6902268276322372,1.2239999999999327,0.21684122065743397,0.5529465405220488,0.6948131269759055,0.8593927789291219,1,0.48626401307525535,2,0,1,0.7851362133819662,0,1,0.8,0.4,0.4,0.653639922239069,0.59046078968297,0.5502466323831906,0.653639922239069,0.5750428557883251,0.653639922239069,0.5937994348093044,0.25,1.0,0.6902268276322372,0,0,0,,,0,,,,0,0,,0.6,0.26107566934282705,0.0,0.6666666666666667,0.9166666666666666,0.32580882805865913,0.0,0.16478554034799808,1240.444,1231.671,1240.444,1231.671,1240.444,1231.671,1240.444,1231.671,2014-10-17 14:00:00+00:00,2014-10-19 22:00:00+00:00,1267,2014-10-19 22:00:00+00:00,2014-10-19 22:00:00+00:00,superseded,1.8948583252777162,0.0,0.3683805582407612,0.7486772486772508,0,1,box_too_narrow_for_visible_structure,,,197,1264,1267,2014-10-19 22:00:00+00:00,1267.0,2014-10-19 22:00:00+00:00,1267.0,2014-10-19 22:00:00+00:00,1267.0,2014-10-19 22:00:00+00:00
9,12,1264,1267,1271.0,4,3,1231.671,1244.325,1237.998,12.653999999999996,2.241755560620359,0.6655072439524139,0.6655072439524139,0.5584619061805023,0.5584619061805023,3,2,1.0,0.7689355340099784,0.9130000000000109,0.1617451261930151,0.38335704125176917,1.3823627816912372,0.8593927789291219,1,0.5313635863909205,0,0,0,0.8422633159475189,0,1,0.25,0.75,0.25,0.676419584865042,0.682023710636113,0.649887437392086,0.676419584865042,0.6746360029868419,0.676419584865042,0.7093577188778116,0.25,1.0,0.7689355340099784,1,0,2,2.0,1270.0,1,1270.0,,3.0,1,1,4.0,0.4,0.382343974580261,4.0,0.3166666666666667,0.5595238095238095,0.5669700844960849,0.3333333333333333,0.4831710925525927,1244.325,1231.671,1244.325,1231.671,1244.325,1231.671,1244.325,1231.671,2014-10-17 14:00:00+00:00,2014-10-19 22:00:00+00:00,1267,2014-10-19 22:00:00+00:00,2014-10-20 14:00:00+00:00,accepted_breakout,1.9007424693621924,0.0,0.36641917687926917,0.7480934082175598,0,1,box_too_narrow_for_visible_structure,,,199,1264,1269,2014-10-20 06:00:00+00:00,1267.0,2014-10-19 22:00:00+00:00,1267.0,2014-10-19 22:00:00+00:00,1267.0,2014-10-19 22:00:00+00:00
10,12,1399,1402,1408.0,4,3,1181.43,1204.682,1193.056,23.251999999999953,2.9468727790072156,0.6400063136772186,0.6400063136772186,0.6104506706833907,0.6104506706833907,2,2,1.0,1.0,0.0,0.0,0.5618011353861991,1.291316305922278,1.6555564730849375,2,0.4752791215457583,0,0,0,0.8826194162509367,0,1,0.6666666666666667,0.25,0.25,0.700236171460815,0.6695678692738817,0.6055378297306463,0.700236171460815,0.6486070272830089,0.700236171460815,0.7862970989008938,0.25,1.0,1.0,2,1,2,1.0,1405.0,-1,,1405.0,3.0,-1,0,6.0,0.2,0.46766922546672035,6.0,0.3166666666666667,0.3611111111111111,0.48137061942168935,0.625,0.6035370992998668,1204.682,1181.43,1204.682,1181.43,1204.682,1181.43,1204.682,1181.43,2014-11-18 15:00:00+00:00,2014-11-19 03:00:00+00:00,1402,2014-11-19 03:00:00+00:00,2014-11-20 03:00:00+00:00,accepted_breakout,0.0,2.2050493819380916,0.26498353935396946,0.7815798319327715,1,0,box_too_narrow_for_visible_structure,,,227,1399,1403,2014-11-19 07:00:00+00:00,1402.0,2014-11-19 03:00:00+00:00,1402.0,2014-11-19 03:00:00+00:00,1402.0,2014-11-19 03:00:00+00:00
11,8,1407,1410,1416.0,4,3,1174.932,1202.208,1188.5700000000002,27.276000000000067,2.6284906808948127,0.6625790552911826,0.6625790552911826,0.5582784042471324,0.5582784042471324,2,2,0.875,1.0,0.0,0.0,0.6569878281272924,0.9016042972009016,1.7268863836939112,0,0.29580831196771423,1,1,0,0.8961480177934229,0,1,0.25,0.625,0.25,0.7170769853759136,0.6890114003279413,0.6316562166467484,0.7170769853759136,0.6544495049418254,0.7170769853759136,0.6309122907597473,0.25,0.875,1.0,1,1,2,2.0,1412.0,1,1412.0,,2.0,1,1,6.0,0.4,0.29580831196771423,6.0,0.3666666666666667,0.4444444444444444,0.5425979459817668,0.4583333333333333,0.5338439309398862,1202.208,1174.932,1202.208,1174.932,1202.208,1174.932,1202.208,1174.932,2014-11-19 23:00:00+00:00,2014-11-20 11:00:00+00:00,1410,2014-11-20 11:00:00+00:00,2014-11-21 11:00:00+00:00,accepted_breakout,2.072291920070866,0.0,0.3092360266430446,0.8335421568927086,1,1,edge_misses_chart_reality,,,231,1407,1410,2014-11-20 11:00:00+00:00,1410.0,2014-11-20 11:00:00+00:00,1410.0,2014-11-20 11:00:00+00:00,1410.0,2014-11-20 11:00:00+00:00
12,16,1502,1505,1509.0,4,3,1214.122,1238.154,1226.138,24.031999999999925,2.761263253273241,0.6080304814297615,0.6080304814297615,0.48945522984581136,0.48945522984581136,2,2,1.0,0.715870108223798,1.7309999999999945,0.19889092424334137,0.3364680426098551,1.832186411313873,0.9290768419593679,1,0.5028673243985757,0,2,-1,0.6827285841100741,0,1,0.125,1.0,0.125,0.6455754409308981,0.6246646627041755,0.5880505756390717,0.6455754409308981,0.60447573276425,0.6455754409308981,0.5969481871347556,0.25,1.0,0.715870108223798,1,1,2,2.0,1507.0,-1,,1507.0,2.0,-1,-1,4.0,0.6,0.4947498811781773,4.0,0.3666666666666667,0.4761904761904762,0.5170647589859152,0.41666666666666663,0.5065280945083835,1238.154,1214.122,1238.154,1214.122,1238.154,1214.122,1238.154,1214.122,2014-12-12 03:00:00+00:00,2014-12-12 15:00:00+00:00,1505,2014-12-12 15:00:00+00:00,2014-12-15 07:00:00+00:00,accepted_breakout,3.0370157535899853,3.7185878556954663,0.0,0.9273751640040109,0,1,box_not_visually_real,,,262,1502,1505,2014-12-12 15:00:00+00:00,1505.0,2014-12-12 15:00:00+00:00,1505.0,2014-12-12 15:00:00+00:00,1505.0,2014-12-12 15:00:00+00:00
