event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
17041,2014-07-03 09:00:00+00:00,bos,bear,-1.0,0.2957263714807116,0.4457263714807116,9.0,0,0,0
17067,2014-07-09 21:00:00+00:00,bos,bull,1.0,0.4544973882244288,0.6044973882244288,35.0,0,0,0
17069,2014-07-10 05:00:00+00:00,bos,bull,1.0,0.6988060450491969,0.9488060450491969,37.0,0,0,0
17080,2014-07-14 01:00:00+00:00,bos,bear,-1.0,0.5934927768318227,0.9434927768318228,30.0,0,0,0
17089,2014-07-15 13:00:00+00:00,bos,bear,-1.0,0.6349643757985193,0.7849643757985193,21.0,0,0,0
17128,2014-07-24 01:00:00+00:00,bos,bear,-1.0,0.30676603549777265,0.5067660354977727,5.0,0,0,0
17161,2014-07-31 13:00:00+00:00,bos,bear,-1.0,0.4891044202069346,0.7391044202069346,4.0,0,0,0
17192,2014-08-07 17:00:00+00:00,bos,bull,1.0,0.2441069180161816,0.4441069180161816,5.0,0,0,0
17248,2014-08-21 01:00:00+00:00,bos,bear,-1.0,0.39282869304465046,0.5428286930446504,1.0,0,1,1
17322,2014-09-08 13:00:00+00:00,bos,bear,-1.0,0.25060909998302333,0.4006090999830233,5.0,0,0,0
17328,2014-09-09 13:00:00+00:00,bos,bear,-1.0,0.45610424645014663,0.6061042464501466,1.0,0,1,1
17334,2014-09-10 13:00:00+00:00,bos,bear,-1.0,0.44963778263845705,0.599637782638457,7.0,0,0,0
17339,2014-09-11 09:00:00+00:00,bos,bear,-1.0,0.28509484360530024,0.43509484360530026,12.0,0,0,0
17346,2014-09-12 13:00:00+00:00,bos,bear,-1.0,0.38667790443671446,0.5366779044367145,17.0,0,0,0
17365,2014-09-17 17:00:00+00:00,bos,bear,-1.0,0.6739142952851576,0.9239142952851576,2.0,0,0,1
17456,2014-10-08 21:00:00+00:00,bos,bull,1.0,0.2870133899834073,0.5370133899834073,15.0,0,0,0
17483,2014-10-15 09:00:00+00:00,bos,bull,1.0,0.48752821106577904,0.6375282110657791,1.0,0,1,1
17533,2014-10-27 17:00:00+00:00,bos,bear,-1.0,0.4379268846199058,0.6379268846199059,51.0,0,0,0
