event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
17098,2014-07-17 01:00:00+00:00,choch,bull,1.0,0.5114134398155138,0.7614134398155138,12.0,0,0,0
17154,2014-07-30 09:00:00+00:00,choch,bear,-1.0,0.2641530914365696,0.41415309143656964,1.0,0,1,1
17219,2014-08-14 05:00:00+00:00,choch,bull,1.0,0.3315665672807754,0.6315665672807754,0.0,1,1,1
17226,2014-08-15 09:00:00+00:00,choch,bear,-1.0,0.8268950403690889,1.0,7.0,0,0,0
17386,2014-09-23 05:00:00+00:00,choch,bull,1.0,0.48041042588545957,0.6304104258854596,17.0,0,0,0
17427,2014-10-02 01:00:00+00:00,choch,bull,1.0,0.4277100857209729,0.727710085720973,24.0,0,0,0
17434,2014-10-03 05:00:00+00:00,choch,bear,-1.0,0.3308006869330219,0.4808006869330219,31.0,0,0,0
17447,2014-10-07 09:00:00+00:00,choch,bull,1.0,0.3726148978748389,0.572614897874839,24.0,0,0,0
17501,2014-10-20 09:00:00+00:00,choch,bull,1.0,0.37390746198879765,0.5239074619887977,19.0,0,0,0
17571,2014-11-05 02:00:00+00:00,choch,bear,-1.0,0.7092105564078094,0.9592105564078094,26.0,0,0,0
17586,2014-11-07 14:00:00+00:00,choch,bull,1.0,0.826902062644516,1.0,11.0,0,0,0
17645,2014-11-21 10:00:00+00:00,choch,bull,1.0,0.49078976674314934,0.6907897667431494,10.0,0,0,0
17681,2014-12-01 14:00:00+00:00,choch,bull,1.0,0.7122893262445174,1.0,9.0,0,0,0
17712,2014-12-08 18:00:00+00:00,choch,bull,1.0,0.47469695268070244,0.6746969526807025,38.0,0,0,0
17771,2014-12-22 14:00:00+00:00,choch,bear,-1.0,0.7707282551420773,1.0,6.0,0,0,0
17812,2015-01-02 10:00:00+00:00,choch,bear,-1.0,0.5864929656950638,0.7864929656950639,22.0,0,0,0
17816,2015-01-05 02:00:00+00:00,choch,bull,1.0,0.3337578450973565,0.5337578450973566,26.0,0,0,0
17843,2015-01-09 14:00:00+00:00,choch,bull,1.0,0.29869588232761424,0.49869588232761425,53.0,0,0,0
17906,2015-01-26 06:00:00+00:00,choch,bear,-1.0,0.40261161801566536,0.6026116180156654,47.0,0,0,0
17944,2015-02-03 14:00:00+00:00,choch,bear,-1.0,0.3794368991853727,0.8294368991853728,9.0,0,0,0
17971,2015-02-10 02:00:00+00:00,choch,bull,1.0,0.3352281883696344,0.5352281883696345,18.0,0,0,0
16011,2015-02-18 18:00:00+00:00,choch,bull,1.0,0.5559046572468936,1.0,15.0,0,0,0
16055,2015-03-02 02:00:00+00:00,choch,bull,1.0,0.297462748430285,0.497462748430285,26.0,0,0,0
16189,2015-04-01 09:00:00+00:00,choch,bull,1.0,0.6960711661290203,0.9960711661290204,35.0,0,0,0
16244,2015-04-15 13:00:00+00:00,choch,bull,1.0,0.5305658727824675,0.9305658727824675,8.0,0,0,0
16262,2015-04-20 13:00:00+00:00,choch,bear,-1.0,0.29887889709357884,0.6488788970935789,0.0,1,1,1
16274,2015-04-22 13:00:00+00:00,choch,bear,-1.0,0.6779323949650004,0.9779323949650004,12.0,0,0,0
16292,2015-04-27 13:00:00+00:00,choch,bull,1.0,0.6678992856409736,0.8678992856409736,2.0,0,0,1
16358,2015-05-12 13:00:00+00:00,choch,bull,1.0,0.20756197739547566,0.40756197739547567,32.0,0,0,0
