eqhl_event_id,detect_idx,side,direction,structural_score,tradeable_live_score,realized_r,exit_reason,exit_idx,timestamp,cluster_id,level,width_atr,touch_count,width_component,formation_delay_component,structural_score_detect,tradeable_live_score_detect,score,formation_delay,last_member_origin_idx,distance_atr_at_detect,trend_aligned,prior_bos_distance_atr,prior_choch_distance_atr,swing_magnitude_atr,wick_ratio,atr_percentile,same_side_clusters_nearby_at_detect,touch_bucket,formation_delay_bucket,wick_ratio_component,atr_percentile_component,distance_at_detect_component,structural_score_quartile,subperiod
1,38,eqh,-1,0.6136836529988023,0.40038398623500915,1.3276174608171885,time,43,2014-07-02 21:00:00+00:00,4.0,1332.1235000000001,0.04892890373350341,2.0,0.5126590527741913,0.16666666666666666,0.6136836529988023,0.33598177931794126,0.33598177931794126,10.0,36.0,1.458358661076731,0.0,,,0.5090522515661418,0.526763990258485,0.038461538461538464,1.0,2-touch,0_10,0.526763990258485,0.038461538461538464,0.2916717322153462,Q4,first_half
2,93,eql,1,0.667034449237978,0.2146418680860951,1.4239540763813832,time,98,2014-07-16 05:00:00+00:00,16.0,1291.7765,0.09686243583311857,2.0,0.035232191454391715,0.03333333333333333,0.667034449237978,0.13069979015179112,0.13069979015179112,2.0,91.0,0.8920496452788682,0.0,6.154120539321768,,0.08976315789797372,0.17674259290670688,0.86,1.0,2-touch,0_10,0.17674259290670688,0.86,0.17840992905577363,Q4,first_half
3,103,eqh,-1,0.5951448643689485,0.5087256262604852,0.5717030374071678,time,108,2014-07-17 21:00:00+00:00,9.0,1324.3295,0.11781411494064134,2.0,0.0,0.7166666666666667,0.5951448643689485,0.4244322813400023,0.4244322813400023,43.0,101.0,1.1380921268356936,0.0,2.922217758535621,1.1918148448146824,2.0487820337814493,0.3431177745649225,1.0,1.0,2-touch,26_50,0.3431177745649225,1.0,0.22761842536713872,Q3,first_half
4,140,eqh,-1,0.5886101248886718,0.5227742289960494,0.21520530543799143,time,145,2014-07-28 01:00:00+00:00,18.0,1308.2365,0.0059684514186202214,2.0,0.9405531179757471,0.65,0.5886101248886718,0.45031224819700927,0.45031224819700927,39.0,138.0,3.0902936173910223,1.0,1.100497178006463,4.3123766771544485,0.8156920876613931,0.48784641584628224,0.26,1.0,2-touch,26_50,0.48784641584628224,0.26,0.6180587234782045,Q3,first_half
5,160,eql,1,0.6103864417114317,0.34537545688619814,-1.0,stop,161,2014-07-31 09:00:00+00:00,28.0,1291.521,0.060798106424674855,2.0,0.3944395947246978,0.06666666666666667,0.6103864417114317,0.28478503780629877,0.28478503780629877,4.0,158.0,0.9294229046955209,0.0,7.6185281507446945,2.2876225784662187,0.06590357567946004,0.5019811787889649,0.28,1.0,2-touch,0_10,0.5019811787889649,0.28,0.18588458093910418,Q3,first_half
6,187,eqh,-1,0.5136344314801119,0.4961650086200762,-1.0,stop,191,2014-08-06 21:00:00+00:00,24.0,1309.3115,0.02183516331753159,2.0,0.7825177275183937,0.75,0.5136344314801119,0.41325652572682425,0.41325652572682425,45.0,185.0,3.0743199864460675,0.0,3.18695747526697,2.3600616156488736,0.019961984952097566,0.3666110879456759,0.8,1.0,2-touch,26_50,0.3666110879456759,0.8,0.6148639972892135,Q1,first_half
7,289,eqh,-1,0.6120359565303723,0.6617617450872804,0.5698012639781385,time,294,2014-08-31 21:00:00+00:00,50.0,1291.0915,0.07680921038425058,2.0,0.23496603258871196,0.3333333333333333,0.6120359565303723,0.5001431911948653,0.5001431911948653,20.0,287.0,8.568671407703253,0.0,0.0023931653087293256,1.0202861432792518,0.04338336627644068,0.777377639535496,0.06,1.0,2-touch,11_25,0.777377639535496,0.06,1.0,Q3,first_half
8,356,eqh,-1,0.6105532549584287,0.21520770622997254,0.1323080409107301,time,361,2014-09-16 05:00:00+00:00,65.0,1238.3705,0.0044949555996536186,2.0,0.9552294093568016,0.05,0.6105532549584287,0.10139045164427231,0.10139045164427231,3.0,354.0,10.229932646193678,0.0,10.305467443552633,11.178270561288803,0.004386098495670869,0.12345679012187273,0.38,1.0,2-touch,0_10,0.12345679012187273,0.38,1.0,Q3,first_half
9,362,eql,1,0.5373626198418424,0.353996740889246,-1.0,stop,365,2014-09-17 05:00:00+00:00,63.0,1231.8095,0.09897889851916075,2.0,0.014151830941887211,0.2833333333333333,0.5373626198418424,0.2706492618533242,0.2706492618533242,17.0,360.0,0.8049285849327472,1.0,1.2297520047583888,10.379593394898345,0.007388459479777462,0.27689622341672915,0.56,1.0,2-touch,11_25,0.27689622341672915,0.56,0.16098571698654945,Q1,first_half
10,404,eqh,-1,0.5690467066360696,0.4408649429142005,0.968130166737493,time,409,2014-09-26 05:00:00+00:00,70.0,1228.4325,0.03760789332429645,2.0,0.6254184141207308,0.48333333333333334,0.5690467066360696,0.3047238841334284,0.3047238841334284,29.0,402.0,10.650836278261144,1.0,2.0992538794383666,0.48570360154263964,0.601897911637616,0.3209151143852958,0.96,1.0,2-touch,26_50,0.3209151143852958,0.96,1.0,Q2,first_half
