segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero,stability_classification
overall,width_component,current,466,0.003976266670859099,-0.18121177006696554,0.2373565134107084,0.4444444444444444,0.425531914893617,0.46808510638297873,0.0375036074225242,-0.02476145397342533,0.48148148148148145,0.4126984126984127,-0.026205422675908287,-0.02855837340983464,-0.028978988366689957,-0.023640661938534313,False,stable_negative
overall,width_component,inverted,466,0.24998258821269054,0.2373565134107084,-0.18121177006696554,0.4700854700854701,0.46808510638297873,0.425531914893617,0.05741234207666704,0.4392889318718324,0.46551724137931033,0.4745762711864407,0.026205422675908287,0.02855837340983464,0.028978988366689957,0.044553555191853056,False,stable_positive
overall,width_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False,degenerate
overall,formation_delay_component,current,466,0.37720315508431623,0.5318597534066761,0.05860642625745541,0.5867768595041323,0.5833333333333334,0.4,0.3269532212614785,0.433624133411713,0.625,0.543859649122807,0.11002841855936621,0.12734182247691955,0.09774539691417478,0.18677685950413225,False,stable_positive
overall,formation_delay_component,inverted,466,0.045262133444792664,0.05860642625745541,0.5318597534066761,0.4262295081967213,0.4,0.5833333333333334,-0.09499037662321826,0.20519920632936656,0.38461538461538464,0.47368421052631576,-0.11002841855936621,-0.12734182247691955,-0.09774539691417478,-0.15710382513661209,False,stable_negative
overall,formation_delay_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False,degenerate
overall,wick_ratio_component,current,466,0.21745198741126512,0.22026079970564685,-0.03809130633098317,0.5128205128205128,0.48936170212765956,0.3829787234042553,0.06929167871931113,0.3280193819574994,0.48,0.5373134328358209,0.08568794247682475,0.09586575577393941,0.07936252046985624,0.12984178941625746,False,stable_positive
overall,wick_ratio_component,inverted,466,-0.07159293279833714,-0.03809130633098317,0.22026079970564685,0.39316239316239315,0.3829787234042553,0.48936170212765956,-0.02839177444716421,-0.1315455607142506,0.4117647058823529,0.3673469387755102,-0.08568794247682475,-0.09586575577393941,-0.07936252046985624,-0.0961993089652664,False,stable_negative
overall,wick_ratio_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False,degenerate
overall,atr_percentile_component,current,466,0.1548852780407247,0.003726785291338051,0.11273972281435808,0.48739495798319327,0.47058823529411764,0.3728813559322034,-0.06269909899257047,0.37615752587119433,0.4166666666666667,0.559322033898305,0.04564292520791373,-0.07005093343020166,0.1529238708446836,0.11451360205098987,False,stable_positive
