feature,overall,first_half,second_half,eqh,eql,monotonicity,stability
formation_delay,0.11002841855936621,0.1929033915001406,0.02429125727376812,0.12734182247691955,0.09774539691417478,0.75,stable_positive
width_atr,0.024624242564232592,0.022802712182470448,0.02463110948841537,0.027412791693460333,0.027518719732878564,0.5,weak
touch_count,0.015891813046541355,0.0920419451893008,-0.045869172502546865,-0.014924876216833062,0.050548104930312907,,unstable
structural_score,-0.03526736017320742,0.005862417056078173,-0.07335187602407355,-0.08341912982211737,0.007972634011280398,0.5,unstable
span,0.11002841855936621,0.1929033915001406,0.02429125727376812,0.12734182247691955,0.09774539691417478,0.75,stable_positive
distance_atr_at_detect,0.05262898583864583,0.07753419800533677,0.03916573274511706,0.07101451304270705,0.034519008369650744,0.5,stable_positive
trend_aligned,-0.009250851511804176,-0.032203935592774784,0.00588341131021847,0.05307400835323433,-0.07009040567158988,,unstable
prior_bos_distance_atr,-0.06409950207762247,-0.08807725782643262,-0.043784989594895574,-0.13882680871589387,0.01645361875654254,0.25,stable_negative
prior_choch_distance_atr,-0.02368556894386125,-0.03567026376375316,-0.0025380583179964926,-0.052257324138171704,0.0033994682873380493,0.5,stable_negative
swing_magnitude_atr,0.09801654851381926,0.23095235845081885,-0.03449569615102841,0.06603728697627853,0.1230074212806244,0.5,unstable
wick_ratio,0.08568794247682475,0.10245992132203723,0.06638266647795141,0.09586575577393941,0.07936252046985624,0.75,stable_positive
atr_percentile,0.04564292520791373,0.024104537010749983,0.07227189620549732,-0.07005093343020166,0.1529238708446836,0.5,stable_positive
same_side_clusters_nearby_at_detect,-0.023980469774702685,-0.08774584675134137,0.03715210719739406,-0.027899994667607415,-0.021644030736681193,1.0,unstable
touch_component,0.015891813046541355,0.0920419451893008,-0.045869172502546865,-0.014924876216833062,0.050548104930312907,,unstable
width_component,-0.026205422675908287,-0.019996497326509016,-0.03013945855050932,-0.02855837340983464,-0.028978988366689957,0.3333333333333333,stable_negative
active_age_component,,,,,,,degenerate
formation_delay_component,-0.11002841855936621,-0.1929033915001406,-0.02429125727376812,-0.12734182247691955,-0.09774539691417478,0.25,stable_negative
structural_component,-0.03526736017320742,0.005862417056078173,-0.07335187602407355,-0.08341912982211737,0.007972634011280398,0.5,unstable
