feature,segment,count,rank_corr,monotonicity_ratio,stability_classification,bucket_0_avg_r,bucket_0_count,bucket_1_avg_r,bucket_1_count,bucket_2_avg_r,bucket_2_count,bucket_3_avg_r,bucket_3_count,bucket_4_avg_r,bucket_4_count
formation_delay,overall,466,0.11002841855936621,0.75,stable_positive,0.11387524973382974,103.0,0.13651454091929763,87.0,-0.21527772262734157,93.0,0.13883982797309558,93.0,0.38951640581000124,90.0
formation_delay,eqh,233,0.12734182247691955,0.75,,-0.022805572659083943,51.0,0.22733194381266789,46.0,-0.15805757562601502,46.0,-0.09907328167507823,45.0,0.3963362313625286,45.0
formation_delay,eql,233,0.09774539691417478,0.5,,0.31792476842481404,47.0,-0.013711598764616091,46.0,-0.1558219278037111,49.0,0.2664238350806994,46.0,0.38269658025747383,45.0
formation_delay,first_half,233,0.1929033915001406,0.75,,-0.07901243486359712,47.0,-0.017283329688414423,46.0,-0.09389976797945039,49.0,0.03716486042749067,45.0,0.4585896215727785,46.0
formation_delay,second_half,233,0.02429125727376812,0.5,,0.30489026891619897,52.0,0.2724497645150476,45.0,-0.26380534642516695,45.0,0.13880726946862107,44.0,0.33074511429737424,47.0
width_atr,overall,466,0.024624242564232592,0.5,weak,-0.021826367507339725,94.0,0.18713408589147826,93.0,0.1801670857106587,93.0,-0.036854507494195145,93.0,0.24595491275559064,93.0
width_atr,eqh,233,0.027412791693460333,0.5,,0.03373859255429046,47.0,-0.001667119527556814,46.0,0.24482775662912964,47.0,0.00933441936465681,46.0,0.041596920484695224,47.0
width_atr,eql,233,0.027518719732878564,0.5,,-0.15112007105715905,47.0,0.47707409630695613,46.0,0.056996449905192134,47.0,-0.03749470865419327,46.0,0.43311610633672176,47.0
width_atr,first_half,233,0.022802712182470448,0.5,,-0.2801490939641143,47.0,0.44639173598371057,46.0,-0.03675085182448546,47.0,-0.0760228772626508,46.0,0.24500351121768363,47.0
width_atr,second_half,233,0.02463110948841537,0.25,,0.1533269716712789,47.0,0.15137316877226603,46.0,0.14051762732290976,47.0,0.13039132204094822,46.0,0.2366802190669824,47.0
touch_count,overall,466,0.015891813046541355,,unstable,0.11063018906141328,466.0,,,,,,,,
touch_count,eqh,233,-0.014924876216833062,,,0.06609600629574258,233.0,,,,,,,,
