,formation_delay,width_atr,touch_count,structural_score,span,distance_atr_at_detect,trend_aligned,prior_bos_distance_atr,prior_choch_distance_atr,swing_magnitude_atr,wick_ratio,atr_percentile,same_side_clusters_nearby_at_detect,touch_component,width_component,active_age_component,formation_delay_component,structural_component
formation_delay,1.0,0.030232651978246882,0.11740230428474287,-0.28834253341475996,0.9999999999999998,0.1427185421871609,0.2854092971114252,-0.056635035273012196,-0.14852738414940816,0.46639765027909824,-0.051952625984063854,0.028719156699374165,-0.004323340879040326,0.11740230428474287,-0.027575791926260664,,-0.9999999999999998,-0.28834253341475996
width_atr,0.030232651978246882,1.0,0.21068376628224225,-0.417459276087184,0.030232651978246882,0.07452313135124038,0.04829279440475978,-0.02307189199253343,-0.012293837405132171,0.03902422104501412,-0.05819483976507355,0.04213357049617907,-0.007379210463467591,0.21068376628224225,-0.9958881007184327,,-0.030232651978246882,-0.417459276087184
touch_count,0.11740230428474287,0.21068376628224225,1.0,0.04504816291188934,0.11740230428474287,-0.027474792574051405,0.0513073089253348,0.030129532823734494,-0.020657648000188863,0.007147379559528292,-0.02157328325765879,-0.06436566976835598,0.025256451088255354,0.9999999999999999,-0.17145524866805464,,-0.11740230428474287,0.04504816291188934
structural_score,-0.28834253341475996,-0.417459276087184,0.04504816291188933,1.0,-0.28834253341475996,-0.18683116855550116,-0.11687667889555309,0.11045224307408806,0.059971242345106264,0.26932873544272234,0.05372849815646603,0.07070894970266736,0.007534746529570563,0.04504816291188933,0.4198702655251147,,0.28834253341475996,1.0
span,0.9999999999999998,0.030232651978246882,0.11740230428474287,-0.28834253341475996,1.0,0.1427185421871609,0.2854092971114252,-0.056635035273012196,-0.14852738414940816,0.46639765027909824,-0.051952625984063854,0.028719156699374165,-0.004323340879040326,0.11740230428474287,-0.027575791926260664,,-0.9999999999999998,-0.28834253341475996
distance_atr_at_detect,0.1427185421871609,0.07452313135124038,-0.0274747925740514,-0.1868311685555012,0.1427185421871609,1.0,-0.016454231366425903,-0.13644704612743944,-0.05473480910332483,0.00023864999875783583,0.09339349803562953,0.06344268889065227,0.010248379252621821,-0.0274747925740514,-0.08098758140145482,,-0.1427185421871609,-0.1868311685555012
trend_aligned,0.2854092971114252,0.048292794404759774,0.0513073089253348,-0.11687667889555309,0.2854092971114252,-0.016454231366425903,1.0,-0.15939332200540005,-0.21269371631141148,0.13709398319945557,-0.032760887266177756,-0.027095906619193665,0.028983431399450726,0.0513073089253348,-0.054789876339053134,,-0.2854092971114252,-0.11687667889555309
prior_bos_distance_atr,-0.056635035273012196,-0.02307189199253343,0.030129532823734498,0.11045224307408806,-0.056635035273012196,-0.13644704612743946,-0.15939332200540005,1.0,0.2551744558989229,-0.03558567698014485,-0.039750891548549425,-0.09128985568804249,0.0034318556311355502,0.030129532823734498,0.027068058278329858,,0.056635035273012196,0.11045224307408806
prior_choch_distance_atr,-0.1485273841494082,-0.012293837405132171,-0.02065764800018886,0.059971242345106264,-0.1485273841494082,-0.05473480910332483,-0.21269371631141148,0.2551744558989229,1.0,-0.08734086590091703,0.045998313460840816,0.02454612490131813,-0.07975360592242597,-0.02065764800018886,0.016071588773666934,,0.1485273841494082,0.059971242345106264
swing_magnitude_atr,0.46639765027909824,0.03902422104501412,0.007147379559528292,0.26932873544272234,0.46639765027909824,0.00023864999875783583,0.13709398319945557,-0.03558567698014485,-0.08734086590091703,1.0,0.10688963194838282,0.10844945240251541,-0.011336426261717497,0.007147379559528292,-0.037325717573618404,,-0.46639765027909824,0.26932873544272234
wick_ratio,-0.051952625984063854,-0.05819483976507355,-0.02157328325765879,0.05372849815646603,-0.051952625984063854,0.09339349803562953,-0.032760887266177756,-0.039750891548549425,0.045998313460840816,0.10688963194838282,1.0,-0.15171411311892016,-0.06653603527399618,-0.02157328325765879,0.05943444305451741,,0.051952625984063854,0.05372849815646603
atr_percentile,0.028719156699374165,0.04213357049617908,-0.06436566976835598,0.07070894970266736,0.028719156699374165,0.06344268889065227,-0.027095906619193665,-0.0912898556880425,0.02454612490131813,0.10844945240251541,-0.15171411311892016,1.0,0.05262295108900147,-0.06436566976835598,-0.048820389179944745,,-0.028719156699374165,0.07070894970266736
same_side_clusters_nearby_at_detect,-0.004323340879040325,-0.0073792104634675905,0.025256451088255357,0.007534746529570563,-0.004323340879040325,0.010248379252621821,0.02898343139945073,0.0034318556311355507,-0.07975360592242597,-0.011336426261717497,-0.06653603527399617,0.05262295108900147,1.0,0.025256451088255357,0.0077171353132312786,,0.004323340879040325,0.007534746529570563
touch_component,0.11740230428474287,0.21068376628224225,0.9999999999999999,0.04504816291188934,0.11740230428474287,-0.027474792574051405,0.0513073089253348,0.030129532823734494,-0.020657648000188863,0.007147379559528292,-0.02157328325765879,-0.06436566976835598,0.025256451088255354,1.0,-0.17145524866805464,,-0.11740230428474287,0.04504816291188934
width_component,-0.027575791926260664,-0.9958881007184326,-0.17145524866805464,0.41987026552511475,-0.027575791926260664,-0.08098758140145482,-0.054789876339053134,0.02706805827832986,0.01607158877366693,-0.037325717573618404,0.059434443054517415,-0.048820389179944745,0.007717135313231278,-0.17145524866805464,1.0,,0.027575791926260664,0.41987026552511475
active_age_component,,,,,,,,,,,,,,,,1.0,,
formation_delay_component,-0.9999999999999998,-0.030232651978246882,-0.11740230428474287,0.28834253341475996,-0.9999999999999998,-0.1427185421871609,-0.2854092971114252,0.056635035273012196,0.14852738414940816,-0.46639765027909824,0.051952625984063854,-0.028719156699374165,0.004323340879040326,-0.11740230428474287,0.027575791926260664,,1.0,0.28834253341475996
structural_component,-0.28834253341475996,-0.417459276087184,0.04504816291188933,1.0,-0.28834253341475996,-0.18683116855550116,-0.11687667889555309,0.11045224307408806,0.059971242345106264,0.26932873544272234,0.05372849815646603,0.07070894970266736,0.007534746529570563,0.04504816291188933,0.4198702655251147,,0.28834253341475996,1.0
