,realized_r,eqhl_r_hold_5,eqhl_r_failed_5,eqhl_r_swept_5,eqhl_r_mfe_5_atr,eqhl_r_mae_5_atr
formation_delay,0.11002841855936621,0.13682555068031133,-0.13682555068031133,-0.13273677487458535,0.08126314175555162,-0.13259989605258912
width_atr,0.024624242564232592,0.030212940602979663,-0.030212940602979663,0.018057373796696193,0.05175178024037178,0.016804871685022118
touch_count,0.015891813046541355,0.04195380160104443,-0.04195380160104443,0.003071986561789819,-0.01081943098112243,0.009770271430655637
structural_score,-0.03526736017320742,-0.0276675918851291,0.0276675918851291,0.023785250431132086,-0.03844050350711969,0.015790149768128574
span,0.11002841855936621,0.13682555068031133,-0.13682555068031133,-0.13273677487458535,0.08126314175555162,-0.13259989605258912
distance_atr_at_detect,0.05262898583864583,0.26560542681468613,-0.26560542681468613,-0.31493616958549436,0.059849939207972075,-0.06102479277100993
trend_aligned,-0.009250851511804176,-0.04772100351805778,0.04772100351805778,0.03733321611598161,-0.03207837829141003,-0.01907362524632743
prior_bos_distance_atr,-0.06409950207762247,-0.05928377908266543,0.05928377908266543,0.04009297873910876,-0.06566955226526197,0.08389293074484681
prior_choch_distance_atr,-0.02368556894386125,-0.060152703443844276,0.060152703443844276,0.04299384775838652,-0.017911435645869517,0.05655197809637235
swing_magnitude_atr,0.09801654851381926,0.06518533463043333,-0.06518533463043333,-0.08119346031525224,0.07175314395489384,-0.1073795642512295
wick_ratio,0.08568794247682475,-0.007758083420845902,0.007758083420845902,-0.07074089447953025,0.03881060376978298,-0.059760859678289764
atr_percentile,0.04564292520791373,0.14220784089018065,-0.14220784089018065,-0.14139003152508345,-0.059087601071921375,-0.08608685501759136
same_side_clusters_nearby_at_detect,-0.023980469774702685,0.02011543679320597,-0.02011543679320597,-0.0033220172596153666,-0.0029677618202948145,0.00861328779181297
