eqhl_event_id,eqhl_r_detect_idx,eqhl_r_detect_ts,eqhl_r_side,eqhl_r_direction,eqhl_r_cluster_id,eqhl_r_origin_idx,eqhl_r_first_member_detect_idx,eqhl_r_last_member_detect_idx,eqhl_r_level,eqhl_r_low,eqhl_r_high,eqhl_r_width,eqhl_r_width_atr,eqhl_r_touch_count,eqhl_r_structural_score,eqhl_r_tradeable_live_score_on_detect,eqhl_r_score,eqhl_r_span,eqhl_r_formation_delay,eqhl_r_age_on_detect,eqhl_r_state_on_detect,eqhl_r_trend_state_on_event,eqhl_r_trend_bias_state_on_event,eqhl_r_bos_direction_on_event,eqhl_r_choch_direction_on_event,eqhl_r_session_on_event,eqhl_r_regime_on_event,eqhl_r_volume_ratio_on_event,eqhl_r_adx_on_event,eqhl_r_rsi_on_event,eqhl_r_hold_1,eqhl_r_hold_2,eqhl_r_hold_3,eqhl_r_hold_5,eqhl_r_hold_10,eqhl_r_failed_1,eqhl_r_failed_2,eqhl_r_failed_3,eqhl_r_failed_5,eqhl_r_failed_10,eqhl_r_swept_1,eqhl_r_swept_2,eqhl_r_swept_3,eqhl_r_swept_5,eqhl_r_swept_10,eqhl_r_mfe_1_atr,eqhl_r_mfe_2_atr,eqhl_r_mfe_3_atr,eqhl_r_mfe_5_atr,eqhl_r_mfe_10_atr,eqhl_r_mfe_20_atr,eqhl_r_mae_1_atr,eqhl_r_mae_2_atr,eqhl_r_mae_3_atr,eqhl_r_mae_5_atr,eqhl_r_mae_10_atr,eqhl_r_mae_20_atr,eqhl_r_excursion_ratio_1,eqhl_r_excursion_ratio_2,eqhl_r_excursion_ratio_3,eqhl_r_excursion_ratio_5,eqhl_r_excursion_ratio_10,eqhl_r_excursion_ratio_20,eqhl_r_continuation_1_0.5atr,eqhl_r_continuation_1_1.0atr,eqhl_r_continuation_3_0.5atr,eqhl_r_continuation_3_1.0atr,eqhl_r_continuation_3_1.5atr,eqhl_r_continuation_5_0.5atr,eqhl_r_continuation_5_1.0atr,eqhl_r_continuation_5_1.5atr,eqhl_r_continuation_10_1.0atr,eqhl_r_continuation_10_1.5atr,eqhl_r_continuation_10_2.0atr,eqhl_r_retest_ever_3,eqhl_r_retest_ever_5,eqhl_r_retest_ever_10,eqhl_r_first_retest_idx,eqhl_r_first_retest_delay,eqhl_r_retest_count_3,eqhl_r_retest_count_5,eqhl_r_retest_count_10,eqhl_r_mfe_from_retest_3_atr,eqhl_r_mfe_from_retest_5_atr,eqhl_r_mfe_from_retest_10_atr,eqhl_r_mae_from_retest_3_atr,eqhl_r_mae_from_retest_5_atr,eqhl_r_mae_from_retest_10_atr,eqhl_r_hold_after_retest_3,eqhl_r_hold_after_retest_5,eqhl_r_hold_after_retest_10,eqhl_r_final_outcome_3,eqhl_r_final_outcome_5,eqhl_r_final_outcome_10,eqhl_r_final_outcome_20,eqhl_r_retest_reaction_score,eqhl_r_quality_score,eqhl_r_follow_through_score,eqhl_r_tradeable_score,eqhl_r_failure_severity_score
345,12909,2022-11-30 18:00:00+00:00,eqh,-1,2269,12895.0,12897.0,12909.0,1764.1675,1763.635,1764.7,1.0650000000000546,0.11216102194370649,2.0,0.5340534207239876,0.21842333666025965,0.21842333666025965,12,12,12,2.0,0.0,0.0,0.0,0.0,unknown,1.0,1.842170573059453,,,0,0,0,0.0,0.0,1,1,1,1.0,1.0,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1462832483378537,1.2464091030081712,1.5239154812444626,1.6323904602134849,3.7718751182287775,3.8303252282557594,4.401135311762676,0.0,0.0,0.0,0.0,0.0,0.033237616654705066,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0,0.0,0.0,,,,,,,,,,failed,failed,failed,failed,,0.7097704286588709,0.0,0.39924586612061486,1.0
435,16633,2025-04-30 17:00:00+00:00,eql,1,2893,16614.0,16616.0,16633.0,3266.05,3265.19,3266.91,1.7199999999998,0.05797724192771,2.0,0.60500926537765,0.3413921481805169,0.3413921481805169,17,17,17,2.0,-1.0,-1.0,0.0,0.0,unknown,0.0,0.7889951585575135,,,0,0,0,0.0,0.0,1,1,1,1.0,1.0,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3215566392774605,1.5955539224700277,2.266674205482155,2.266674205482155,2.9158844842773934,2.9158844842773934,2.9158844842773934,0.0,0.0,0.0,0.0,0.0,1.1391249060748028,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16648.0,15.0,0,0.0,0.0,1.8515638948194753,3.517398369277479,5.131997141566788,0.012640387048194058,0.012640387048194058,0.012640387048194058,1.0,1.0,1.0,failed,failed,failed,failed,0.9955758645331321,0.7295908759269358,0.0,0.5274310670737475,1.0
408,15596,2024-08-27 21:00:00+00:00,eql,1,2743,15592.0,15594.0,15596.0,2503.58,2503.58,2503.58,0.0,0.0,2.0,0.5997501373013333,0.21261968992247826,0.21261968992247826,2,2,2,2.0,1.0,1.0,0.0,0.0,unknown,1.0,0.2591675793512838,,,1,1,0,0.0,0.0,0,0,1,1.0,1.0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.20622416059810392,0.3889719100566421,1.3050122662847135,1.9480818027925841,2.839725104307055,2.839725104307055,2.839725104307055,3.1697758256213997,0.0,0.0,0.0,0.0,0.07262117036797701,0.1227127505082756,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,15598.0,2.0,1,2.0,2.0,0.29368530013745237,0.9224848612468184,1.8873193269020911,1.341377687461606,1.341377687461606,1.341377687461606,0.0,0.0,0.0,failed,failed,failed,failed,0.2767454583740455,0.7667833607935999,0.0,0.4004016040319291,1.0
104,3903,2017-01-03 22:00:00+00:00,eqh,-1,693,3891.0,3893.0,3903.0,1163.4434999999999,1163.223,1163.664,0.4410000000000309,0.0692815862560658,2.0,0.6391868705498341,0.12768433217975392,0.12768433217975392,10,10,10,2.0,0.0,1.0,0.0,0.0,unknown,2.0,0.7157174138464327,,,1,0,0,0.0,0.0,0,1,1,1.0,1.0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6576252155733916,1.6156277393590075,1.6523893973724515,1.6523893973724515,4.337090140070459,4.337090140070459,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,3908.0,5.0,0,1.0,1.0,0.4021788227109121,0.4021788227109121,0.4021788227109121,2.5632615903716385,3.470206255805275,3.470206255805275,0.0,0.0,0.0,failed,failed,failed,failed,0.12065364681327362,0.744683644212617,0.0,0.35923836925833236,1.0
22,904,2015-01-25 22:00:00+00:00,eql,1,164,890.0,892.0,904.0,1284.2945,1284.196,1284.393,0.19700000000011642,0.02240313344156466,2.0,0.6364542324537402,0.2531093164254096,0.2531093164254096,12,12,12,2.0,1.0,1.0,0.0,0.0,unknown,1.0,0.8843621903357185,,,1,0,0,0.0,0.0,0,1,1,1.0,1.0,0,1,1,1.0,1.0,0.03821042048914498,0.03821042048914498,0.03821042048914498,0.03821042048914498,0.15238679599836075,0.15238679599836075,0.45966226076522315,1.8658284790636166,2.325604461318414,2.3265142332348003,2.824159471510098,2.824159471510098,0.08312716476992076,0.020479063814226504,0.016430317848411344,0.016423892853652124,0.053958282999110686,0.053958282999110686,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,907.0,3.0,1,1.0,2.0,0.13055227000456363,0.13055227000456363,1.3262200111440017,1.650326256364457,1.650326256364457,1.650326256364457,0.0,0.0,0.0,failed,failed,failed,failed,0.039165681001369086,0.7526900631303569,0.008597344610057622,0.3495527352224546,0.992357915902171
101,3809,2016-12-09 06:00:00+00:00,eql,1,676,3796.0,3798.0,3809.0,1165.094,1164.845,1165.343,0.4980000000000473,0.08790275103174663,2.0,0.5779142854549462,0.2286647842122328,0.2286647842122328,11,11,11,2.0,-1.0,-1.0,0.0,0.0,unknown,1.0,0.7742432551784435,,,1,0,0,0.0,0.0,0,1,1,1.0,1.0,1,1,1,1.0,1.0,0.05065881434962234,0.05065881434962234,0.05065881434962234,0.05065881434962234,0.05065881434962234,0.05065881434962234,1.6768597084367747,2.271527114512917,2.637435554048663,2.891965206634541,3.6347258016978783,3.6347258016978783,0.03021052631579311,0.02230165514026237,0.01920760273056046,0.017517089843752092,0.013937451437453204,0.013937451437453204,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,3810.0,1.0,1,1.0,1.0,0.2529410486515669,0.2529410486515669,0.2529410486515669,2.199510402824281,2.9422709978876185,2.9422709978876185,0.0,0.0,0.0,failed,failed,failed,failed,0.07588231459547008,0.726190502666386,0.011398233228665027,0.34595157074900046,0.9898682371300755
382,14211,2023-10-05 01:00:00+00:00,eql,1,2494,14206.0,14208.0,14211.0,1816.705,1816.625,1816.785,0.16000000000008185,0.021929894149042596,2.0,0.5962096907105385,0.29108139798457955,0.29108139798457955,3,3,3,2.0,-1.0,-1.0,0.0,0.0,unknown,1.0,0.36756051165048004,,,1,0,0,0.0,0.0,0,1,1,1.0,1.0,0,1,1,1.0,1.0,0.06921622840786408,0.06921622840786408,0.06921622840786408,0.06921622840786408,0.9882158550907314,5.17408440078709,1.0896416155300028,2.0120677881736375,2.0120677881736375,2.0120677881736375,2.3650020221346173,2.3650020221346173,0.06352201257860111,0.034400544959119865,0.034400544959119865,0.034400544959119865,0.4178498985801212,2.1877716603882797,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,14214.0,3.0,1,2.0,3.0,0.8833635486906614,0.9573769414436685,5.180937492708656,0.31661284677663304,1.0567467743064545,1.0567467743064545,1.0,0.0,0.0,failed,failed,failed,failed,0.28721308243310056,0.7590094646048472,0.015573651391769418,0.40444765354592066,0.9861567543184272
458,17576,2025-12-08 02:00:00+00:00,eql,1,3062,17551.0,17553.0,17576.0,4192.54,4192.065,4193.015,0.9500000000007276,0.036173693828302995,2.0,0.5953544179929995,0.28066153970426044,0.28066153970426044,23,23,23,2.0,1.0,1.0,0.0,0.0,unknown,0.0,0.8473066785713481,,,1,1,1,0.0,0.0,0,0,0,1.0,1.0,0,0,1,1.0,1.0,0.06930118186047421,0.06930118186047421,0.06930118186047421,0.06930118186047421,0.15916425284442237,1.1598428568518597,0.5367033836942625,0.735277924025274,1.5674632699378432,1.5674632699378432,1.7949767653314832,1.7949767653314832,0.12912380276691565,0.094251683065752,0.044212316288101794,0.044212316288101794,0.08867204072974676,0.6461603733559573,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,17579.0,3.0,1,2.0,4.0,0.14564671462436463,0.6825404861808855,1.006009464150564,0.6463667923526171,0.9481315540253415,0.9481315540253415,0.0,0.0,0.0,swept,failed,failed,failed,0.22291610194539613,0.7236107934748576,0.015592765918606697,0.3756655455242775,0.9861397636279052
94,3691,2016-11-11 10:00:00+00:00,eql,1,657,3687.0,3689.0,3691.0,1251.507,1250.856,1252.158,1.3019999999999072,0.10349752354274369,2.0,0.5573409498420587,0.22324762848645333,0.22324762848645333,2,2,2,2.0,0.0,0.0,0.0,0.0,unknown,1.0,0.8963906025184732,,,0,0,0,0.0,0.0,1,1,1,1.0,1.0,1,1,1,1.0,1.0,0.07535764386982648,0.07535764386982648,0.07535764386982648,0.07535764386982648,0.07535764386982648,0.07535764386982648,2.78998162926534,3.1489638230587897,3.5815548546407037,3.648486432845778,3.737993507737587,3.737993507737587,0.027010086044785074,0.023930933508352212,0.021040482954542448,0.02065449474922355,0.02015991833956837,0.02015991833956837,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4125.0,434.0,0,0.0,0.0,0.3231316691254138,0.3231316691254138,0.621621070740635,0.31224137670962954,0.31224137670962954,0.4143875500985851,1.0,1.0,1.0,failed,failed,failed,failed,0.5376550188892538,0.7324271424160591,0.01695546987071096,0.4430576323198262,0.9849284712260348
361,13484,2023-04-18 21:00:00+00:00,eql,1,2368,13470.0,13472.0,13484.0,1991.8225,1991.23,1992.415,1.1849999999999454,0.1111486944558968,2.0,0.6391893461994351,0.3343478385202369,0.3343478385202369,12,12,12,2.0,1.0,1.0,0.0,0.0,unknown,1.0,0.23358989417082,,,1,0,0,0.0,0.0,0,1,1,1.0,1.0,0,1,1,1.0,1.0,0.07738200246928174,0.07738200246928174,0.07738200246928174,0.07738200246928174,0.46945081498040164,0.46945081498040164,0.5065003797990553,2.8889280921871725,3.579269350579938,3.579269350579938,3.579269350579938,3.579269350579938,0.1527777777777415,0.02678571428570822,0.0216194968553411,0.0216194968553411,0.13115828092242848,0.13115828092242848,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,13488.0,4.0,0,1.0,4.0,0.2541881535658213,1.4425881187609988,1.5340395762247072,0.5215077984597541,0.5215077984597541,1.3281565514730422,1.0,1.0,0.0,failed,failed,failed,failed,0.8002487061673857,0.7310506956259128,0.017410950555588393,0.4951163869595939,0.9845235995061438
