segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero
overall,touch_component,current,466,0.11063018906141328,0.11063018906141328,0.11073051772056913,0.4592274678111588,0.4592274678111588,0.4596949891067538,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,0.015891813046541355,-0.014924876216833062,0.050548104930312907,-0.0004675212955950192,False
overall,touch_component,inverted,466,0.11073051772056913,0.11073051772056913,0.11063018906141328,0.4596949891067538,0.4596949891067538,0.4592274678111588,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,-0.015891813046541355,0.014924876216833062,-0.050548104930312907,0.0004675212955950192,False
overall,touch_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False
overall,width_component,current,466,0.003976266670859099,-0.18121177006696554,0.2373565134107084,0.4444444444444444,0.425531914893617,0.46808510638297873,0.0375036074225242,-0.02476145397342533,0.48148148148148145,0.4126984126984127,-0.026205422675908287,-0.02855837340983464,-0.028978988366689957,-0.023640661938534313,False
overall,width_component,inverted,466,0.24998258821269054,0.2373565134107084,-0.18121177006696554,0.4700854700854701,0.46808510638297873,0.425531914893617,0.05741234207666704,0.4392889318718324,0.46551724137931033,0.4745762711864407,0.026205422675908287,0.02855837340983464,0.028978988366689957,0.044553555191853056,False
overall,width_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False
overall,active_age_component,current,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,True
overall,active_age_component,inverted,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,True
overall,active_age_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,True
overall,formation_delay_component,current,466,0.045262133444792664,0.05860642625745541,0.5318597534066761,0.4262295081967213,0.4,0.5833333333333334,-0.09499037662321826,0.20519920632936656,0.38461538461538464,0.47368421052631576,-0.11002841855936621,-0.12734182247691955,-0.09774539691417478,-0.15710382513661209,False
overall,formation_delay_component,inverted,466,0.37720315508431623,0.5318597534066761,0.05860642625745541,0.5867768595041323,0.5833333333333334,0.4,0.3269532212614785,0.433624133411713,0.625,0.543859649122807,0.11002841855936621,0.12734182247691955,0.09774539691417478,0.18677685950413225,False
overall,formation_delay_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False
overall,structural_component,current,466,0.08702346283374071,0.22343918312694125,-0.11421236285751155,0.47863247863247865,0.48936170212765956,0.3404255319148936,-0.07570373308691841,0.2127672051360682,0.39215686274509803,0.5454545454545454,-0.03526736017320742,-0.08341912982211737,0.007972634011280398,0.13820694671758504,False
overall,structural_component,inverted,466,0.26558728653124763,-0.11421236285751155,0.22343918312694125,0.47863247863247865,0.3404255319148936,0.48936170212765956,0.20087348077908748,0.3523037862391422,0.5074626865671642,0.44,0.03526736017320742,0.08341912982211737,-0.007972634011280398,-0.010729223495180906,False
overall,structural_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False
eqh,touch_component,current,233,0.06609600629574258,0.06609600629574258,0.07044663316996702,0.463519313304721,0.463519313304721,0.462882096069869,0.06609600629574258,,0.463519313304721,,-0.014924876216833062,-0.014924876216833062,,0.0006372172348519944,False
eqh,touch_component,inverted,233,0.07044663316996702,0.07044663316996702,0.06609600629574258,0.462882096069869,0.462882096069869,0.463519313304721,0.07044663316996702,,0.462882096069869,,0.014924876216833062,0.014924876216833062,,-0.0006372172348519944,False
eqh,touch_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False
eqh,width_component,current,233,-0.01634224998113669,-0.025763450238302194,0.041596920484695224,0.4576271186440678,0.4583333333333333,0.46808510638297873,-0.01634224998113669,,0.4576271186440678,,-0.02855837340983464,-0.02855837340983464,,-0.010457987738910934,False
eqh,width_component,inverted,233,0.03949009899062185,0.041596920484695224,-0.025763450238302194,0.4576271186440678,0.46808510638297873,0.4583333333333333,0.03949009899062185,,0.4576271186440678,,0.02855837340983464,0.02855837340983464,,-0.0007062146892655163,False
eqh,width_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False
eqh,active_age_component,current,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,True
eqh,active_age_component,inverted,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,True
eqh,active_age_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,True
eqh,formation_delay_component,current,233,-0.09499037662321826,-0.07120294872136518,0.6411488478243773,0.38461538461538464,0.3902439024390244,0.68,-0.09499037662321826,,0.38461538461538464,,-0.12734182247691955,-0.12734182247691955,,-0.2953846153846154,False
eqh,formation_delay_component,inverted,233,0.34975876127827177,0.6411488478243773,-0.07120294872136518,0.6166666666666667,0.68,0.3902439024390244,0.34975876127827177,,0.6166666666666667,,0.12734182247691955,0.12734182247691955,,0.2264227642276423,False
eqh,formation_delay_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False
eqh,structural_component,current,233,-0.08104981505287359,-0.06971755885409354,-0.1380379749477156,0.4067796610169492,0.3333333333333333,0.375,-0.08104981505287359,,0.4067796610169492,,-0.08341912982211737,-0.08341912982211737,,0.03177966101694918,False
eqh,structural_component,inverted,233,0.21421396378864055,-0.1380379749477156,-0.06971755885409354,0.5084745762711864,0.375,0.3333333333333333,0.21421396378864055,,0.5084745762711864,,0.08341912982211737,0.08341912982211737,,0.1751412429378531,False
