feature,segment,count,rank_corr,monotonicity_ratio,stability_classification,bucket_0_avg_r,bucket_0_count,bucket_1_avg_r,bucket_1_count,bucket_2_avg_r,bucket_2_count,bucket_3_avg_r,bucket_3_count,bucket_4_avg_r,bucket_4_count
formation_delay,overall,14862,0.022276585512324074,0.75,weak,-0.009872263079544235,3439,0.0544504650153841,2530.0,-0.03939242609644787,3154.0,-0.03724260949700601,3127.0,0.12557652969932384,2612.0
formation_delay,eqh,6335,0.01963585464708379,0.5,,0.006018522786349841,1460,-0.09468769063716588,1194.0,-0.0561620276451314,1185.0,-0.10283704642851665,1239.0,0.07265216363252033,1257.0
formation_delay,eql,8527,0.020108274302851108,0.5,,0.0098728283255079,1766,0.10100652986426738,1947.0,0.003981222120341615,1759.0,-0.03514901387535503,1700.0,0.17467315563731053,1355.0
width_atr,overall,14862,-0.00493750117961105,0.25,weak,0.016703054056516193,2973,-0.02492098536190072,2972.0,0.06873784954368208,2972.0,0.037567618352683414,2972.0,-0.03377711210049892,2973.0
width_atr,eqh,6335,-0.0019292363548444463,0.25,,-0.01769841910979547,1267,-0.061954813253073844,1267.0,0.036849811906603754,1267.0,-0.024389041813487992,1267.0,-0.09611724013832865,1267.0
width_atr,eql,8527,-0.004436149624672817,0.25,,0.06851744053447115,1706,-0.05111312430072622,1705.0,0.11881591989392162,1705.0,0.06298657548854725,1705.0,0.034179817838528574,1706.0
touch_count,overall,14862,0.0038523760431387294,,weak,0.012859205189588795,14862,,,,,,,,
touch_count,eqh,6335,0.02084646691259154,,,-0.032661940481616435,6335,,,,,,,,
touch_count,eql,8527,-0.0009030541994685732,,,0.04667842154083603,8527,,,,,,,,
structural_score,overall,14862,-0.00902601486966029,0.75,weak,0.023402967154797855,2973,0.03627998642078345,2972.0,-0.02195984578897739,2972.0,0.004586767906455242,2972.0,0.021979533804487757,2973.0
structural_score,eqh,6335,0.01007610490603708,0.75,,-0.027224189737993214,1267,-0.022475451225593777,1267.0,-0.10668650045796528,1267.0,-0.04299476066636678,1267.0,0.03607119967983688,1267.0
structural_score,eql,8527,-0.021733336422583686,0.5,,0.06738567758872886,1706,0.09102741842752655,1705.0,0.02717796411900575,1705.0,0.029714451224162906,1705.0,0.01809121801483122,1706.0
active_age,overall,14862,-0.005892291469889331,0.5,weak,0.021791072970888704,3080,0.0236197364735389,2911.0,-0.02001636566743559,2985.0,0.047268008656147824,2935.0,-0.008045680781307648,2951.0
active_age,eqh,6335,-0.0019469285618686138,0.5,,-0.07132808559531374,1346,0.026955259770643523,1190.0,-0.037041615712077515,1278.0,-0.03925802355552669,1255.0,-0.036630761788777666,1266.0
active_age,eql,8527,-0.012975646760577634,0.25,,0.11692657818279507,1746,0.027362735762620636,1711.0,-0.015274850658070625,1687.0,0.0797745970588232,1677.0,0.02288518632721176,1706.0
distance_atr,overall,14862,-0.009456881263400838,0.5,weak,-0.009141639130256353,2973,0.05193189891991658,2972.0,0.029768101589783734,2972.0,-0.057893228151465435,2972.0,0.04962592439059762,2973.0
distance_atr,eqh,6335,-0.024009913290740852,0.5,,-0.030306634215466723,1267,-0.013221734012265299,1267.0,0.013845733516179222,1267.0,-0.029489159789944007,1267.0,-0.10413790790658538,1267.0
distance_atr,eql,8527,-0.006297357734670299,0.75,,0.016740789642097787,1706,0.13295775693488815,1705.0,-0.0330511708228181,1705.0,-0.005999513992434765,1705.0,0.12271720714262117,1706.0
bars_since_touch,overall,14862,-0.003553643210808697,0.5,weak,0.016078387049780797,2999,0.016200491269524712,2979.0,-0.0037506398044213386,2946.0,0.042423029712870396,2994.0,-0.007245925551306644,2944.0
bars_since_touch,eqh,6335,0.0014496087312375501,0.5,,-0.07868623363906241,1318,0.026045362804155266,1232.0,-0.04128822405026693,1252.0,-0.029940053877328607,1270.0,-0.036085589116653716,1263.0
bars_since_touch,eql,8527,-0.011546512283493474,0.25,,0.11753117879434886,1767,0.036293614597659424,1658.0,-0.026438689117627777,1725.0,0.0797745970588232,1677.0,0.024705431768492048,1700.0
touches_since_detect,overall,14862,-0.019027314773881577,,weak,0.012859205189588795,14862,,,,,,,,
touches_since_detect,eqh,6335,-0.03103994945294799,,,-0.032661940481616435,6335,,,,,,,,
touches_since_detect,eql,8527,-0.005765011458295294,,,0.04667842154083603,8527,,,,,,,,
max_pen_atr,overall,14862,-0.018690377324341246,,weak,0.012859205189588795,14862,,,,,,,,
max_pen_atr,eqh,6335,-0.031074490684562077,,,-0.032661940481616435,6335,,,,,,,,
max_pen_atr,eql,8527,-0.004127496427913641,,,0.04667842154083603,8527,,,,,,,,
inside_zone,overall,14862,0.006422936178422152,,weak,0.012859205189588795,14862,,,,,,,,
inside_zone,eqh,6335,0.007394034212493182,,,-0.032661940481616435,6335,,,,,,,,
inside_zone,eql,8527,0.005054369697743442,,,0.04667842154083603,8527,,,,,,,,
signed_dist_atr,overall,14862,-0.009117828584498437,0.5,weak,-0.008865916564549645,2973,0.0517277441180574,2972.0,0.031010220950436193,2972.0,-0.05970202449515728,2972.0,0.05012077433236436,2973.0
signed_dist_atr,eqh,6335,-0.023645469462234576,0.5,,-0.032717113223050535,1267,-0.007552731005533001,1267.0,0.00395841821519959,1267.0,-0.023966239986568286,1267.0,-0.10303203640812995,1267.0
signed_dist_atr,eql,8527,-0.005969749504392549,0.75,,0.013025567851285412,1706,0.13977697276660941,1705.0,-0.034266871735207864,1705.0,-0.007169814497589392,1705.0,0.1220018131209063,1706.0
nearest_same_side_atr,overall,4511,-0.019252532798092303,0.25,weak,0.06691350136798667,903,-0.01350754226237562,902.0,0.20735041639300275,902.0,0.02722325049116118,902.0,-0.08914306556100311,902.0
nearest_same_side_atr,eqh,1949,-0.04488444920581445,0.5,,-0.016911991580391257,390,0.16601432938883015,390.0,-0.030584442322072587,389.0,0.05355133221710161,390.0,-0.17767664312820336,390.0
nearest_same_side_atr,eql,2562,-0.00031978217638660764,0.25,,0.11719307288837717,513,-0.03665375570226702,512.0,0.209694854794717,512.0,0.10324179077878143,512.0,-0.03899237314690644,513.0
touch_component,overall,14862,0.0038523760431387294,,weak,0.012859205189588795,14862,,,,,,,,
touch_component,eqh,6335,0.02084646691259154,,,-0.032661940481616435,6335,,,,,,,,
touch_component,eql,8527,-0.0009030541994685732,,,0.04667842154083603,8527,,,,,,,,
width_component,overall,14862,0.004937385573170515,0.75,weak,-0.03377711210049892,2973,0.037567618352683414,2972.0,0.06873784954368208,2972.0,-0.02492098536190072,2972.0,0.016703054056516193,2973.0
width_component,eqh,6335,0.0019292363548444463,0.75,,-0.09611724013832865,1267,-0.024389041813487992,1267.0,0.036849811906603754,1267.0,-0.061954813253073844,1267.0,-0.01769841910979547,1267.0
width_component,eql,8527,0.0044358132124309195,0.75,,0.034179817838528574,1706,0.06298657548854725,1705.0,0.11881591989392162,1705.0,-0.05111312430072622,1705.0,0.06851744053447115,1706.0
active_age_component,overall,14862,0.005892291469889331,0.75,weak,-0.00828515957604277,2998,0.042910113919216945,2950.0,-0.012312059990259977,3017.0,0.018559983211120054,2978.0,0.02440610992218351,2919.0
active_age_component,eqh,6335,0.0019469285618686138,0.25,,-0.035189114440703384,1286,-0.03831549321964602,1260.0,-0.03863995564712271,1302.0,0.022878965850219903,1223.0,-0.07203672729889776,1264.0
active_age_component,eql,8527,0.012975646760577634,0.75,,0.02288518632721176,1706,0.08499929931296368,1714.0,-0.03283477160730493,1700.0,0.044973460202721235,1742.0,0.114577367952759,1665.0
formation_delay_component,overall,14862,-0.022276585512324074,0.5,weak,0.12958926469163046,3163,-0.06953367594813036,2845.0,0.020905443742119584,3909.0,-0.036814308907898025,2184.0,-0.008066264959298752,2761.0
formation_delay_component,eqh,6335,-0.01963585464708379,0.75,,0.06234412210305108,1273,-0.09976313079455197,1292.0,-0.04871989280874613,1453.0,-0.04179007680302049,1954.0,-0.013596917568740667,363.0
