fvg_event_id,fvg_side,fvg_detect_idx,fvg_zone_low,fvg_zone_high,fvg_zone_mid,fvg_width,fvg_width_atr,fvg_gap_cleanliness,fvg_gap_cleanliness_capped,fvg_terminal_state,fvg_first_touch_idx,fvg_first_partial_fill_idx,fvg_full_fill_idx,fvg_invalidation_idx,fvg_expiry_idx,fvg_origin_idx,fvg_merge_idx,fvg_terminal_idx,fvg_detect_ts,fvg_terminal_label,fvg_r_trend_state_on_detect,fvg_r_bos_direction_on_detect,fvg_r_choch_direction_on_detect,fvg_r_displacement_flag_on_detect,fvg_r_session_on_detect,fvg_r_width_bucket,fvg_r_cleanliness_bucket,fvg_r_has_sufficient_forward_horizon,fvg_r_core_full_fill_flag,fvg_r_core_invalidated_flag,fvg_r_core_expired_flag,fvg_r_core_merged_flag,fvg_r_core_still_active_at_dataset_end_flag,fvg_r_ever_touched,fvg_r_first_touch_idx,fvg_r_ever_partial_fill,fvg_r_time_to_first_touch,fvg_r_time_to_first_partial_fill,fvg_r_time_to_full_fill,fvg_r_time_to_invalidation,fvg_r_touch_delay_bucket,fvg_r_first_retest_depth_frac,fvg_r_first_terminal_idx,fvg_r_first_terminal_label,fvg_r_max_fill_pct_before_terminal,fvg_r_deep_partial_fill_before_terminal,fvg_r_continuation_without_touch_idx,fvg_r_time_to_continuation_without_touch,fvg_r_cwt_trigger_delay_bucket,fvg_r_cwt_trigger_idx_atr_0.5,fvg_r_cwt_time_atr_0.5,fvg_r_cwt_flag_atr_0.5,fvg_r_cwt_trigger_idx_atr_1,fvg_r_cwt_time_atr_1,fvg_r_cwt_flag_atr_1,fvg_r_cwt_trigger_idx_atr_1.5,fvg_r_cwt_time_atr_1.5,fvg_r_cwt_flag_atr_1.5,fvg_r_cwt_trigger_idx_width_1,fvg_r_cwt_time_width_1,fvg_r_cwt_flag_width_1,fvg_r_cwt_trigger_idx_width_1.5,fvg_r_cwt_time_width_1.5,fvg_r_cwt_flag_width_1.5,fvg_r_cwt_flag_1atr_no_early_failure,fvg_r_cwt_recommended_flag,fvg_r_continuation_without_touch_flag,fvg_r_continuation_without_touch_recommended_flag,fvg_r_fill_pct_1,fvg_r_max_fill_pct_1,fvg_r_mfe_from_detect_atr_1,fvg_r_mae_from_detect_atr_1,fvg_r_excursion_ratio_detect_1,fvg_r_mfe_from_touch_atr_1,fvg_r_mae_from_touch_atr_1,fvg_r_excursion_ratio_touch_1,fvg_r_hold_after_touch_1,fvg_r_fail_after_touch_1,fvg_r_retest_count_1,fvg_r_max_retest_depth_frac_1,fvg_r_fill_pct_3,fvg_r_max_fill_pct_3,fvg_r_mfe_from_detect_atr_3,fvg_r_mae_from_detect_atr_3,fvg_r_excursion_ratio_detect_3,fvg_r_mfe_from_touch_atr_3,fvg_r_mae_from_touch_atr_3,fvg_r_excursion_ratio_touch_3,fvg_r_hold_after_touch_3,fvg_r_fail_after_touch_3,fvg_r_retest_count_3,fvg_r_max_retest_depth_frac_3,fvg_r_fill_pct_5,fvg_r_max_fill_pct_5,fvg_r_mfe_from_detect_atr_5,fvg_r_mae_from_detect_atr_5,fvg_r_excursion_ratio_detect_5,fvg_r_mfe_from_touch_atr_5,fvg_r_mae_from_touch_atr_5,fvg_r_excursion_ratio_touch_5,fvg_r_hold_after_touch_5,fvg_r_fail_after_touch_5,fvg_r_retest_count_5,fvg_r_max_retest_depth_frac_5,fvg_r_fill_pct_10,fvg_r_max_fill_pct_10,fvg_r_mfe_from_detect_atr_10,fvg_r_mae_from_detect_atr_10,fvg_r_excursion_ratio_detect_10,fvg_r_mfe_from_touch_atr_10,fvg_r_mae_from_touch_atr_10,fvg_r_excursion_ratio_touch_10,fvg_r_hold_after_touch_10,fvg_r_fail_after_touch_10,fvg_r_retest_count_10,fvg_r_max_retest_depth_frac_10,fvg_r_fill_pct_20,fvg_r_max_fill_pct_20,fvg_r_mfe_from_detect_atr_20,fvg_r_mae_from_detect_atr_20,fvg_r_excursion_ratio_detect_20,fvg_r_mfe_from_touch_atr_20,fvg_r_mae_from_touch_atr_20,fvg_r_excursion_ratio_touch_20,fvg_r_hold_after_touch_20,fvg_r_fail_after_touch_20,fvg_r_retest_count_20,fvg_r_max_retest_depth_frac_20,fvg_r_immediate_reject_after_touch,fvg_r_dirty_accept_after_touch,fvg_r_continuation_detect_5_0.5atr,fvg_r_continuation_touch_5_0.5atr,fvg_r_continuation_detect_5_1atr,fvg_r_continuation_touch_5_1atr,fvg_r_continuation_detect_5_1.5atr,fvg_r_continuation_touch_5_1.5atr,fvg_r_continuation_detect_5_2atr,fvg_r_continuation_touch_5_2atr,fvg_r_continuation_detect_10_0.5atr,fvg_r_continuation_touch_10_0.5atr,fvg_r_continuation_detect_10_1atr,fvg_r_continuation_touch_10_1atr,fvg_r_continuation_detect_10_1.5atr,fvg_r_continuation_touch_10_1.5atr,fvg_r_continuation_detect_10_2atr,fvg_r_continuation_touch_10_2atr,fvg_r_continuation_detect_20_0.5atr,fvg_r_continuation_touch_20_0.5atr,fvg_r_continuation_detect_20_1atr,fvg_r_continuation_touch_20_1atr,fvg_r_continuation_detect_20_1.5atr,fvg_r_continuation_touch_20_1.5atr,fvg_r_continuation_detect_20_2atr,fvg_r_continuation_touch_20_2atr,fvg_r_continuation_before_full_fill,fvg_r_continuation_before_invalidation,fvg_r_final_outcome,fvg_r_touched_rejected_flag,fvg_r_untouched_behavior_flag,fvg_r_research_eligible_flag,fvg_r_research_exclusion_reason,fvg_r_unresolved_due_to_insufficient_forward_horizon_flag,fvg_r_exact_one_mapping_or_exclusion_flag,fvg_r_outcome_5,fvg_r_outcome_10,fvg_r_outcome_20,fvg_r_tradeable_touch_reaction,fvg_r_strong_continuation,fvg_r_noisy_or_inefficient,fvg_r_touch_reaction_score,fvg_r_structural_respect_score,fvg_r_tradability_score,fvg_r_failure_severity_score
2873,bull,17684,4333.745,4388.8,4361.2725,55.05500000000029,1.2774828172175856,0.7633804769828116,0.7633804769828116,6,,,,,17732.0,17683,,17732.0,2026-01-05 02:00:00+00:00,expired,,,,,unknown,xl,clean,True,False,False,True,False,False,False,,False,,,,,untouched,,17732.0,expired,0.0,False,17689.0,5.0,4_7,17685.0,1.0,True,17689.0,5.0,True,17693.0,9.0,True,17690.0,6.0,True,17694.0,10.0,True,True,True,True,True,0.0,0.0,0.5949443181084214,0.02447996316708302,24.30331753555958,,,,,,,,0.0,0.0,0.9975294943635172,0.3776411379568728,2.6414746543779257,,,,,,,,0.0,0.0,1.1026425115644338,0.3776411379568728,2.919815668202857,,,,,,,,0.0,0.0,1.963733917375785,0.3776411379568728,5.200000000000123,,,,,,,,0.0,0.0,2.042626689667844,0.3776411379568728,5.408909370199798,,,,,,,,,,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,expired,False,False,True,,False,True,continuation_without_touch,continuation_without_touch,continuation_without_touch,False,False,False,0.125,0.31450707154742175,0.3177078101825335,0.0
2875,bull,17706,4436.175,4444.785,4440.48,8.609999999999673,0.25191297646775385,0.18532070598363465,0.18532070598363465,6,,,,,17754.0,17705,,17754.0,2026-01-08 18:00:00+00:00,expired,,,,,unknown,s,dirty,True,False,False,True,False,False,False,,False,,,,,untouched,,17754.0,expired,0.0,False,17711.0,5.0,4_7,17711.0,5.0,True,17711.0,5.0,True,17713.0,7.0,True,17710.0,4.0,True,17710.0,4.0,True,True,True,True,True,0.0,0.0,0.07124368149815385,0.7168255427944488,0.09938775510205713,,,,,,,,0.0,0.0,0.07124368149815385,0.7168255427944488,0.09938775510205713,,,,,,,,0.0,0.0,1.1619888339625157,0.7168255427944488,1.621020408163271,,,,,,,,0.0,0.0,4.182018733033666,0.7168255427944488,5.834081632653077,,,,,,,,0.0,0.0,4.74743316627867,0.7168255427944488,6.622857142857152,,,,,,,,,,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,expired,False,False,True,,False,True,continuation_without_touch,continuation_without_touch,continuation_without_touch,False,False,False,0.125,0.2277981058975452,0.1592879233367535,0.0
2876,bull,17713,4517.215,4521.23,4519.2225,4.014999999999418,0.11187171815786934,0.14257812499998007,0.14257812499998007,7,,,,,,17712,17714.0,17714.0,2026-01-11 22:00:00+00:00,merged,,,,,unknown,xs,dirty,True,False,False,False,True,False,False,,False,,,,,untouched,,17714.0,merged,0.0,False,17716.0,3.0,1_3,17715.0,2.0,True,17716.0,3.0,True,17717.0,4.0,True,17714.0,1.0,True,17714.0,1.0,True,False,False,False,False,0.0,0.0,0.4214345547043634,0.23001271068325174,1.8322228952151989,,,,,,,,0.0,0.0,1.3999986248675091,0.23001271068325174,6.086614173229034,,,,,,,,0.0,0.0,1.674732159372295,0.23001271068325174,7.28104179285358,,,,,,,,0.0,0.0,1.8016501360121957,0.23001271068325174,7.8328285887349525,,,,,,,,0.0,0.0,2.0312448950709636,0.23001271068325174,8.831011508177786,,,,,,,,,,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,merged,False,True,True,,False,True,continuation_without_touch,continuation_without_touch,continuation_without_touch,False,False,False,0.125,0.22138671874999702,0.1390129087752152,0.0
2877,bull,17714,4511.235,4561.935,4536.585,50.70000000000073,1.4487453591454766,0.6307539188853031,0.6307539188853031,7,,,,,,17713,17714.0,17714.0,2026-01-12 02:00:00+00:00,merged,,,,,unknown,xl,clean,True,False,False,False,True,False,False,,False,,,,,untouched,,17714.0,merged,0.0,False,17716.0,2.0,1_3,17715.0,1.0,True,17716.0,2.0,True,17723.0,9.0,True,17723.0,9.0,True,,,False,False,False,False,False,0.0,0.0,0.5247772883768699,0.31575219365988627,1.6619909502264165,,,,,,,,0.0,0.0,1.4091691792161518,0.31575219365988627,4.46289592760215,,,,,,,,0.0,0.0,1.4091691792161518,0.31575219365988627,4.46289592760215,,,,,,,,0.0,0.0,1.5393276626660133,0.323753154223233,4.754633715798866,,,,,,,,0.0,0.0,1.774784502101087,0.323753154223233,5.481906443071578,,,,,,,,,,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,merged,False,True,True,,False,True,continuation_without_touch,continuation_without_touch,continuation_without_touch,False,False,False,0.125,0.2946130878327955,0.3355693198442624,0.0
2878,bull,17726,4602.165,4613.51,4607.8375,11.345000000000255,0.33348338472594496,0.39737302977233563,0.39737302977233563,4,17729.0,17729.0,17729.0,,,17725,,17729.0,2026-01-14 02:00:00+00:00,full_fill,,,,,unknown,s,mixed,True,True,False,False,False,False,True,17729.0,True,3.0,3.0,3.0,,fast,1.0,17729.0,full_fill,1.0,True,,,unknown,,,False,,,False,,,False,,,False,,,False,False,False,False,False,0.0,0.0,0.5817220082614624,0.03865408998808089,15.049429657788817,0.8819608993233777,0.04595787885982329,19.190635451506758,True,False,1.0,0.0,1.0,1.0,0.6500647909399766,0.5993588554043169,1.0846002942618649,0.8819608993233777,1.0230623467926547,0.8620793269230989,False,True,1.0,1.0,1.0,1.0,0.6819580895232868,1.063648856439681,0.6411496476440393,0.8819608993233777,1.0230623467926547,0.8620793269230989,False,True,1.0,1.0,1.0,1.0,0.6819580895232868,1.1396342728801008,0.5984008253804374,0.8819608993233777,1.0230623467926547,0.8620793269230989,False,True,1.0,1.0,0.0,1.0,2.088349675438894,2.447553462248153,0.8532396565183424,2.352766728118306,2.3908856376742476,0.9840565734490664,False,True,1.0,1.0,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,full_fill,True,False,True,,False,True,invalidated,invalidated,invalidated,False,False,False,0.2985093865155937,0.25960595446585033,0.2735461024968318,0.3278827933490819
2879,bull,17743,4620.285,4646.895,4633.59,26.610000000000582,0.7032687789548683,1.4379897325047515,1.4379897325047515,7,,,,,,17742,17744.0,17744.0,2026-01-18 22:00:00+00:00,merged,,,,,unknown,m,very_clean,True,False,False,False,True,False,False,,False,,,,,untouched,,17744.0,merged,0.0,False,17750.0,7.0,4_7,17745.0,2.0,True,17750.0,7.0,True,17750.0,7.0,True,17750.0,7.0,True,17750.0,7.0,True,False,False,False,False,0.0,0.0,0.4484957226179644,0.11351143951939663,3.951105937136197,,,,,,,,0.0,0.0,0.5753536759807386,0.11351143951939663,5.068684516880109,,,,,,,,0.0,0.0,0.6085217450370489,0.11351143951939663,5.360884749709,,,,,,,,0.0,0.0,2.780039190464537,0.11351143951939663,24.491268917345455,,,,,,,,0.0,0.0,6.109928322535811,0.11351143951939663,53.8265424912681,,,,,,,,,,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,merged,False,True,True,,False,True,untouched,continuation_without_touch,continuation_without_touch,False,False,False,0.125,0.35,0.25001917052731576,0.0
2880,bull,17744,4598.64,4653.075,4625.8575,54.43499999999949,1.4851104591063191,1.2360354223433137,1.2360354223433137,7,,,,,,17743,17744.0,17744.0,2026-01-19 02:00:00+00:00,merged,,,,,unknown,xl,very_clean,True,False,False,False,True,False,False,,False,,,,,untouched,,17744.0,merged,0.0,False,17750.0,6.0,4_7,17750.0,6.0,True,17750.0,6.0,True,17751.0,7.0,True,17751.0,7.0,True,17753.0,9.0,True,False,False,False,False,0.0,0.0,0.24854149503921297,0.22535156410796883,1.1029055690074268,,,,,,,,0.0,0.0,0.24854149503921297,0.28018893019236407,0.8870496592016555,,,,,,,,0.0,0.0,0.28278074600235453,0.2855089731707172,0.9904443382704775,,,,,,,,0.0,0.0,2.6263278836386816,0.2855089731707172,9.198757763975058,,,,,,,,0.0,0.0,5.96185841969711,0.2855089731707172,20.881509794553033,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,merged,False,True,True,,False,True,untouched,continuation_without_touch,continuation_without_touch,False,False,False,0.125,0.35,0.35426472788084257,0.0
2881,bull,17751,4676.22,4705.71,4690.965,29.48999999999978,0.9308788640968702,0.5749658802885514,0.5749658802885514,6,,,,,17799.0,17750,,17799.0,2026-01-20 06:00:00+00:00,expired,,,,,unknown,l,clean,True,False,False,True,False,False,False,,False,,,,,untouched,,17799.0,expired,0.0,False,17754.0,3.0,1_3,17753.0,2.0,True,17754.0,3.0,True,17755.0,4.0,True,17753.0,2.0,True,17755.0,4.0,True,True,True,True,True,0.0,0.0,0.18608107507126131,0.5478264729196641,0.3396715643906992,,,,,,,,0.0,0.0,1.0629822227352494,0.5478264729196641,1.9403630077787974,,,,,,,,0.0,0.0,4.596944353286819,0.5478264729196641,8.39124171708463,,,,,,,,0.0,0.0,4.9222311181060325,0.5478264729196641,8.98501872659201,,,,,,,,0.0,0.0,8.072193879999126,0.5478264729196641,14.734946701239227,,,,,,,,,,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,expired,False,False,True,,False,True,continuation_without_touch,continuation_without_touch,continuation_without_touch,False,False,False,0.125,0.28624488204328274,0.2644284023904034,0.0
2882,bull,17754,4738.515,4747.445,4742.98,8.929999999999382,0.28991023706672764,0.22269326683290025,0.22269326683290025,4,17802.0,17802.0,17802.0,,,17753,,17802.0,2026-01-20 18:00:00+00:00,full_fill,,,,,unknown,s,mixed,True,True,False,False,False,False,True,17802.0,True,48.0,48.0,48.0,,late,1.0,17802.0,full_fill,1.0,True,,,unknown,,,False,,,False,,,False,,,False,,,False,False,False,False,False,0.0,0.0,2.6212040919114385,0.18212725979223107,14.392156862743565,-0.08646591772669458,2.0902951711532465,-0.04136541045492157,False,True,1.0,0.0,0.0,0.0,4.0582563476516045,0.18212725979223107,22.282531194293608,-0.08646591772669458,3.3096117302172536,-0.02612569835224106,False,True,1.0,0.0,0.0,0.0,4.0582563476516045,0.18212725979223107,22.282531194293608,-0.08646591772669458,3.3096117302172536,-0.02612569835224106,False,True,1.0,0.0,0.0,0.0,4.0582563476516045,0.2550106284613035,15.914067472946222,0.3597396785852872,3.3096117302172536,0.10869543254902372,False,True,1.0,0.0,0.0,0.0,10.697298170736701,0.2550106284613035,41.94844048376579,1.300265509882393,3.3096117302172536,0.3928755442853834,False,True,1.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,full_fill,True,False,True,,False,True,invalidated,invalidated,invalidated,False,False,False,0.0,0.43340399002493507,0.14700569578179745,0.25
2883,bull,17756,4766.295,4817.27,4791.7825,50.975000000000364,1.3911469190732324,0.5903300521134933,0.5903300521134933,4,17759.0,17759.0,17760.0,,,17755,,17760.0,2026-01-21 02:00:00+00:00,full_fill,,,,,unknown,xl,clean,True,True,False,False,False,False,True,17759.0,True,3.0,3.0,4.0,,fast,0.2860225600784842,17760.0,full_fill,1.0,True,,,unknown,,,False,,,False,,,False,,,False,,,False,False,False,False,False,0.0,0.0,0.5032417692537701,1.0190372919704627,0.4938403856454321,0.6874485825732882,1.7711513726556443,0.3881365495838651,True,False,1.0,0.0,0.2860225600784842,0.2860225600784842,0.5032417692537701,1.8400800592155426,0.27348906192065936,0.6874485825732882,1.7711513726556443,0.3881365495838651,True,False,1.0,0.2860225600784842,0.8814124570868067,1.0,0.5032417692537701,3.1226097200658796,0.16116063625240776,0.6874485825732882,1.7711513726556443,0.3881365495838651,True,False,1.0,1.0,0.0,1.0,1.9300031410859961,3.1226097200658796,0.6180737633280914,3.525063438679418,1.7711513726556443,1.9902666102412117,True,False,1.0,1.0,0.0,1.0,6.59440482178045,3.1226097200658796,2.1118248557944423,7.124705616918386,1.7711513726556443,4.022640710960625,True,False,1.0,1.0,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,full_fill,True,False,True,,False,True,full_fill,full_fill,full_fill,False,False,False,0.4731924109209295,0.588549507817024,0.5928794588371983,0.42139392158195554
