row_idx,timestamp,bull_active_member_count,bull_untouched_count,bull_touched_only_count,bull_partial_fill_count,bull_any_fill_count,bull_max_fill_pct,bull_mean_fill_pct_active_members,bull_historical_untouched_count,bull_historical_touched_only_count,bull_historical_partial_fill_count,bull_historical_max_fill_pct,bull_historical_mean_fill_pct_active_members,bear_active_member_count,bear_untouched_count,bear_touched_only_count,bear_partial_fill_count,bear_any_fill_count,bear_max_fill_pct,bear_mean_fill_pct_active_members,bear_historical_untouched_count,bear_historical_touched_only_count,bear_historical_partial_fill_count,bear_historical_max_fill_pct,bear_historical_mean_fill_pct_active_members,total_active_member_count,total_partial_fill_count,total_touched_only_count,total_untouched_count,total_historical_partial_fill_count
17713,2026-01-11 22:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17714,2026-01-12 02:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17715,2026-01-12 06:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17716,2026-01-12 10:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17717,2026-01-12 14:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17718,2026-01-12 18:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17719,2026-01-12 22:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17720,2026-01-13 02:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17721,2026-01-13 06:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17722,2026-01-13 10:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17723,2026-01-13 14:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17724,2026-01-13 18:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17725,2026-01-13 22:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17726,2026-01-14 02:00:00+00:00,4,4,0,0,0,0.0,0.0,4,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,4,0,0,4,0
17727,2026-01-14 06:00:00+00:00,4,4,0,0,0,0.0,0.0,4,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,4,0,0,4,0
17728,2026-01-14 10:00:00+00:00,4,4,0,0,0,0.0,0.0,4,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,4,0,0,4,0
17729,2026-01-14 14:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17730,2026-01-14 18:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17731,2026-01-14 22:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17732,2026-01-15 02:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17733,2026-01-15 06:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17734,2026-01-15 10:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17735,2026-01-15 14:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17736,2026-01-15 18:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17737,2026-01-15 22:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17738,2026-01-16 02:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17739,2026-01-16 06:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17740,2026-01-16 10:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,2,0,0,2,0
17741,2026-01-16 14:00:00+00:00,2,1,0,1,1,0.49921104536489225,0.24960552268244612,1,0,1,0.49921104536489225,0.24960552268244612,0,0,0,0,0,,,0,0,0,,,2,1,0,1,1
17742,2026-01-16 18:00:00+00:00,2,1,0,1,1,0.49921104536489225,0.24960552268244612,1,0,1,0.49921104536489225,0.24960552268244612,0,0,0,0,0,,,0,0,0,,,2,1,0,1,1
17743,2026-01-18 22:00:00+00:00,3,2,0,1,1,0.49921104536489225,0.16640368178829743,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,1,0,2,1
17744,2026-01-19 02:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,0,0,3,1
17745,2026-01-19 06:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,0,0,3,1
17746,2026-01-19 10:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,0,0,3,1
17747,2026-01-19 14:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,0,0,3,1
17748,2026-01-19 18:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,0,0,3,1
17749,2026-01-19 22:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,0,0,3,1
17750,2026-01-20 02:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.49921104536489225,0.16640368178829743,0,0,0,0,0,,,0,0,0,,,3,0,0,3,1
17751,2026-01-20 06:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.49921104536489225,0.12480276134122306,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17752,2026-01-20 10:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.49921104536489225,0.12480276134122306,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17753,2026-01-20 14:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.49921104536489225,0.12480276134122306,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17754,2026-01-20 18:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.49921104536489225,0.12480276134122306,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17755,2026-01-20 22:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.49921104536489225,0.12480276134122306,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17756,2026-01-21 02:00:00+00:00,5,5,0,0,0,0.0,0.0,4,0,1,0.49921104536489225,0.09984220907297844,0,0,0,0,0,,,0,0,0,,,5,0,0,5,1
17757,2026-01-21 06:00:00+00:00,5,5,0,0,0,0.0,0.0,4,0,1,0.49921104536489225,0.09984220907297844,0,0,0,0,0,,,0,0,0,,,5,0,0,5,1
17758,2026-01-21 10:00:00+00:00,5,5,0,0,0,0.0,0.0,4,0,1,0.49921104536489225,0.09984220907297844,0,0,0,0,0,,,0,0,0,,,5,0,0,5,1
17759,2026-01-21 14:00:00+00:00,5,4,0,1,1,0.2860225600784842,0.05720451201569684,3,0,2,0.49921104536489225,0.1570467210886753,0,0,0,0,0,,,0,0,0,,,5,1,0,4,2
17760,2026-01-21 18:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.49921104536489225,0.12480276134122306,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17761,2026-01-21 22:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17762,2026-01-22 02:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17763,2026-01-22 06:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17764,2026-01-22 10:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17765,2026-01-22 14:00:00+00:00,3,3,0,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,3,0,0,3,0
17766,2026-01-22 18:00:00+00:00,4,4,0,0,0,0.0,0.0,4,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,4,0,0,4,0
17767,2026-01-22 22:00:00+00:00,5,5,0,0,0,0.0,0.0,5,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,5,0,0,5,0
17768,2026-01-23 02:00:00+00:00,5,5,0,0,0,0.0,0.0,5,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,,,5,0,0,5,0
17769,2026-01-23 06:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.02298762204966394,0.005746905512415985,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17770,2026-01-23 10:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.02298762204966394,0.005746905512415985,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17771,2026-01-23 14:00:00+00:00,4,4,0,0,0,0.0,0.0,3,0,1,0.02298762204966394,0.005746905512415985,0,0,0,0,0,,,0,0,0,,,4,0,0,4,1
17772,2026-01-23 18:00:00+00:00,5,5,0,0,0,0.0,0.0,4,0,1,0.02298762204966394,0.004597524409932788,0,0,0,0,0,,,0,0,0,,,5,0,0,5,1
17773,2026-01-25 22:00:00+00:00,6,6,0,0,0,0.0,0.0,5,0,1,0.02298762204966394,0.0038312703416106563,0,0,0,0,0,,,0,0,0,,,6,0,0,6,1
17774,2026-01-26 02:00:00+00:00,6,6,0,0,0,0.0,0.0,5,0,1,0.02298762204966394,0.0038312703416106563,0,0,0,0,0,,,0,0,0,,,6,0,0,6,1
17775,2026-01-26 06:00:00+00:00,6,6,0,0,0,0.0,0.0,5,0,1,0.02298762204966394,0.0038312703416106563,0,0,0,0,0,,,0,0,0,,,6,0,0,6,1
17776,2026-01-26 10:00:00+00:00,6,6,0,0,0,0.0,0.0,5,0,1,0.02298762204966394,0.0038312703416106563,0,0,0,0,0,,,0,0,0,,,6,0,0,6,1
17777,2026-01-26 14:00:00+00:00,6,6,0,0,0,0.0,0.0,5,0,1,0.02298762204966394,0.0038312703416106563,0,0,0,0,0,,,0,0,0,,,6,0,0,6,1
17778,2026-01-26 18:00:00+00:00,6,5,0,1,1,0.9698410224438981,0.16164017040731635,4,0,2,0.9698410224438981,0.16547144074892703,0,0,0,0,0,,,0,0,0,,,6,1,0,5,2
17779,2026-01-26 22:00:00+00:00,6,5,0,1,1,0.9698410224438981,0.16164017040731635,4,0,2,0.9698410224438981,0.16547144074892703,0,0,0,0,0,,,0,0,0,,,6,1,0,5,2
17780,2026-01-27 02:00:00+00:00,6,5,0,1,1,0.9698410224438981,0.16164017040731635,4,0,2,0.9698410224438981,0.16547144074892703,0,0,0,0,0,,,0,0,0,,,6,1,0,5,2
17781,2026-01-27 06:00:00+00:00,6,5,0,1,1,0.9698410224438981,0.16164017040731635,4,0,2,0.9698410224438981,0.16547144074892703,0,0,0,0,0,,,0,0,0,,,6,1,0,5,2
17782,2026-01-27 10:00:00+00:00,6,5,0,1,1,0.9698410224438981,0.16164017040731635,4,0,2,0.9698410224438981,0.16547144074892703,0,0,0,0,0,,,0,0,0,,,6,1,0,5,2
17783,2026-01-27 14:00:00+00:00,6,5,0,1,1,0.9698410224438981,0.16164017040731635,4,0,2,0.9698410224438981,0.16547144074892703,0,0,0,0,0,,,0,0,0,,,6,1,0,5,2
17784,2026-01-27 18:00:00+00:00,6,5,0,1,1,0.9698410224438981,0.16164017040731635,4,0,2,0.9698410224438981,0.16547144074892703,0,0,0,0,0,,,0,0,0,,,6,1,0,5,2
17785,2026-01-27 22:00:00+00:00,7,6,0,1,1,0.9698410224438981,0.13854871749198544,5,0,2,0.9698410224438981,0.1418326634990803,0,0,0,0,0,,,0,0,0,,,7,1,0,6,2
17786,2026-01-28 02:00:00+00:00,8,8,0,0,0,0.0,0.0,6,0,2,0.9698410224438981,0.12410358056169526,0,0,0,0,0,,,0,0,0,,,8,0,0,8,2
