calendar_year,side_label,confirmed_bos_count,raw_canonical_bos_ob_count,qualified_canonical_ob_count,coverage_fraction,pathological_exclusion_count
ALL,all,638,605,605,0.9482758620689655,33
ALL,bull,367,349,349,0.9509536784741145,18
ALL,bear,271,256,256,0.9446494464944649,15
2014,all,52,50,50,0.9615384615384616,2
2014,bull,26,26,26,1.0,0
2014,bear,26,24,24,0.9230769230769231,2
2015,all,57,53,53,0.9298245614035088,4
2015,bull,24,23,23,0.9583333333333334,1
2015,bear,33,30,30,0.9090909090909091,3
2016,all,44,42,42,0.9545454545454546,2
2016,bull,23,21,21,0.9130434782608695,2
2016,bear,21,21,21,1.0,0
2017,all,59,55,55,0.9322033898305084,4
2017,bull,32,31,31,0.96875,1
2017,bear,27,24,24,0.8888888888888888,3
2018,all,51,51,51,1.0,0
2018,bull,29,29,29,1.0,0
2018,bear,22,22,22,1.0,0
2019,all,51,49,49,0.9607843137254902,2
2019,bull,30,29,29,0.9666666666666667,1
2019,bear,21,20,20,0.9523809523809523,1
2020,all,51,48,48,0.9411764705882353,3
2020,bull,41,39,39,0.9512195121951219,2
2020,bear,10,9,9,0.9,1
2021,all,43,40,40,0.9302325581395349,3
2021,bull,22,20,20,0.9090909090909091,2
2021,bear,21,20,20,0.9523809523809523,1
2022,all,51,48,48,0.9411764705882353,3
2022,bull,25,24,24,0.96,1
2022,bear,26,24,24,0.9230769230769231,2
2023,all,58,58,58,1.0,0
2023,bull,27,27,27,1.0,0
2023,bear,31,31,31,1.0,0
2024,all,51,46,46,0.9019607843137255,5
2024,bull,35,31,31,0.8857142857142857,4
2024,bear,16,15,15,0.9375,1
2025,all,59,56,56,0.9491525423728814,3
2025,bull,47,44,44,0.9361702127659575,3
2025,bear,12,12,12,1.0,0
2026,all,11,9,9,0.8181818181818182,2
2026,bull,6,5,5,0.8333333333333334,1
2026,bear,5,4,4,0.8,1
