scope_type,scope_value,policy,sample_count,fill_rate,missed_trade_rate,win_rate_1r,win_rate_2r,win_rate_3r,expectancy_r,average_mae_r,average_mfe_r,median_mae_r,median_mfe_r,time_to_target_1r,time_to_stop,entry_improvement_atr,stop_compression_improvement_atr
overall,ALL,bos_close,605,1.0,0.0,0.5107438016528926,0.3256198347107438,0.21983471074380165,0.15009761067260363,1.0448764561650365,1.4878355058598425,1.0752688172043132,1.0458244990082648,6.0,8.0,0.0,0.0
overall,ALL,ob_body_entry,605,0.8264462809917356,0.17355371900826447,0.5702479338842975,0.4512396694214876,0.3504132231404959,0.384,2.8679048881322524,3.2158309895531065,1.4460414939844022,2.4054865322530254,1.0,1.0,1.2192305880779473,1.2192305880779473
overall,ALL,ob_first_touch,605,0.8495867768595041,0.15041322314049588,0.4512396694214876,0.30578512396694213,0.2413223140495868,0.09702053686229824,1.8002696532228974,1.7527997635838641,1.3340246334028831,1.1770689627605226,1.0,2.0,0.9146059891579487,0.9146059891579487
overall,ALL,ob_mean_threshold,605,0.7966942148760331,0.20330578512396694,0.4909090909090909,0.36363636363636365,0.27768595041322314,0.17842323651452283,2.805522950983524,2.594678136026764,1.6079220126934546,1.6794897542776224,1.0,1.0,1.18641830742202,1.18641830742202
side,bear,bos_close,256,1.0,0.0,0.48828125,0.28515625,0.16796875,-0.009414153526978067,1.069540820942267,1.3458418172404474,1.0832707742785512,0.9757633561709401,6.0,10.0,0.0,0.0
side,bear,ob_body_entry,256,0.8359375,0.1640625,0.5625,0.453125,0.33984375,0.40186915887850466,2.787133478243233,2.801595552853774,1.4950802171901953,2.3337530068069885,1.0,1.0,1.2396179709284423,1.2396179709284423
side,bear,ob_first_touch,256,0.84765625,0.15234375,0.4453125,0.26953125,0.19921875,-0.029193358898433528,1.7578354715410573,1.533301647347482,1.3499595578322867,1.15677966101695,1.0,2.0,0.9255926425040496,0.9255926425040496
side,bear,ob_mean_threshold,256,0.81640625,0.18359375,0.4921875,0.34765625,0.2578125,0.11004784688995216,2.7018487061403436,2.2068702620713108,1.7003058103975695,1.5374422187982129,1.0,1.0,1.2026535056360779,1.2026535056360779
side,bull,bos_close,349,1.0,0.0,0.5272206303724928,0.3553008595988539,0.25787965616045844,0.26710337467000456,1.0267845438929133,1.5919913347611752,1.0727272727272685,1.2210748763267896,6.0,8.0,0.0,0.0
side,bull,ob_body_entry,349,0.8194842406876791,0.18051575931232092,0.5759312320916905,0.4498567335243553,0.35816618911174786,0.3706293706293706,2.9283422367904706,3.5257833792512083,1.39141130092237,2.4901128509867707,1.0,1.0,1.2042759462162662,1.2042759462162662
side,bull,ob_first_touch,349,0.8510028653295129,0.1489971346704871,0.45558739255014324,0.332378223495702,0.2722063037249284,0.1892374236639104,1.8312737522968339,1.9131738081067429,1.2734688755020243,1.2119924457035327,1.0,1.0,0.9065470113453357,0.9065470113453357
side,bull,ob_mean_threshold,349,0.7822349570200573,0.2177650429799427,0.4899713467048711,0.3753581661891118,0.2922636103151863,0.23076923076923078,2.884892610955044,2.8915713435604258,1.479711451758363,1.8580516898610202,1.0,1.0,1.1745093941188716,1.1745093941188716
year,2014,bos_close,50,1.0,0.0,0.52,0.26,0.16,-0.09278635964626289,1.0646272278829612,1.3318585680094628,1.1834148387439791,1.019222800623292,8.0,12.0,0.0,0.0
year,2014,ob_body_entry,50,0.8,0.2,0.58,0.44,0.3,0.3,2.4164216604698123,3.2851488056466716,1.4556229565173004,2.2944071317763233,1.0,1.0,1.3365446118993936,1.3365446118993936
year,2014,ob_first_touch,50,0.86,0.14,0.58,0.32,0.28,0.3023255813953488,1.4657932646481056,2.059641562939856,1.2864163554157875,1.3930753564155232,2.0,4.0,1.0026091350486848,1.0026091350486848
year,2014,ob_mean_threshold,50,0.78,0.22,0.5,0.42,0.3,0.5384615384615384,1.8089288662317484,2.82574395952963,1.391162191617928,2.125812441968447,1.0,1.0,1.3088793250615336,1.3088793250615336
year,2015,bos_close,53,1.0,0.0,0.49056603773584906,0.3018867924528302,0.18867924528301888,0.0986703981679886,1.1434872749824445,1.4004222949342453,1.100918121613495,0.995208164789346,10.5,7.0,0.0,0.0
year,2015,ob_body_entry,53,0.7924528301886793,0.20754716981132076,0.6037735849056604,0.5094339622641509,0.41509433962264153,0.8095238095238095,3.052426759925069,3.5640788063398228,1.2188737702378942,3.1236676872445295,1.0,1.0,1.0643094808356035,1.0643094808356035
year,2015,ob_first_touch,53,0.7924528301886793,0.20754716981132076,0.5094339622641509,0.39622641509433965,0.2830188679245283,0.3333333333333333,1.8982647564576225,2.1488701270180552,1.3360624295195265,1.9294758459296864,1.0,1.5,0.7963367748054938,0.7963367748054938
year,2015,ob_mean_threshold,53,0.7547169811320755,0.24528301886792453,0.49056603773584906,0.4528301886792453,0.37735849056603776,0.6,2.834949033529762,3.10322576705462,1.3279747308084344,2.964843154103752,1.0,1.0,1.0310506626416902,1.0310506626416902
year,2016,bos_close,42,1.0,0.0,0.5952380952380952,0.47619047619047616,0.35714285714285715,0.8073816777776683,0.9263480126829047,1.8777470847404094,0.8023412036260424,1.6563858260054118,6.0,8.0,0.0,0.0
year,2016,ob_body_entry,42,0.7380952380952381,0.2619047619047619,0.6666666666666666,0.5952380952380952,0.42857142857142855,1.064516129032258,2.3373947612712898,4.661940465973126,0.6048565121413164,3.147980711271739,1.0,2.0,1.0682823721829044,1.0682823721829044
year,2016,ob_first_touch,42,0.7619047619047619,0.23809523809523808,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.0,2.0063731080364704,2.118950196182423,1.344022279844946,1.8178361128045233,1.0,4.0,0.7749752020986245,0.7749752020986245
year,2016,ob_mean_threshold,42,0.6190476190476191,0.38095238095238093,0.47619047619047616,0.38095238095238093,0.30952380952380953,0.6923076923076923,2.8868792256188818,3.148013659872853,1.5723669471273767,2.927749533080303,1.0,1.0,0.8895281811491712,0.8895281811491712
year,2017,bos_close,55,1.0,0.0,0.5272727272727272,0.4,0.32727272727272727,0.38500071902405264,1.0618029755335303,1.717996715382002,1.1301302931596058,1.1859625366734254,4.0,8.0,0.0,0.0
year,2017,ob_body_entry,55,0.8363636363636363,0.16363636363636364,0.5636363636363636,0.41818181818181815,0.2727272727272727,-0.043478260869565216,2.6778958611607195,2.387400290005425,1.793415880486232,1.94701717362121,1.0,1.0,1.089762495921407,1.089762495921407
year,2017,ob_first_touch,55,0.8363636363636363,0.16363636363636364,0.3090909090909091,0.2,0.16363636363636364,-0.21739130434782608,1.8443341838081035,1.2139112687237812,1.6223549576844314,0.6920188697261798,1.0,1.0,0.7508835151745492,0.7508835151745492
year,2017,ob_mean_threshold,55,0.8181818181818182,0.18181818181818182,0.5454545454545454,0.32727272727272727,0.21818181818181817,-0.1111111111111111,2.645824576223991,1.9596480854716383,1.8590446358653407,1.3850129198966428,1.0,1.0,1.081408493511885,1.081408493511885
year,2018,bos_close,51,1.0,0.0,0.45098039215686275,0.35294117647058826,0.17647058823529413,0.038881853085284995,1.08295365063439,1.401352916803338,1.077809413648902,0.8833975540291281,6.0,11.0,0.0,0.0
year,2018,ob_body_entry,51,0.8431372549019608,0.1568627450980392,0.5098039215686274,0.39215686274509803,0.27450980392156865,0.20930232558139536,2.4280303597945663,2.227387121772521,1.7323318538750145,1.7745098039212819,1.0,1.0,1.2144066213375555,1.2144066213375555
year,2018,ob_first_touch,51,0.8627450980392157,0.13725490196078433,0.37254901960784315,0.27450980392156865,0.23529411764705882,0.09090909090909091,1.5892381202902086,1.328099634518557,1.437329899051881,0.5249817230581768,1.0,1.0,0.8799301698634551,0.8799301698634551
year,2018,ob_mean_threshold,51,0.8235294117647058,0.17647058823529413,0.43137254901960786,0.27450980392156865,0.21568627450980393,0.047619047619047616,2.436966049654547,2.103892144712554,1.7332541302160236,1.140678419826103,1.0,1.0,1.1996375119017875,1.1996375119017875
year,2019,bos_close,49,1.0,0.0,0.3877551020408163,0.20408163265306123,0.14285714285714285,-0.27726119935876903,1.2273309157546184,1.2028729401061287,1.1993135777666022,0.8417282809611947,5.0,11.0,0.0,0.0
year,2019,ob_body_entry,49,0.8979591836734694,0.10204081632653061,0.6122448979591837,0.46938775510204084,0.42857142857142855,0.36363636363636365,2.962408611465383,2.8203206430682606,2.2077622847282283,2.4686824643673217,1.0,1.0,1.4871886586737533,1.4871886586737533
year,2019,ob_first_touch,49,0.9183673469387755,0.08163265306122448,0.5102040816326531,0.32653061224489793,0.20408163265306123,-0.08236548818855635,2.0537504707385494,1.76570174738334,1.6666011787819417,1.2119924457035327,2.0,1.0,1.1537134694777986,1.1537134694777986
year,2019,ob_mean_threshold,49,0.8367346938775511,0.16326530612244897,0.46938775510204084,0.3469387755102041,0.24489795918367346,-0.12195121951219512,3.33157321314439,2.2610861390409105,2.4482187241095454,1.6395585245424444,1.0,1.0,1.3610055049619811,1.3610055049619811
year,2020,bos_close,48,1.0,0.0,0.5,0.2916666666666667,0.22916666666666666,0.05319459629604034,0.990799533166158,1.6161890195331488,1.0871879534721693,1.023853911281178,3.0,11.0,0.0,0.0
year,2020,ob_body_entry,48,0.875,0.125,0.625,0.5,0.4166666666666667,0.42857142857142855,4.208455248739925,4.34056804789956,1.310347181287034,2.4650695018186988,1.0,1.0,1.2386934106979344,1.2386934106979344
year,2020,ob_first_touch,48,0.8958333333333334,0.10416666666666667,0.5625,0.3958333333333333,0.22916666666666666,-0.16279069767441862,2.277221545362205,1.9187019107087135,1.3393071795432272,1.7578947368420736,1.0,4.5,0.8872915674503529,0.8872915674503529
year,2020,ob_mean_threshold,48,0.8541666666666666,0.14583333333333334,0.5625,0.3958333333333333,0.3541666666666667,0.2682926829268293,3.544152277946616,2.9843798966375847,1.3887878042783657,1.8123263037436785,1.0,1.0,1.2400304342387105,1.2400304342387105
year,2021,bos_close,40,1.0,0.0,0.475,0.25,0.15,-0.18667815977669416,1.1669816186900344,1.2753511378854387,1.127352709479245,0.9001900720514118,5.0,9.0,0.0,0.0
