row_idx,timestamp,distance_to_nearest_active_ob_atr,distance_to_nearest_fresh_ob_atr,top_active_distance_atr,top_fresh_distance_atr,fraction_with_active_within_0_5atr,fraction_with_active_within_1_0atr,fraction_with_active_within_2_0atr,fraction_with_fresh_within_0_5atr,fraction_with_fresh_within_1_0atr,fraction_with_fresh_within_2_0atr
0,2014-01-01 23:00:00+00:00,,,,,0,0,0,0,0,0
1,2014-01-02 03:00:00+00:00,,,,,0,0,0,0,0,0
2,2014-01-02 07:00:00+00:00,,,,,0,0,0,0,0,0
3,2014-01-02 11:00:00+00:00,,,,,0,0,0,0,0,0
4,2014-01-02 15:00:00+00:00,,,,,0,0,0,0,0,0
5,2014-01-02 19:00:00+00:00,,,,,0,0,0,0,0,0
6,2014-01-02 23:00:00+00:00,,,,,0,0,0,0,0,0
7,2014-01-03 03:00:00+00:00,,,,,0,0,0,0,0,0
8,2014-01-03 07:00:00+00:00,,,,,0,0,0,0,0,0
9,2014-01-03 11:00:00+00:00,,,,,0,0,0,0,0,0
10,2014-01-03 15:00:00+00:00,,,,,0,0,0,0,0,0
11,2014-01-03 19:00:00+00:00,,,,,0,0,0,0,0,0
12,2014-01-05 23:00:00+00:00,,,,,0,0,0,0,0,0
13,2014-01-06 03:00:00+00:00,,,,,0,0,0,0,0,0
14,2014-01-06 07:00:00+00:00,,,,,0,0,0,0,0,0
15,2014-01-06 11:00:00+00:00,,,,,0,0,0,0,0,0
16,2014-01-06 15:00:00+00:00,,,,,0,0,0,0,0,0
17,2014-01-06 19:00:00+00:00,,,,,0,0,0,0,0,0
18,2014-01-06 23:00:00+00:00,,,,,0,0,0,0,0,0
19,2014-01-07 03:00:00+00:00,,,,,0,0,0,0,0,0
20,2014-01-07 07:00:00+00:00,,,,,0,0,0,0,0,0
21,2014-01-07 11:00:00+00:00,,,,,0,0,0,0,0,0
22,2014-01-07 15:00:00+00:00,,,,,0,0,0,0,0,0
23,2014-01-07 19:00:00+00:00,,,,,0,0,0,0,0,0
24,2014-01-07 23:00:00+00:00,,,,,0,0,0,0,0,0
25,2014-01-08 03:00:00+00:00,,,,,0,0,0,0,0,0
26,2014-01-08 07:00:00+00:00,,,,,0,0,0,0,0,0
27,2014-01-08 11:00:00+00:00,,,,,0,0,0,0,0,0
28,2014-01-08 15:00:00+00:00,,,,,0,0,0,0,0,0
29,2014-01-08 19:00:00+00:00,,,,,0,0,0,0,0,0
30,2014-01-08 23:00:00+00:00,,,,,0,0,0,0,0,0
31,2014-01-09 03:00:00+00:00,,,,,0,0,0,0,0,0
32,2014-01-09 07:00:00+00:00,,,,,0,0,0,0,0,0
33,2014-01-09 11:00:00+00:00,,,,,0,0,0,0,0,0
34,2014-01-09 15:00:00+00:00,,,,,0,0,0,0,0,0
35,2014-01-09 19:00:00+00:00,,,,,0,0,0,0,0,0
36,2014-01-09 23:00:00+00:00,,,,,0,0,0,0,0,0
37,2014-01-10 03:00:00+00:00,,,,,0,0,0,0,0,0
38,2014-01-10 07:00:00+00:00,,,,,0,0,0,0,0,0
39,2014-01-10 11:00:00+00:00,,,,,0,0,0,0,0,0
40,2014-01-10 15:00:00+00:00,,,,,0,0,0,0,0,0
41,2014-01-10 19:00:00+00:00,,,,,0,0,0,0,0,0
42,2014-01-12 23:00:00+00:00,1.7560803695807337,1.7560803695807337,1.7560803695807337,1.7560803695807337,0,0,1,0,0,1
43,2014-01-13 03:00:00+00:00,1.538493301974413,1.538493301974413,1.538493301974413,1.538493301974413,0,0,1,0,0,1
44,2014-01-13 07:00:00+00:00,1.1591780940462661,1.1591780940462661,1.1591780940462661,1.1591780940462661,0,0,1,0,0,1
45,2014-01-13 11:00:00+00:00,1.5102923160333006,1.5102923160333006,1.5102923160333006,1.5102923160333006,0,0,1,0,0,1
46,2014-01-13 15:00:00+00:00,2.233747413023556,2.233747413023556,2.233747413023556,,0,0,0,0,0,0
47,2014-01-13 19:00:00+00:00,1.9810618907876958,1.9810618907876958,1.9810618907876958,1.9810618907876958,0,0,1,0,0,1
48,2014-01-13 23:00:00+00:00,2.059205675403406,2.059205675403406,2.059205675403406,,0,0,0,0,0,0
49,2014-01-14 03:00:00+00:00,2.3510187917337095,2.3510187917337095,2.3510187917337095,,0,0,0,0,0,0
50,2014-01-14 07:00:00+00:00,1.717499214165697,1.717499214165697,1.717499214165697,1.717499214165697,0,0,1,0,0,1
51,2014-01-14 11:00:00+00:00,2.2357965329820346,2.2357965329820346,2.2357965329820346,,0,0,0,0,0,0
52,2014-01-14 15:00:00+00:00,0.9555270573935108,0.9555270573935108,0.9555270573935108,0.9555270573935108,0,1,1,0,1,1
53,2014-01-14 19:00:00+00:00,0.8738818125301949,0.8738818125301949,0.8738818125301949,0.8738818125301949,0,1,1,0,1,1
54,2014-01-14 23:00:00+00:00,0.45094130201901966,0.45094130201901966,0.45094130201901966,0.45094130201901966,1,1,1,1,1,1
55,2014-01-15 03:00:00+00:00,0.48707761469919614,0.48707761469919614,0.48707761469919614,0.48707761469919614,1,1,1,1,1,1
56,2014-01-15 07:00:00+00:00,0.0324601336069917,,0.0324601336069917,,1,1,1,0,0,0
57,2014-01-15 11:00:00+00:00,0.0,,0.0,,1,1,1,0,0,0
58,2014-01-15 15:00:00+00:00,0.18264656818774644,,0.18264656818774644,,1,1,1,0,0,0
59,2014-01-15 19:00:00+00:00,0.49880344890467276,,0.49880344890467276,,1,1,1,0,0,0
60,2014-01-15 23:00:00+00:00,0.31764153449054144,,0.31764153449054144,,1,1,1,0,0,0
61,2014-01-16 03:00:00+00:00,0.6570072893853132,,0.6570072893853132,,0,1,1,0,0,0
62,2014-01-16 07:00:00+00:00,0.0,,0.0,,1,1,1,0,0,0
63,2014-01-16 11:00:00+00:00,0.3673462330923283,,0.3673462330923283,,1,1,1,0,0,0
64,2014-01-16 15:00:00+00:00,0.6903365659719012,,0.6903365659719012,,0,1,1,0,0,0
65,2014-01-16 19:00:00+00:00,0.6248300663043438,,0.6248300663043438,,0,1,1,0,0,0
66,2014-01-16 23:00:00+00:00,1.0755564638766648,,1.0755564638766648,,0,0,1,0,0,0
67,2014-01-17 03:00:00+00:00,1.1578691392009646,,1.1578691392009646,,0,0,1,0,0,0
68,2014-01-17 07:00:00+00:00,0.8830753874512172,,0.8830753874512172,,0,1,1,0,0,0
69,2014-01-17 11:00:00+00:00,0.6987207827513668,0.6987207827513668,0.6987207827513668,0.6987207827513668,0,1,1,0,1,1
70,2014-01-17 15:00:00+00:00,1.2724568291640974,1.2724568291640974,1.2724568291640974,1.2724568291640974,0,0,1,0,0,1
71,2014-01-17 19:00:00+00:00,1.447105751036257,1.447105751036257,1.447105751036257,1.447105751036257,0,0,1,0,0,1
72,2014-01-19 23:00:00+00:00,1.8860133386468336,1.8860133386468336,1.8860133386468336,1.8860133386468336,0,0,1,0,0,1
73,2014-01-20 03:00:00+00:00,2.068195003360678,2.068195003360678,2.068195003360678,,0,0,0,0,0,0
74,2014-01-20 07:00:00+00:00,1.8021251586749498,1.8021251586749498,1.8021251586749498,1.8021251586749498,0,0,1,0,0,1
75,2014-01-20 11:00:00+00:00,1.9863626732700386,1.9863626732700386,1.9863626732700386,1.9863626732700386,0,0,1,0,0,1
76,2014-01-20 15:00:00+00:00,1.8964038839273583,1.8964038839273583,1.8964038839273583,1.8964038839273583,0,0,1,0,0,1
77,2014-01-20 23:00:00+00:00,1.545495866889588,1.545495866889588,1.545495866889588,1.545495866889588,0,0,1,0,0,1
78,2014-01-21 03:00:00+00:00,1.62075489216801,1.62075489216801,1.62075489216801,1.62075489216801,0,0,1,0,0,1
79,2014-01-21 07:00:00+00:00,0.6192929095391431,0.6192929095391431,0.6192929095391431,0.6192929095391431,0,1,1,0,1,1
80,2014-01-21 11:00:00+00:00,0.37131204629103537,,0.37131204629103537,,1,1,1,0,0,0
81,2014-01-21 15:00:00+00:00,0.7134388986283566,,0.7134388986283566,,0,1,1,0,0,0
82,2014-01-21 19:00:00+00:00,0.3276743310760221,,0.3276743310760221,,1,1,1,0,0,0
83,2014-01-21 23:00:00+00:00,0.7225746074500531,,0.7225746074500531,,0,1,1,0,0,0
84,2014-01-22 03:00:00+00:00,0.4506988385300429,,0.4506988385300429,,1,1,1,0,0,0
85,2014-01-22 07:00:00+00:00,0.4010300235180452,,0.4010300235180452,,1,1,1,0,0,0
86,2014-01-22 11:00:00+00:00,0.6494052351536707,,0.6494052351536707,,0,1,1,0,0,0
87,2014-01-22 15:00:00+00:00,0.27717363829751507,,0.27717363829751507,,1,1,1,0,0,0
88,2014-01-22 19:00:00+00:00,0.0,,0.0,,1,1,1,0,0,0
89,2014-01-22 23:00:00+00:00,,,,,0,0,0,0,0,0
90,2014-01-23 03:00:00+00:00,,,,,0,0,0,0,0,0
91,2014-01-23 07:00:00+00:00,,,,,0,0,0,0,0,0
92,2014-01-23 11:00:00+00:00,,,,,0,0,0,0,0,0
93,2014-01-23 15:00:00+00:00,,,,,0,0,0,0,0,0
94,2014-01-23 19:00:00+00:00,,,,,0,0,0,0,0,0
95,2014-01-23 23:00:00+00:00,,,,,0,0,0,0,0,0
96,2014-01-24 03:00:00+00:00,,,,,0,0,0,0,0,0
97,2014-01-24 07:00:00+00:00,,,,,0,0,0,0,0,0
98,2014-01-24 11:00:00+00:00,,,,,0,0,0,0,0,0
99,2014-01-24 15:00:00+00:00,,,,,0,0,0,0,0,0
100,2014-01-24 19:00:00+00:00,,,,,0,0,0,0,0,0
101,2014-01-26 23:00:00+00:00,,,,,0,0,0,0,0,0
102,2014-01-27 03:00:00+00:00,,,,,0,0,0,0,0,0
103,2014-01-27 07:00:00+00:00,,,,,0,0,0,0,0,0
104,2014-01-27 11:00:00+00:00,,,,,0,0,0,0,0,0
105,2014-01-27 15:00:00+00:00,,,,,0,0,0,0,0,0
106,2014-01-27 19:00:00+00:00,,,,,0,0,0,0,0,0
107,2014-01-27 23:00:00+00:00,,,,,0,0,0,0,0,0
108,2014-01-28 03:00:00+00:00,,,,,0,0,0,0,0,0
109,2014-01-28 07:00:00+00:00,,,,,0,0,0,0,0,0
110,2014-01-28 11:00:00+00:00,,,,,0,0,0,0,0,0
111,2014-01-28 15:00:00+00:00,,,,,0,0,0,0,0,0
112,2014-01-28 19:00:00+00:00,,,,,0,0,0,0,0,0
113,2014-01-28 23:00:00+00:00,,,,,0,0,0,0,0,0
114,2014-01-29 03:00:00+00:00,,,,,0,0,0,0,0,0
115,2014-01-29 07:00:00+00:00,,,,,0,0,0,0,0,0
116,2014-01-29 11:00:00+00:00,,,,,0,0,0,0,0,0
117,2014-01-29 15:00:00+00:00,,,,,0,0,0,0,0,0
118,2014-01-29 19:00:00+00:00,,,,,0,0,0,0,0,0
119,2014-01-29 23:00:00+00:00,,,,,0,0,0,0,0,0
120,2014-01-30 03:00:00+00:00,,,,,0,0,0,0,0,0
121,2014-01-30 07:00:00+00:00,,,,,0,0,0,0,0,0
122,2014-01-30 11:00:00+00:00,,,,,0,0,0,0,0,0
123,2014-01-30 15:00:00+00:00,,,,,0,0,0,0,0,0
124,2014-01-30 19:00:00+00:00,,,,,0,0,0,0,0,0
