ob_id,side,side_label,source_idx,parent_bos_idx,activate_idx,zone_low,zone_high,zone_height_atr,strength,parent_displacement_score,parent_move_away_atr,first_touch_idx,first_partial_mitigation_idx,first_full_mitigation_idx,invalidation_idx,last_touch_idx,retirement_idx,terminal_idx,terminal_state,bars_to_first_touch,bars_to_first_partial_mitigation,bars_to_first_full_mitigation,bars_to_invalidation,bars_to_retirement,fresh_life_bars,fresh_life_censored,fresh_state_duration,touched_state_duration,partial_state_duration,post_full_pre_terminal_duration,total_live_duration,active_end_exclusive,fresh_end_exclusive,touch_count,mitigation_count,max_penetration_frac,max_penetration_atr,midpoint_touch_flag,midpoint_touch_idx
1,1,bull,68,69,69,1239.525,1244.058,0.7869071573197477,0.4895426123609529,0.41536178153063147,1.1313200847679128,80.0,,80.0,,80.0,,80.0,mitigated_full,11.0,,11.0,,,11.0,0,11.0,0.0,0.0,0.0,11.0,80.0,80.0,1,1,1.0,0.775648620201461,1,80.0
2,1,bull,166,167,167,1272.959,1275.067,0.3234341880677631,0.8303566616587184,1.0,1.8853696883191535,,,,,,263.0,263.0,retired,,,,,96.0,96.0,1,96.0,0.0,0.0,0.0,96.0,263.0,263.0,0,0,0.0,0.0,0,
3,1,bull,170,171,171,1275.942,1284.175,1.156151564069435,0.48418291785654455,0.4694946390747961,1.3489605155412436,174.0,174.0,,,174.0,267.0,267.0,retired,3.0,3.0,,,96.0,3.0,0,3.0,0.0,93.0,0.0,96.0,267.0,174.0,1,1,0.027450504068976905,0.034085182351045754,0,
4,1,bull,180,183,183,1288.341,1291.685,0.5582369612000503,0.6859339231491655,0.6330589299969506,1.6214580155909053,,,,,,279.0,279.0,retired,,,,,96.0,96.0,1,96.0,0.0,0.0,0.0,96.0,279.0,279.0,0,0,0.0,0.0,0,
5,1,bull,220,222,222,1318.505,1324.835,0.9794518779436739,0.6259821989862263,0.6162397785318379,1.4896024058394646,236.0,236.0,,,249.0,318.0,318.0,retired,14.0,14.0,,,96.0,14.0,0,14.0,0.0,82.0,0.0,96.0,318.0,236.0,4,4,0.8807266982622606,0.8962550994748262,1,248.0
6,1,bull,228,230,230,1330.765,1334.647,0.6320154733261821,0.516960942714394,0.4872578985944997,1.420162538337067,235.0,,235.0,,235.0,,235.0,mitigated_full,5.0,,5.0,,,5.0,0,5.0,0.0,0.0,0.0,5.0,235.0,235.0,1,1,1.0,0.6159357656365207,1,235.0
7,1,bull,291,294,294,1344.335,1348.447,0.5800704598703654,0.6254674429492947,0.6415210225702543,1.573610403661059,327.0,327.0,328.0,328.0,328.0,,328.0,invalidated,33.0,33.0,34.0,34.0,,33.0,0,33.0,0.0,1.0,0.0,34.0,328.0,327.0,2,2,1.0,0.5317671319204156,1,327.0
8,1,bull,307,309,309,1367.827,1372.592,0.6422701793144219,0.8895603304799217,1.0,2.07346110564395,317.0,,317.0,317.0,317.0,,317.0,invalidated,8.0,,8.0,8.0,,8.0,0,8.0,0.0,0.0,0.0,8.0,317.0,317.0,1,1,1.0,0.5646507442207098,1,317.0
9,1,bull,310,312,312,1373.384,1384.896,1.4789645443452728,0.49266881187383926,0.4971995980523135,0.9264083851002288,313.0,313.0,317.0,317.0,317.0,,317.0,invalidated,1.0,1.0,5.0,5.0,,1.0,0,1.0,0.0,4.0,0.0,5.0,317.0,313.0,5,5,1.0,1.3641677581256333,1,315.0
10,-1,bear,357,359,359,1311.978,1315.642,0.5467219882500796,0.8209244617082664,1.0,1.756553287576432,414.0,414.0,424.0,,424.0,,424.0,mitigated_full,55.0,55.0,65.0,,,55.0,0,55.0,0.0,10.0,0.0,65.0,424.0,414.0,7,7,1.0,0.6318452372702102,1,414.0
11,1,bull,399,402,402,1284.137,1287.047,0.5040984743023654,0.7357474701769454,0.6036524204449565,2.7326987739242345,446.0,,446.0,,446.0,,446.0,mitigated_full,44.0,,44.0,,,44.0,0,44.0,0.0,0.0,0.0,44.0,446.0,446.0,1,1,1.0,0.3589949857810452,1,446.0
12,1,bull,410,413,413,1295.46,1300.5,0.9546533140439196,0.7432253791110035,0.9520277171967241,1.7596685094182622,446.0,,446.0,,446.0,,446.0,mitigated_full,33.0,,33.0,,,33.0,0,33.0,0.0,0.0,0.0,33.0,446.0,446.0,1,1,1.0,0.6217645114558089,1,446.0
13,-1,bear,538,539,539,1310.135,1314.458,0.6841514793702955,0.7796517710884949,1.0,2.427685332764296,,,,,,635.0,635.0,retired,,,,,96.0,96.0,1,96.0,0.0,0.0,0.0,96.0,635.0,635.0,0,0,0.0,0.0,0,
14,-1,bear,631,632,632,1263.625,1266.585,0.5723858061583356,0.7186328254099674,0.7932029427913742,1.3996379949236535,693.0,693.0,699.0,,699.0,,699.0,mitigated_full,61.0,61.0,67.0,,,61.0,0,61.0,0.0,6.0,0.0,67.0,699.0,693.0,3,3,1.0,0.7932304023991673,1,694.0
15,-1,bear,634,636,636,1258.242,1259.919,0.32965028469318,0.6056606589510148,0.5235625845650037,1.3184045673446279,639.0,,639.0,,639.0,,639.0,mitigated_full,3.0,,3.0,,,3.0,0,3.0,0.0,0.0,0.0,3.0,639.0,639.0,1,1,1.0,0.33221593612447936,1,639.0
16,1,bull,666,669,669,1241.752,1243.89,0.4597801481901039,0.7613082107304815,0.9513694222884398,2.789433256395429,,,,,,765.0,765.0,retired,,,,,96.0,96.0,1,96.0,0.0,0.0,0.0,96.0,765.0,765.0,0,0,0.0,0.0,0,
17,1,bull,697,700,700,1259.895,1260.82,0.2116134242403515,0.6784707067694846,0.7460704654278842,3.0806339144007993,719.0,,719.0,,719.0,,719.0,mitigated_full,19.0,,19.0,,,19.0,0,19.0,0.0,0.0,0.0,19.0,719.0,719.0,1,1,1.0,0.1824341591760332,1,719.0
18,1,bull,705,710,710,1271.39,1274.56,0.7827297016778161,0.668603461978741,0.611240051203431,2.0607766846067426,713.0,713.0,715.0,,715.0,,715.0,mitigated_full,3.0,3.0,5.0,,,3.0,0,3.0,0.0,2.0,0.0,5.0,715.0,713.0,3,3,1.0,0.7264549564328129,1,713.0
19,1,bull,817,818,818,1321.372,1325.869,0.9135632926377587,0.5806882347998477,0.5756653168516777,1.2700906616792595,819.0,819.0,834.0,834.0,834.0,,834.0,invalidated,1.0,1.0,16.0,16.0,,1.0,0,1.0,0.0,15.0,0.0,16.0,834.0,819.0,2,2,1.0,0.7600958405676077,1,819.0
20,1,bull,821,822,822,1327.039,1329.916,0.48439184375593236,0.8510497433782059,1.0,2.4839182728298446,834.0,,834.0,834.0,834.0,,834.0,invalidated,12.0,,12.0,12.0,,12.0,0,12.0,0.0,0.0,0.0,12.0,834.0,834.0,1,1,1.0,0.48627879326507617,1,834.0
21,-1,bear,841,842,842,1309.01,1313.695,0.6720146969154585,0.7740135197585669,1.0,1.951352814693283,855.0,,855.0,855.0,855.0,,855.0,invalidated,13.0,,13.0,13.0,,13.0,0,13.0,0.0,0.0,0.0,13.0,855.0,855.0,1,1,1.0,0.6371693173035978,1,855.0
22,-1,bear,878,882,882,1306.327,1309.453,0.5691902766330603,0.7465408242509812,0.9246437333799213,1.8483206967697623,893.0,893.0,903.0,,903.0,,903.0,mitigated_full,11.0,11.0,21.0,,,11.0,0,11.0,0.0,10.0,0.0,21.0,903.0,893.0,6,6,1.0,0.6465766107212814,1,893.0
23,-1,bear,914,917,917,1294.669,1295.858,0.2200092938041498,0.5496788177353453,0.38586950538869924,2.6153165337495765,922.0,,922.0,,922.0,,922.0,mitigated_full,5.0,,5.0,,,5.0,0,5.0,0.0,0.0,0.0,5.0,922.0,922.0,1,1,1.0,0.2083975230406587,1,922.0
24,-1,bear,934,935,935,1291.043,1293.399,0.49049833481324706,0.555613040793803,0.6066649885529142,1.8127202891421448,936.0,,936.0,,936.0,,936.0,mitigated_full,1.0,,1.0,,,1.0,0,1.0,0.0,0.0,0.0,1.0,936.0,936.0,1,1,1.0,0.45168329587810513,1,936.0
25,-1,bear,1005,1007,1007,1290.08,1291.818,0.34778824852333406,0.7563000169012168,0.8744705437431607,3.1302943450232155,1026.0,1026.0,1039.0,1039.0,1039.0,,1039.0,invalidated,19.0,19.0,32.0,32.0,,19.0,0,19.0,0.0,13.0,0.0,32.0,1039.0,1026.0,4,4,1.0,0.36230272775181377,1,1039.0
