row_idx,timestamp,active_ob_count,fresh_ob_count,nearest_active_distance_atr,nearest_fresh_distance_atr,best_active_monitorability_score,best_fresh_monitorability_score,top_k_active_ids_by_monitorability,top_k_fresh_ids_by_monitorability,active_bull_count,active_bear_count,fresh_bull_count,fresh_bear_count,nearest_monitorable_bull_ob_distance_atr,nearest_monitorable_bear_ob_distance_atr,best_bull_ob_score,best_bear_ob_score,any_monitorable_ob_within_1atr,any_monitorable_ob_within_2atr
0,2014-01-01 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
1,2014-01-02 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
2,2014-01-02 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
3,2014-01-02 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
4,2014-01-02 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
5,2014-01-02 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
6,2014-01-02 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
7,2014-01-03 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
8,2014-01-03 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
9,2014-01-03 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
10,2014-01-03 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
11,2014-01-03 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
12,2014-01-05 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
13,2014-01-06 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
14,2014-01-06 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
15,2014-01-06 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
16,2014-01-06 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
17,2014-01-06 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
18,2014-01-06 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
19,2014-01-07 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
20,2014-01-07 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
21,2014-01-07 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
22,2014-01-07 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
23,2014-01-07 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
24,2014-01-07 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
25,2014-01-08 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
26,2014-01-08 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
27,2014-01-08 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
28,2014-01-08 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
29,2014-01-08 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
30,2014-01-08 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
31,2014-01-09 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
32,2014-01-09 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
33,2014-01-09 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
34,2014-01-09 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
35,2014-01-09 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
36,2014-01-09 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
37,2014-01-10 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
38,2014-01-10 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
39,2014-01-10 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
40,2014-01-10 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
41,2014-01-10 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
42,2014-01-12 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
43,2014-01-13 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
44,2014-01-13 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
45,2014-01-13 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
46,2014-01-13 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
