row_idx,timestamp,raw_active_count,raw_fresh_count,display_fresh_count,top_bull_ob_id,top_bear_ob_id,top_all_ob_id,best_bull_ob_score,best_bear_ob_score,top_active_distance_atr,top_fresh_distance_atr,distance_to_nearest_active_ob_atr,distance_to_nearest_fresh_ob_atr,fractional_distance_band_active,endpoint_inventory_is_good_bool,endpoint_inventory_warning_flags,fraction_with_active_within_0_5atr,fraction_with_active_within_1_0atr,fraction_with_active_within_2_0atr,fraction_with_fresh_within_0_5atr,fraction_with_fresh_within_1_0atr,fraction_with_fresh_within_2_0atr
0,2014-01-01 23:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
1,2014-01-02 03:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
2,2014-01-02 07:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
3,2014-01-02 11:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
4,2014-01-02 15:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
5,2014-01-02 19:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
6,2014-01-02 23:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
7,2014-01-03 03:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
8,2014-01-03 07:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
9,2014-01-03 11:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
10,2014-01-03 15:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
11,2014-01-03 19:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
12,2014-01-05 23:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
13,2014-01-06 03:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
14,2014-01-06 07:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
15,2014-01-06 11:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
16,2014-01-06 15:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
17,2014-01-06 19:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
18,2014-01-06 23:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
19,2014-01-07 03:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
20,2014-01-07 07:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
21,2014-01-07 11:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
22,2014-01-07 15:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
23,2014-01-07 19:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
24,2014-01-07 23:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
25,2014-01-08 03:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
26,2014-01-08 07:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
27,2014-01-08 11:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
28,2014-01-08 15:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
29,2014-01-08 19:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
30,2014-01-08 23:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
31,2014-01-09 03:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
32,2014-01-09 07:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
33,2014-01-09 11:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
34,2014-01-09 15:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
35,2014-01-09 19:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
36,2014-01-09 23:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
37,2014-01-10 03:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
38,2014-01-10 07:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
39,2014-01-10 11:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
40,2014-01-10 15:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
41,2014-01-10 19:00:00+00:00,0,0,0,,,,,,,,,,distant,0,"no_active_inventory,no_fresh_inventory",0,0,0,0,0,0
42,2014-01-12 23:00:00+00:00,1,1,1,1.0,,1.0,0.7023518849332455,,1.7560803695807337,1.7560803695807337,1.7560803695807337,1.7560803695807337,context_near,0,,0,0,1,0,0,1
43,2014-01-13 03:00:00+00:00,1,1,1,1.0,,1.0,0.6831163134985508,,1.538493301974413,1.538493301974413,1.538493301974413,1.538493301974413,context_near,0,,0,0,1,0,0,1
44,2014-01-13 07:00:00+00:00,1,1,1,1.0,,1.0,0.7177209106996889,,1.1591780940462661,1.1591780940462661,1.1591780940462661,1.1591780940462661,context_near,0,,0,0,1,0,0,1
45,2014-01-13 11:00:00+00:00,1,1,1,1.0,,1.0,0.691517084314452,,1.5102923160333006,1.5102923160333006,1.5102923160333006,1.5102923160333006,context_near,0,,0,0,1,0,0,1
46,2014-01-13 15:00:00+00:00,1,1,0,1.0,,1.0,0.6583765091313964,,2.233747413023556,,2.233747413023556,2.233747413023556,distant,0,"top_inventory_too_far,inventory_semantics_ambiguous",0,0,0,0,0,0
47,2014-01-13 19:00:00+00:00,1,1,1,1.0,,1.0,0.660182047069169,,1.9810618907876958,1.9810618907876958,1.9810618907876958,1.9810618907876958,context_near,0,,0,0,1,0,0,1
48,2014-01-13 23:00:00+00:00,1,1,0,1.0,,1.0,0.6518807035564578,,2.059205675403406,,2.059205675403406,2.059205675403406,distant,0,"top_inventory_too_far,inventory_semantics_ambiguous",0,0,0,0,0,0
49,2014-01-14 03:00:00+00:00,1,1,0,1.0,,1.0,0.6379200021026532,,2.3510187917337095,,2.3510187917337095,2.3510187917337095,distant,0,"top_inventory_too_far,inventory_semantics_ambiguous",0,0,0,0,0,0
50,2014-01-14 07:00:00+00:00,1,1,1,1.0,,1.0,0.6536625189289667,,1.717499214165697,1.717499214165697,1.717499214165697,1.717499214165697,context_near,0,,0,0,1,0,0,1
51,2014-01-14 11:00:00+00:00,1,1,0,1.0,,1.0,0.631128815966499,,2.2357965329820346,,2.2357965329820346,2.2357965329820346,distant,0,"top_inventory_too_far,inventory_semantics_ambiguous",0,0,0,0,0,0
52,2014-01-14 15:00:00+00:00,1,1,1,1.0,,1.0,0.6872384539123368,,0.9555270573935108,0.9555270573935108,0.9555270573935108,0.9555270573935108,tradable_near,1,,0,1,1,0,1,1
53,2014-01-14 19:00:00+00:00,1,1,1,1.0,,1.0,0.6895817714139838,,0.8738818125301949,0.8738818125301949,0.8738818125301949,0.8738818125301949,tradable_near,1,,0,1,1,0,1,1
54,2014-01-14 23:00:00+00:00,1,1,1,1.0,,1.0,0.7321423721503124,,0.45094130201901966,0.45094130201901966,0.45094130201901966,0.45094130201901966,near,1,,1,1,1,1,1,1
55,2014-01-15 03:00:00+00:00,1,1,1,1.0,,1.0,0.7232336554571892,,0.48707761469919614,0.48707761469919614,0.48707761469919614,0.48707761469919614,near,1,,1,1,1,1,1,1
56,2014-01-15 07:00:00+00:00,1,0,0,1.0,,1.0,0.7273893838162446,,0.0324601336069917,,0.0324601336069917,,near,1,no_fresh_inventory,1,1,1,0,0,0
57,2014-01-15 11:00:00+00:00,1,0,0,1.0,,1.0,0.7269489508097744,,0.0,,0.0,,near,1,no_fresh_inventory,1,1,1,0,0,0
58,2014-01-15 15:00:00+00:00,1,0,0,1.0,,1.0,0.6714442540790617,,0.18264656818774644,,0.18264656818774644,,near,1,no_fresh_inventory,1,1,1,0,0,0
