left_ob_id,right_ob_id,older_ob_id,younger_ob_id,older_activate_idx,younger_activate_idx,overlap_side_relation,overlap_width_frac,age_difference_bars,strength_difference,same_side_overlap,younger_mostly_nested_in_older,similar_strength_flag,older_touched_before_younger,concurrent_live_bars,redundant_live_inventory,younger_redundant_to_older,older_should_probably_have_been_retired_or_downranked,older_terminal_state,younger_terminal_state,resolution_category
1,16,1,16,69.0,669.0,same-side,1.0,600.0,0.27176559836952857,1,1,0,1,0.0,0,0,0,mitigated_full,retired,older_full_mitigated
1,28,1,28,69.0,1108.0,opposite-side,0.05846018089562727,1039.0,0.2690458055925427,0,0,0,1,0.0,0,0,0,mitigated_full,mitigated_full,older_full_mitigated
1,81,1,81,69.0,3656.0,same-side,1.0,3587.0,0.2581047847732561,1,0,0,1,0.0,0,0,0,mitigated_full,retired,older_full_mitigated
1,117,1,117,69.0,5521.0,opposite-side,1.0,5452.0,0.1603815195888036,0,1,0,1,0.0,0,0,0,mitigated_full,mitigated_full,older_full_mitigated
1,145,1,145,69.0,7166.0,opposite-side,1.0,7097.0,0.43749482836903747,0,1,0,1,0.0,0,0,0,mitigated_full,retired,older_full_mitigated
1,155,1,155,69.0,7799.0,same-side,0.8802117802779827,7730.0,0.29605465212814047,1,0,0,1,0.0,0,0,0,mitigated_full,invalidated,older_full_mitigated
2,18,2,18,167.0,710.0,same-side,0.7594876660341202,543.0,0.16175319967997737,1,0,0,0,0.0,0,0,0,retired,mitigated_full,older_retired
2,85,2,85,167.0,3855.0,same-side,1.0,3688.0,0.0811254603298932,1,0,1,0,0.0,0,0,0,retired,invalidated,older_retired
2,94,2,94,167.0,4482.0,same-side,0.45730550284628363,4315.0,0.2292716707928596,1,0,0,0,0.0,0,0,0,retired,mitigated_full,older_retired
2,108,2,108,167.0,5172.0,same-side,1.0,5005.0,0.0218979697208167,1,0,1,0,0.0,0,0,0,retired,invalidated,older_retired
2,114,2,114,167.0,5424.0,opposite-side,1.0,5257.0,0.06779995753600243,0,0,1,0,0.0,0,0,0,retired,invalidated,older_retired
2,122,2,122,167.0,6094.0,same-side,1.0,5927.0,0.3111482063372766,1,0,0,0,0.0,0,0,0,retired,mitigated_full,older_retired
3,11,3,11,171.0,402.0,same-side,0.013058419243989637,231.0,0.25156455232040087,1,0,0,1,0.0,0,0,0,retired,mitigated_full,older_retired
