variant,calendar_year,side_label,raw_source_candidate_count,bos_linked_candidate_count,displacement_qualified_count,geometry_qualified_count,activation_qualified_count,final_ob_count,rejected_no_parent_bos,rejected_no_displacement,rejected_bad_geometry,rejected_activation_failure,rejected_other
baseline,2014,all,52,52,38,37,37,37,0,14,0,0,1
baseline,2014,bear,26,26,18,17,17,17,0,8,0,0,1
baseline,2014,bull,26,26,20,20,20,20,0,6,0,0,0
baseline,2015,all,57,57,35,34,34,34,0,22,0,0,1
baseline,2015,bear,33,33,19,18,18,18,0,14,0,0,1
baseline,2015,bull,24,24,16,16,16,16,0,8,0,0,0
baseline,2016,all,44,44,27,26,26,26,0,17,0,0,1
baseline,2016,bear,21,21,10,10,10,10,0,11,0,0,0
baseline,2016,bull,23,23,17,16,16,16,0,6,0,0,1
baseline,2017,all,59,59,30,30,30,30,0,29,0,0,0
baseline,2017,bear,27,27,14,14,14,14,0,13,0,0,0
baseline,2017,bull,32,32,16,16,16,16,0,16,0,0,0
baseline,2018,all,51,51,29,29,29,29,0,22,0,0,0
baseline,2018,bear,22,22,12,12,12,12,0,10,0,0,0
baseline,2018,bull,29,29,17,17,17,17,0,12,0,0,0
baseline,2019,all,51,51,34,34,34,34,0,17,0,0,0
baseline,2019,bear,21,21,14,14,14,14,0,7,0,0,0
baseline,2019,bull,30,30,20,20,20,20,0,10,0,0,0
baseline,2020,all,51,51,32,30,30,30,0,19,0,0,2
baseline,2020,bear,10,10,6,6,6,6,0,4,0,0,0
baseline,2020,bull,41,41,26,24,24,24,0,15,0,0,2
baseline,2021,all,43,43,27,27,27,27,0,16,0,0,0
baseline,2021,bear,21,21,13,13,13,13,0,8,0,0,0
baseline,2021,bull,22,22,14,14,14,14,0,8,0,0,0
baseline,2022,all,51,51,29,28,28,28,0,22,0,0,1
baseline,2022,bear,26,26,15,14,14,14,0,11,0,0,1
baseline,2022,bull,25,25,14,14,14,14,0,11,0,0,0
baseline,2023,all,58,58,39,39,39,39,0,19,0,0,0
baseline,2023,bear,31,31,21,21,21,21,0,10,0,0,0
baseline,2023,bull,27,27,18,18,18,18,0,9,0,0,0
baseline,2024,all,51,51,39,37,37,37,0,12,0,0,2
baseline,2024,bear,16,16,12,12,12,12,0,4,0,0,0
baseline,2024,bull,35,35,27,25,25,25,0,8,0,0,2
baseline,2025,all,59,59,39,39,39,39,0,20,0,0,0
baseline,2025,bear,12,12,5,5,5,5,0,7,0,0,0
baseline,2025,bull,47,47,34,34,34,34,0,13,0,0,0
baseline,2026,all,11,11,8,8,8,8,0,3,0,0,0
baseline,2026,bear,5,5,4,4,4,4,0,1,0,0,0
baseline,2026,bull,6,6,4,4,4,4,0,2,0,0,0
baseline,ALL,all,638,638,406,398,398,398,0,232,0,0,8
baseline,ALL,bear,271,271,163,160,160,160,0,108,0,0,3
baseline,ALL,bull,367,367,243,238,238,238,0,124,0,0,5
