variant,family,ob_count,active_count,fresh_count,equivalence_recovery_fraction,fraction_bars_with_top_inventory_within_1atr,fraction_bars_with_top_inventory_within_2atr,median_best_active_monitorability_score,overlap_pair_count,same_side_overlap_pair_count,median_strength,median_zone_height_atr,median_parent_displacement_score,median_parent_move_away_atr,false_positive_risk_proxy,delta_ob_count,delta_equivalence_recovery_fraction,delta_fraction_bars_with_top_inventory_within_1atr,delta_median_best_active_monitorability_score,delta_overlap_pair_count,top_level_usability_score
r1_b,r1,398,2,1,0.1111111111111111,0.07579487716725158,0.17683725315593735,0.5738796355569883,656,339,0.6886574792600764,0.4994143311274062,0.7943599470392924,1.6038741162916013,0.23704886942558365,0,0.0,5.238070294903696e-05,0.0033250693010823396,-44,0.26373276895255615
r3_c,r3,416,2,1,0.1111111111111111,0.07961866848253103,0.1842229322717511,0.572770814091561,720,375,0.6759248565071336,0.4970788789891475,0.7684518802781878,1.5569090722018315,0.25172960042388154,18,0.0,0.0038761720182284853,0.002216247835655105,20,0.2580305280162149
r5_b,r5,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.5713069864831815,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,0.0007524202272755076,0,0.25735117996796897
baseline,baseline,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.570554566255906,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,0.0,0,0.25720069592251393
r5_a,r5,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.570554566255906,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,0.0,0,0.25720069592251393
r2_a,r2,398,2,0,0.1111111111111111,0.07569011576135352,0.1806610444712168,0.5708166907367336,700,362,0.6875744030419322,0.5046805495094512,0.7925971527084126,1.7489145392135854,0.2384165426586587,0,0.0,-5.2380702949023084e-05,0.0002621244808276302,0,0.25717832784136135
r2_c,r2,402,2,0,0.1111111111111111,0.0781520087999581,0.1836467445393117,0.570904624450603,714,369,0.6868325398765555,0.5059262410933201,0.7943599470392924,1.7549805016618356,0.23819568764646373,4,0.0,0.0024095123356555476,0.0003500581946970227,14,0.25699720243823326
r1_c,r1,398,2,1,0.1111111111111111,0.08281389136242208,0.18757529726048924,0.5577251701605005,751,365,0.6733908117906198,0.5811376252319844,0.7943599470392924,1.4013628865239525,0.248005034492068,0,0.0,0.007071394898119532,-0.012829396095405454,51,0.25462834959881986
r3_a,r3,420,2,0,0.1111111111111111,0.08213294222408465,0.1923419412288513,0.5693344152218395,776,403,0.6775451312511879,0.5046805495094512,0.7746907851020435,1.7453260761393108,0.24919694362672282,22,0.0,0.006390445759782107,-0.0012201510340664745,76,0.25241693217422473
r4_c,r4,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.5303534100816811,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,-0.04020115617422482,0,0.24916046468766895
r5_d,r5,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.5303534100816811,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,-0.04020115617422482,0,0.24916046468766895
r3_b,r3,431,2,0,0.1111111111111111,0.08459483526268922,0.19700382379131529,0.5700702581641248,824,430,0.6730580557421753,0.5025171232015823,0.7590017212247944,1.7522964161060388,0.25659912864742224,33,0.0,0.008852338798386677,-0.0004843080917811271,124,0.24862375503412884
r1_a,r1,398,2,1,0.1111111111111111,0.08249960714472789,0.18699910952804988,0.5516880988559628,771,384,0.6710164834037902,0.5913987153309492,0.7943599470392924,1.3624563388660316,0.24958653677108958,0,0.0,0.006757110680425338,-0.018866467399943132,71,0.24841034470885298
r5_c,r5,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.5263930544782169,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,-0.04416151177768901,0,0.2483683935669761
r4_b,r4,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.521336480822297,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,-0.04921808543360895,0,0.2473570788357921
r2_d,r2,586,3,0,0.1111111111111111,0.11738515530878424,0.2588130532711749,0.5580330243479972,1565,795,0.5921356696742492,0.5032687911646023,0.566178331732202,1.544880764936119,0.36053997209854727,188,0.0,0.04164265884448169,-0.012521541907908773,865,0.24378778537582968
r2_b,r2,586,3,0,0.1111111111111111,0.11743753601173328,0.2588654339741239,0.5579500262606176,1565,795,0.5921356696742492,0.5032687911646023,0.566178331732202,1.5406909784537048,0.36053997209854727,188,0.0,0.04169503954743073,-0.012604539995288322,865,0.243784280934091
r4_a,r4,398,2,0,0.1111111111111111,0.07574249646430255,0.18071342517416583,0.28821789847801366,700,362,0.6875744030419322,0.5046805495094512,0.7943599470392924,1.7453260761393108,0.23779956464285076,0,0.0,0.0,-0.2823366677778923,0,0.20073336236693545
