ob_variant_label,ob_side,ob_source_mode,ob_source_idx,ob_source_ts,ob_source_freeze_idx,ob_source_freeze_ts,ob_parent_bos_idx,ob_parent_displacement_idx,ob_activation_idx,ob_activation_ts,ob_source_to_activation_lag_bars,ob_parent_break_to_activation_lag_bars,ob_geometry_mode,ob_zone_low,ob_zone_high,ob_zone_height_atr,ob_source_body_frac,ob_source_range_frac,ob_prebreak_context_span_bars,ob_source_selection_reason,ob_source_tiebreak_reason
baseline_current_live,1,single_candle,68,2014-01-17 07:00:00+00:00,68,2014-01-17 07:00:00+00:00,69,69,69,2014-01-17 11:00:00+00:00,1,0,body_to_extreme,1239.525,1244.058,0.7869071573197477,0.2850402988008745,0.6058837541686535,6,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,166,2014-02-10 19:00:00+00:00,166,2014-02-10 19:00:00+00:00,167,167,167,2014-02-10 23:00:00+00:00,1,0,body_to_extreme,1272.959,1275.067,0.3234341880677631,0.37787114845937164,0.5712914066250476,3,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,170,2014-02-11 11:00:00+00:00,170,2014-02-11 11:00:00+00:00,171,171,171,2014-02-11 15:00:00+00:00,1,0,body_to_extreme,1275.942,1284.175,1.156151564069435,0.18834841628958532,0.8326157158234627,4,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,180,2014-02-13 03:00:00+00:00,180,2014-02-13 03:00:00+00:00,183,183,183,2014-02-13 15:00:00+00:00,3,0,body_to_extreme,1288.341,1291.685,0.5582369612000503,0.6205067766646998,0.3078178849990917,6,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,220,2014-02-23 23:00:00+00:00,220,2014-02-23 23:00:00+00:00,222,222,222,2014-02-24 07:00:00+00:00,2,0,body_to_extreme,1318.505,1324.835,0.9794518779436739,0.488628894439347,0.7649839098954144,3,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,228,2014-02-25 07:00:00+00:00,228,2014-02-25 07:00:00+00:00,230,230,230,2014-02-25 15:00:00+00:00,2,0,body_to_extreme,1330.765,1334.647,0.6320154733261821,0.2533827090158107,0.8610497915133629,6,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,291,2014-03-11 10:00:00+00:00,291,2014-03-11 10:00:00+00:00,294,294,294,2014-03-11 22:00:00+00:00,3,0,body_to_extreme,1344.335,1348.447,0.5800704598703654,0.2953962632799992,0.5406351092625528,3,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,307,2014-03-14 02:00:00+00:00,307,2014-03-14 02:00:00+00:00,309,309,309,2014-03-14 10:00:00+00:00,2,0,body_to_extreme,1367.827,1372.592,0.6422701793144219,0.7520441537203695,0.5693005935063435,3,last_opposing_before_bos,latest_before_break
baseline_current_live,1,single_candle,310,2014-03-14 14:00:00+00:00,310,2014-03-14 14:00:00+00:00,312,312,312,2014-03-16 18:00:00+00:00,2,0,body_to_extreme,1373.384,1384.896,1.4789645443452728,0.4471356534677926,0.6795685635638462,3,last_opposing_before_bos,latest_before_break
baseline_current_live,-1,single_candle,357,2014-03-26 02:00:00+00:00,357,2014-03-26 02:00:00+00:00,359,359,359,2014-03-26 10:00:00+00:00,2,0,body_to_extreme,1311.978,1315.642,0.5467219882500796,0.6292695088506377,0.33954118344197154,6,last_opposing_before_bos,latest_before_break
