ob_id,side_label,activate_idx,fresh_state_duration,touched_state_duration,partial_state_duration,post_full_pre_terminal_duration,total_live_duration,bars_to_invalidation,bars_to_retirement,terminal_state
1,bull,69,11.0,0.0,0.0,0.0,11.0,,,mitigated_full
2,bull,167,96.0,0.0,0.0,0.0,96.0,,96.0,retired
3,bull,171,3.0,0.0,93.0,0.0,96.0,,96.0,retired
4,bull,183,96.0,0.0,0.0,0.0,96.0,,96.0,retired
5,bull,222,14.0,0.0,82.0,0.0,96.0,,96.0,retired
6,bull,230,5.0,0.0,0.0,0.0,5.0,,,mitigated_full
7,bull,294,33.0,0.0,1.0,0.0,34.0,34.0,,invalidated
8,bull,309,8.0,0.0,0.0,0.0,8.0,8.0,,invalidated
9,bull,312,1.0,0.0,4.0,0.0,5.0,5.0,,invalidated
10,bear,359,55.0,0.0,10.0,0.0,65.0,,,mitigated_full
11,bull,402,44.0,0.0,0.0,0.0,44.0,,,mitigated_full
12,bull,413,33.0,0.0,0.0,0.0,33.0,,,mitigated_full
13,bear,539,96.0,0.0,0.0,0.0,96.0,,96.0,retired
14,bear,632,61.0,0.0,6.0,0.0,67.0,,,mitigated_full
15,bear,636,3.0,0.0,0.0,0.0,3.0,,,mitigated_full
16,bull,669,96.0,0.0,0.0,0.0,96.0,,96.0,retired
17,bull,700,19.0,0.0,0.0,0.0,19.0,,,mitigated_full
18,bull,710,3.0,0.0,2.0,0.0,5.0,,,mitigated_full
19,bull,818,1.0,0.0,15.0,0.0,16.0,16.0,,invalidated
20,bull,822,12.0,0.0,0.0,0.0,12.0,12.0,,invalidated
21,bear,842,13.0,0.0,0.0,0.0,13.0,13.0,,invalidated
22,bear,882,11.0,0.0,10.0,0.0,21.0,,,mitigated_full
23,bear,917,5.0,0.0,0.0,0.0,5.0,,,mitigated_full
24,bear,935,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
25,bear,1007,19.0,0.0,13.0,0.0,32.0,32.0,,invalidated
26,bear,1091,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
27,bear,1101,96.0,0.0,0.0,0.0,96.0,,96.0,retired
28,bear,1108,5.0,0.0,7.0,0.0,12.0,,,mitigated_full
29,bear,1129,96.0,0.0,0.0,0.0,96.0,,96.0,retired
30,bull,1251,52.0,0.0,10.0,0.0,62.0,,,mitigated_full
31,bear,1314,96.0,0.0,0.0,0.0,96.0,,96.0,retired
32,bull,1397,8.0,0.0,0.0,0.0,8.0,,,mitigated_full
33,bear,1442,8.0,0.0,0.0,0.0,8.0,,,mitigated_full
34,bear,1446,3.0,0.0,1.0,0.0,4.0,4.0,,invalidated
35,bull,1486,26.0,0.0,0.0,0.0,26.0,26.0,,invalidated
36,bear,1512,4.0,0.0,0.0,0.0,4.0,,,mitigated_full
37,bull,1569,7.0,0.0,4.0,0.0,11.0,11.0,,invalidated
38,bull,1617,7.0,0.0,89.0,0.0,96.0,,96.0,retired
39,bull,1633,96.0,0.0,0.0,0.0,96.0,,96.0,retired
40,bull,1640,54.0,0.0,0.0,0.0,54.0,,,mitigated_full
41,bull,1650,25.0,0.0,3.0,0.0,28.0,,,mitigated_full
42,bear,1729,96.0,0.0,0.0,0.0,96.0,,96.0,retired
43,bear,1793,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
44,bull,1811,16.0,0.0,0.0,0.0,16.0,16.0,,invalidated
45,bear,1860,40.0,0.0,2.0,0.0,42.0,,,mitigated_full
46,bear,1868,4.0,0.0,0.0,0.0,4.0,,,mitigated_full
47,bull,1900,96.0,0.0,0.0,0.0,96.0,,96.0,retired
48,bull,1911,96.0,0.0,0.0,0.0,96.0,,96.0,retired
49,bull,1919,30.0,0.0,5.0,0.0,35.0,,,mitigated_full
50,bull,1923,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
51,bull,1970,16.0,0.0,4.0,0.0,20.0,20.0,,invalidated
52,bear,2060,7.0,0.0,0.0,0.0,7.0,7.0,,invalidated
53,bear,2091,4.0,0.0,1.0,0.0,5.0,,,mitigated_full
54,bull,2222,1.0,0.0,12.0,0.0,13.0,,,mitigated_full
55,bear,2240,18.0,0.0,6.0,0.0,24.0,24.0,,invalidated
56,bear,2321,21.0,0.0,75.0,0.0,96.0,,96.0,retired
57,bear,2431,96.0,0.0,0.0,0.0,96.0,,96.0,retired
58,bear,2435,96.0,0.0,0.0,0.0,96.0,,96.0,retired
59,bear,2459,4.0,0.0,0.0,0.0,4.0,4.0,,invalidated
60,bull,2522,1.0,0.0,1.0,0.0,2.0,,,mitigated_full
61,bull,2531,3.0,0.0,0.0,0.0,3.0,,,mitigated_full
62,bull,2536,1.0,0.0,95.0,0.0,96.0,,96.0,retired
63,bear,2679,19.0,0.0,0.0,0.0,19.0,19.0,,invalidated
64,bull,2709,8.0,0.0,5.0,0.0,13.0,,,mitigated_full
65,bear,2752,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
66,bear,2760,12.0,0.0,0.0,0.0,12.0,12.0,,invalidated
67,bull,2785,12.0,0.0,84.0,0.0,96.0,,96.0,retired
68,bear,2885,96.0,0.0,0.0,0.0,96.0,,96.0,retired
69,bear,2909,96.0,0.0,0.0,0.0,96.0,,96.0,retired
70,bear,2916,96.0,0.0,0.0,0.0,96.0,,96.0,retired
71,bear,2927,96.0,0.0,0.0,0.0,96.0,,96.0,retired
72,bear,3209,5.0,0.0,0.0,0.0,5.0,,,mitigated_full
73,bull,3263,4.0,0.0,0.0,0.0,4.0,4.0,,invalidated
74,bull,3292,96.0,0.0,0.0,0.0,96.0,,96.0,retired
75,bull,3296,96.0,0.0,0.0,0.0,96.0,,96.0,retired
76,bull,3308,1.0,0.0,95.0,0.0,96.0,,96.0,retired
77,bull,3421,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
78,bull,3477,2.0,0.0,4.0,0.0,6.0,6.0,,invalidated
79,bull,3564,33.0,0.0,63.0,0.0,96.0,,96.0,retired
80,bull,3613,21.0,0.0,75.0,0.0,96.0,,96.0,retired
81,bull,3656,95.0,0.0,1.0,0.0,96.0,,96.0,retired
82,bear,3785,2.0,0.0,32.0,0.0,34.0,34.0,,invalidated
83,bull,3845,53.0,0.0,10.0,0.0,63.0,,,mitigated_full
84,bull,3850,44.0,0.0,2.0,0.0,46.0,,,mitigated_full
85,bull,3855,7.0,0.0,32.0,0.0,39.0,39.0,,invalidated
86,bull,3870,6.0,0.0,1.0,0.0,7.0,,,mitigated_full
87,bear,3894,15.0,0.0,0.0,0.0,15.0,15.0,,invalidated
88,bull,4055,96.0,0.0,0.0,0.0,96.0,,96.0,retired
89,bear,4098,96.0,0.0,0.0,0.0,96.0,,96.0,retired
90,bear,4205,17.0,0.0,0.0,0.0,17.0,,,mitigated_full
91,bear,4248,96.0,0.0,0.0,0.0,96.0,,96.0,retired
92,bear,4359,96.0,0.0,0.0,0.0,96.0,,96.0,retired
93,bear,4371,6.0,0.0,49.0,0.0,55.0,55.0,,invalidated
94,bull,4482,33.0,0.0,2.0,0.0,35.0,,,mitigated_full
95,bear,4532,96.0,0.0,0.0,0.0,96.0,,96.0,retired
96,bear,4580,96.0,0.0,0.0,0.0,96.0,,96.0,retired
97,bull,4729,10.0,0.0,86.0,0.0,96.0,,96.0,retired
98,bull,4780,4.0,0.0,4.0,0.0,8.0,,,mitigated_full
99,bear,4811,1.0,0.0,1.0,0.0,2.0,,,mitigated_full
100,bull,4820,11.0,0.0,4.0,0.0,15.0,15.0,,invalidated
