family,active_source_rows,probe_count,breach_count,sweep_count,tradeable_count,probe_per_active,breach_per_probe,sweep_per_breach,tradeable_per_sweep,sweep_per_active
swing_high,2947,180,51,44,9,0.061079063454360365,0.2833333333333333,0.8627450980392157,0.20454545454545456,0.01493043773328809
swing_low,3309,141,42,40,10,0.04261106074342702,0.2978723404255319,0.9523809523809523,0.25,0.012088244182532487
equal_high,5325,300,96,35,13,0.056338028169014086,0.32,0.3645833333333333,0.37142857142857144,0.006572769953051643
equal_low,6603,310,93,52,10,0.046948356807511735,0.3,0.5591397849462365,0.19230769230769232,0.007875208238679389
resistance,43149,8512,298,264,42,0.19726992514310876,0.0350093984962406,0.8859060402684564,0.1590909090909091,0.006118334144476117
support,45976,8894,385,379,67,0.1934487558726292,0.043287609624465935,0.9844155844155844,0.17678100263852242,0.00824343135548982
session_high,7611,5244,532,341,82,0.6890027591643674,0.10144927536231885,0.6409774436090225,0.2404692082111437,0.044803573774799633
session_low,8582,5280,584,447,108,0.6152412025168958,0.11060606060606061,0.7654109589041096,0.24161073825503357,0.0520857608948963
previous_day_high,5205,1600,938,416,103,0.30739673390970224,0.58625,0.44349680170575695,0.24759615384615385,0.07992315081652257
previous_day_low,4884,1456,845,390,94,0.29811629811629814,0.5803571428571429,0.46153846153846156,0.24102564102564103,0.07985257985257985
previous_week_high,9842,664,248,107,26,0.0674659622028043,0.37349397590361444,0.4314516129032258,0.24299065420560748,0.010871774029668766
previous_week_low,10281,550,197,94,29,0.053496741562104856,0.35818181818181816,0.47715736040609136,0.30851063829787234,0.00914307946697792
