penetration_bucket,selectivity_class,sweep_count,tradeable_count
"[0.00, 0.10)",displacement_confirmed_sweep,0,0
"[0.00, 0.10)",micro_interaction_sweep,0,0
"[0.00, 0.10)",standard_liquidity_sweep,0,0
"[0.00, 0.10)",tradeable_sweep_candidate,0,0
"[0.10, 0.20)",displacement_confirmed_sweep,14,0
"[0.10, 0.20)",micro_interaction_sweep,38,0
"[0.10, 0.20)",standard_liquidity_sweep,60,0
"[0.10, 0.20)",tradeable_sweep_candidate,2,2
"[0.20, 0.30)",displacement_confirmed_sweep,85,0
"[0.20, 0.30)",micro_interaction_sweep,122,0
"[0.20, 0.30)",standard_liquidity_sweep,221,0
"[0.20, 0.30)",tradeable_sweep_candidate,9,9
"[0.30, 0.50)",displacement_confirmed_sweep,127,0
"[0.30, 0.50)",micro_interaction_sweep,238,0
"[0.30, 0.50)",standard_liquidity_sweep,374,0
"[0.30, 0.50)",tradeable_sweep_candidate,130,130
"[0.50, 0.75)",displacement_confirmed_sweep,77,0
"[0.50, 0.75)",micro_interaction_sweep,65,0
"[0.50, 0.75)",standard_liquidity_sweep,294,0
"[0.50, 0.75)",tradeable_sweep_candidate,205,205
"[0.75, 1.00)",displacement_confirmed_sweep,52,0
"[0.75, 1.00)",micro_interaction_sweep,6,0
"[0.75, 1.00)",standard_liquidity_sweep,109,0
"[0.75, 1.00)",tradeable_sweep_candidate,123,123
"[1.00, inf)",displacement_confirmed_sweep,41,0
"[1.00, inf)",micro_interaction_sweep,3,0
"[1.00, inf)",standard_liquidity_sweep,90,0
"[1.00, inf)",tradeable_sweep_candidate,124,124
