config,swing_highs,swing_lows,total_swings,sh_rate_%,sl_rate_%,avg_sh_spacing,avg_sl_spacing,med_sh_spacing,med_sl_spacing,avg_sh_prom_atr,avg_sl_prom_atr,med_sh_prom_atr,med_sl_prom_atr
w4_ret0.3,2670,1833,4503,14.85,10.19,6.7,9.8,6.0,9.0,0.479,0.564,0.32,0.411
w4_ret0.5,2552,1810,4362,14.19,10.07,7.0,9.9,6.0,9.0,0.479,0.566,0.321,0.413
w4_ret0.7,2368,1758,4126,13.17,9.78,7.6,10.2,6.0,9.0,0.484,0.571,0.324,0.416
w4_ret1.0,2045,1678,3723,11.37,9.33,8.8,10.7,7.0,9.0,0.485,0.57,0.331,0.414
w6_ret0.3,2077,1136,3213,11.55,6.32,8.7,15.8,7.0,14.0,0.507,0.569,0.34,0.42
w6_ret0.5,1983,1129,3112,11.03,6.28,9.1,15.9,7.0,14.0,0.507,0.57,0.34,0.421
w6_ret0.7,1841,1111,2952,10.24,6.18,9.8,16.2,8.0,14.0,0.512,0.571,0.342,0.419
w6_ret1.0,1574,1066,2640,8.75,5.93,11.4,16.9,10.0,15.0,0.515,0.573,0.348,0.425
w8_ret0.3,1709,791,2500,9.5,4.4,10.5,22.7,8.0,20.0,0.514,0.56,0.344,0.428
w8_ret0.5,1629,790,2419,9.06,4.39,11.0,22.8,9.0,20.0,0.515,0.559,0.349,0.426
w8_ret0.7,1517,783,2300,8.44,4.35,11.8,23.0,10.0,21.0,0.518,0.56,0.353,0.423
